#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Rosendo Zapatero	FWD	LUT	18	17		1	Silvio Caruso	FWD	LUT	18	6		1	Rosendo Zapatero	FWD	LUT	18	7.3		1	Théo Santini	MID	OM	18	27		1	Rémy Bourdelle	DEF	RCC	18	68		1	Étienne Barral	GK	CDM	18	94
2	Vinh Ngo	FWD	OM	18	12		2	Gaku Ibusuki	FWD	FCB	18	5		2	Siegmund Stracke	FWD	LUT	18	7.1		2	Cyprien Malartre	MID	RCC	18	26		2	Sergei Smirnov	DEF	OM	18	65		2	Wouter Claessens	GK	BLG	18	83
3	Hervé Thibodeau	FWD	OL	18	11		3	Valentino Zaccagni	MID	LUT	18	5		3	Léo Origer	MID	LUZ	18	7.1		3	Siegmund Stracke	FWD	LUT	18	24		3	Jonas Verstraete	DEF	BLG	18	53		3	Ahmet Aydin	GK	OM	18	82
4	Dario Spinetta	FWD	CDM	18	11		4	Siegmund Stracke	FWD	LUT	18	5		4	Octave Faravel	MID	OL	18	7.1		4	Silvio Caruso	FWD	LUT	18	24		4	Aurélien Vanhecke	MID	BLG	18	53		4	Brice Viardot	GK	ULT	18	78
5	Nicolas Boulloche	FWD	ULT	18	8		5	Nolan Perrigault	FWD	RCC	18	5		5	Nabil Ouazzani	MID	OM	17	7.1		5	Damien Scholtes	MID	LUZ	18	21		5	Rachid Benyahia	DEF	OM	18	52		5	Mathis Weiler	GK	LUZ	18	77
6	Petr Procházka	FWD	FCB	18	8		6	Nabil Ouazzani	MID	OM	17	4		6	Théo Santini	MID	OM	18	7.1		6	Rosendo Zapatero	FWD	LUT	18	20		6	Xavier Montbrun	DEF	BOR	18	52		6	Léon Chastellain	GK	RCC	18	73
7	Siegmund Stracke	FWD	LUT	18	8		7	Théo Santini	MID	OM	18	4		7	Nicolas Boulloche	FWD	ULT	18	7.1		7	Julien Kirsch	MID	LUZ	18	20		7	Osamu Matsumoto	MID	RCC	18	51		7	Jostein Helgesen	GK	FCB	18	68
8	Édouard Pescatore	FWD	LUZ	18	8		8	Damien Scholtes	MID	LUZ	18	4		8	Fabio Marchisio	DEF	CDM	18	7.1		8	Félicien Couture	MID	OL	18	20		8	Bertrand Mauclair	MID	BOR	17	49		8	Christophe Gagnon	GK	OL	18	68
9	Édouard Laroche	FWD	RCC	18	8		9	Fernand Mullenbach	MID	LUZ	18	4		9	Rémy Bourdelle	DEF	RCC	18	7.1		9	Conan Neitzel	MID	OM	17	19		9	Aurèle Castelnau	DEF	BOR	18	49		9	Ronan Brival	GK	BOR	18	61
10	Léo Origer	MID	LUZ	18	7		10	Léandre Pochard	MID	OL	18	4		10	Jocelyn Teissier	MID	RCC	18	7.1		10	Bertrand Mauclair	MID	BOR	17	19		10	Octave Faravel	MID	OL	18	48		10	Fabien Blanchet	GK	LUT	18	56
11	Nathan Grandmaison	FWD	OL	13	6		11	Fabio Marchisio	DEF	CDM	18	4		11	Lander Bruneel	FWD	BLG	14	7.0		11	Gaku Ibusuki	FWD	FCB	18	18		11	Laurent Grimaldi	DEF	CDM	18	48		11	Michiel Coppens	GK	BLG	14	37
12	Pierre-Louis Anfossi	MID	CDM	18	5		12	Yvan Massena	MID	CDM	18	4		12	Antoine Bagradian	MID	LUT	16	7.0		12	Valentino Zaccagni	MID	LUT	18	18		12	Bruno Vandeputte	DEF	BLG	16	47		12	Antonin Delahaye	GK	BOR	5	15
13	Jocelyn Teissier	MID	RCC	18	5		13	Jocelyn Teissier	MID	RCC	18	4		13	Bertrand Mauclair	MID	BOR	17	7.0		13	Pau Puigcorbé	FWD	FCB	15	16		13	Norbert Schiltz	DEF	LUZ	18	47		13	Loïc Ferrandis	GK	OM	5	13
14	Pau Puigcorbé	FWD	FCB	15	4		14	Philippe Taillardat	DEF	LUT	14	3		14	Sergei Smirnov	DEF	OM	18	7.0		14	Ettore Bianchi	MID	OM	18	16		14	Séverin Malbranque	DEF	ULT	18	46		14	Ludovic Mercadier	GK	LUT	2	5
15	Antoine Bagradian	MID	LUT	16	4		15	Pau Puigcorbé	FWD	FCB	15	3		15	Vinh Ngo	FWD	OM	18	7.0		15	Nicolas Boulloche	FWD	ULT	18	16		15	Hugo Saint-Laurent	DEF	LUT	18	46		15	Ulysse Parmentier	GK	ULT	1	3
16	Marc-Antoine Peyrefitte	FWD	BOR	17	4		16	Conan Neitzel	MID	OM	17	3		16	Séverin Malbranque	DEF	ULT	18	7.0		16	Fabio Marchisio	DEF	CDM	18	16		16	Oriol Montagut	DEF	LUT	18	46		16	Aleix Fontcuberta	GK	FCB	3	3
17	Marin Chassagne	FWD	ULT	18	4		17	Louis-Marie Gerbault	MID	ULT	17	3		17	Aurèle Castelnau	DEF	BOR	18	7.0		17	Élie Marchesseau	FWD	RCC	18	16		17	Adrien Vauthier	MID	ULT	18	45							
18	Gaku Ibusuki	FWD	FCB	18	4		18	Pascal Villemain	MID	BOR	17	3		18	Petr Procházka	FWD	FCB	18	7.0		18	Rachid Benyahia	DEF	OM	18	15		18	Francisco Alameda	DEF	FCB	18	44							
19	Silvio Caruso	FWD	LUT	18	4		19	Ivan Soubeyran	FWD	BOR	18	3		19	Gaku Ibusuki	FWD	FCB	18	7.0		19	Régis Chambonnet	FWD	BOR	18	15		19	Guiu Martorell	DEF	FCB	18	44							
20	Gauthier Dewinter	FWD	BLG	18	4		20	Nil Berenguer	MID	FCB	18	3		20	Hugo Saint-Laurent	DEF	LUT	18	7.0		20	Gonzalo Valbuena	MID	FCB	18	15		20	Grégoire Sauveterre	MID	BOR	16	43							
21	Renzo Pastorelli	MID	CDM	18	4		21	Hugo Saint-Laurent	DEF	LUT	18	3		21	Valentino Zaccagni	MID	LUT	18	7.0		21	Jean-Pierre Susilovic	MID	LUT	18	15		21	Killian Charpentier	DEF	LUZ	18	43							
22	Olivier Zenner	DEF	LUZ	10	3		22	Norbert Schiltz	DEF	LUZ	18	3		22	Silvio Caruso	FWD	LUT	18	7.0		22	Charles-Henri Boissieu	MID	CDM	18	15		22	Rémi Wagener	MID	LUZ	18	43							
23	Julien Bellando	FWD	CDM	13	3		23	Léo Origer	MID	LUZ	18	3		23	Jean-Pierre Susilovic	MID	LUT	18	7.0		23	Nabil Ouazzani	MID	OM	17	14		23	Lucien Debaets	DEF	BLG	18	43							
24	Lander Bruneel	FWD	BLG	14	3		24	Octave Faravel	MID	OL	18	3		24	Damien Scholtes	MID	LUZ	18	7.0		24	Gaspard Moulinier	DEF	OL	17	14		24	Olivier Sanguinetti	DEF	CDM	18	43							
25	Émeric Boisclair	MID	OL	14	3		25	Dorian Roussel	MID	OL	18	3		25	Fernand Mullenbach	MID	LUZ	18	7.0		25	Youssef Valverde	MID	FCB	18	14		25	Alban Fresnaye	DEF	RCC	18	43							
26	Nabil Ouazzani	MID	OM	17	3		26	Federico Cardinale	MID	OL	18	3		26	Hervé Thibodeau	FWD	OL	18	7.0		26	Federico Cardinale	MID	OL	18	14		26	Aurélien Fouché	DEF	ULT	18	42							
27	Hervé Laffitte	FWD	BOR	17	3		27	Cyprien Malartre	MID	RCC	18	3		27	Dario Spinetta	FWD	CDM	18	7.0		27	Renzo Pastorelli	MID	CDM	18	14		27	Fabio Marchisio	DEF	CDM	18	42							
