#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Taiga Bashira	FWD	DYM	14	11		1	Hiro Oshiro	MID	DYM	14	7		1	Péter Szabó	MID	WIN	10	7.6		1	Trent Hawthorne	FWD	ISS	12	48		1	Filippo Castiglione	DEF	SPK	12	20		1	Matthias Noack	GK	HAN	8	43
2	Florian Van Can	FWD	ARM	14	9		2	Themistoklis Zervas	MID	VIR	10	6		2	Matthias Noack	GK	HAN	8	7.5		2	Gijs Dreesens	MID	DYM	13	42		2	Beckett Ashworth	DEF	GAE	8	19		2	Klaus Bernhard	GK	ARM	14	39
3	Gijs Dreesens	MID	DYM	13	7		3	Gijs Dreesens	MID	DYM	13	5		3	Gijs Dreesens	MID	DYM	13	7.4		3	Kenichi Mitsui	FWD	DYM	14	40		3	Rodrigo Alvarenga	DEF	ISS	12	19		3	Jordan Stanford	GK	SPK	12	36
4	Kenichi Mitsui	FWD	DYM	14	7		4	Octave Desjardins	MID	DYM	14	5		4	Luca Higashiyama	MID	VIR	10	7.4		4	Telmo Candeias	MID	ARM	13	37		4	Tomáš Svoboda	MID	ARM	14	19		4	Ivan Dolgorukiy	GK	UKA	6	35
5	Vilmos Szilágyi	FWD	HAN	8	6		5	Péter Szabó	MID	WIN	10	4		5	Ivan Dolgorukiy	GK	UKA	6	7.4		5	Masaru Jakamarra	FWD	ISS	12	36		5	Katsumi Enokida	MID	TOY	8	18		5	Magnus Andersson	GK	DYM	14	35
6	Luca Higashiyama	MID	VIR	10	6		6	Stijn Boelens	MID	ARM	14	4		6	Daichi Komaba	MID	VIR	10	7.3		6	Péter Szabó	MID	WIN	10	34		6	Yoshikazu Takanen	DEF	DYM	14	18		6	Fabien Blanchet	GK	LUT	10	32
7	Trent Hawthorne	FWD	ISS	12	6		7	Adi Hahn	MID	VEY	8	3		7	August Rittenhouse	MID	VIR	10	7.3		7	Shō Itoshi	FWD	SPK	12	34		7	Kamui Kobayashi	DEF	RPS	8	17		7	Ryūnosuke Chimura	GK	ISS	12	32
8	Corwin Thistlewood	MID	GAE	7	5		8	Desmond Benally	MID	LEI	8	3		8	Vilmos Szilágyi	FWD	HAN	8	7.3		8	August Rittenhouse	MID	VIR	10	33		8	Émile D'Artagnan	DEF	LUT	10	17		8	Vahid Lorestani	GK	PAS	6	28
9	Kuismaa Kivisild	FWD	RPS	8	5		9	Haruto Tobishima	MID	NAG	8	3		9	Corwin Thistlewood	MID	GAE	7	7.3		9	Florian Van Can	FWD	ARM	14	32		9	Nicolas Bellamy	DEF	ISS	12	17		9	Xavier Cienfuegos	GK	WIN	10	28
10	Matías Salcedo	FWD	WIN	10	5		10	Arthur Whitmore	MID	WIN	9	3		10	Kasperi Karinen	GK	RSR	6	7.3		10	Ezequiel Mulholland	MID	ISS	12	31		10	Clayton Caldwell	DEF	ARM	13	17		10	Robert Kirchner	GK	LEI	8	26
11	August Rittenhouse	MID	VIR	10	5		11	Angel Castejón	DEF	WIN	10	3		11	Danylo Perebyinis	MID	CSK	6	7.3		11	Taiga Bashira	FWD	DYM	14	31		11	Jacinto Valencia	DEF	ISS	12	16		11	Boda Harns	GK	VEY	8	25
12	Gaku Ibusuki	FWD	ISS	12	5		12	Daichi Komaba	MID	VIR	10	3		12	Themistoklis Zervas	MID	VIR	10	7.3		12	Hiro Oshiro	MID	DYM	14	31		12	Mehrzad Gandomi	DEF	DGD	6	15		12	Teemo Aasmae	GK	RPS	8	25
13	Octave Desjardins	MID	DYM	14	5		13	Yeray Bengoetxea	MID	ISS	12	3		13	Hajime Morimoto	MID	TOY	8	7.3		13	Stijn Boelens	MID	ARM	14	31		13	Eemeli Uusitalo	DEF	SYV	8	15		13	Jostein Helgesen	GK	MNC	10	25
14	Conrad Bauer	MID	LEI	8	4		14	Gaku Ibusuki	FWD	ISS	12	3		14	Kuismaa Kivisild	FWD	RPS	8	7.3		14	Kazuyoshi Hiranuma	MID	SPK	12	30		14	Gonzalo Valbuena	MID	SPK	12	15		14	Kai Ouyang	GK	SKH	6	24
15	Péter Szabó	MID	WIN	10	4		15	Kōzō Fujise	DEF	DYM	14	3		15	Octave Desjardins	MID	DYM	14	7.3		15	Luca Higashiyama	MID	VIR	10	29		15	Conrad Bauer	MID	LEI	8	14		15	Nikolaos Papadopoulos	GK	VIR	10	24
16	Pau Puigcorbé	FWD	WIN	10	4		16	Emil Lehner	FWD	INT	5	2		16	Trent Hawthorne	FWD	ISS	12	7.3		16	Denis Kuznetsov	FWD	SPK	12	29		16	Péter Szabó	MID	WIN	10	14		16	Kasperi Karinen	GK	RSR	6	23
17	Augustin Aragonés	FWD	MNC	10	4		17	Tymon Dziedzic	MID	UKA	5	2		17	Simphiwe Chabalala	MID	SPK	9	7.3		17	Kuzma Zvezdinsky	MID	ARM	14	29		17	August Rittenhouse	MID	VIR	10	14		17	Eisuke Sato	GK	NAG	8	23
18	Ezequiel Mulholland	MID	ISS	12	4		18	Mehran Shahi	MID	SKH	5	2		18	Eemeli Uusitalo	DEF	SYV	8	7.3		18	Octave Desjardins	MID	DYM	14	27		18	Domenico Vivaldi	DEF	MNC	10	14		18	Joavnna Gaup	GK	TOY	8	23
19	Masaru Jakamarra	FWD	ISS	12	4		19	Daru Jafari	MID	MRJ	6	2		19	Gonzalo Valbuena	MID	SPK	12	7.2		19	Onni Pitkänen	MID	TOY	8	26		19	Gijs Dreesens	MID	DYM	13	14		19	Chahrokh Nassirian	GK	DGD	6	22
20	Gonzalo Valbuena	MID	SPK	12	4		20	Nikolai Tormotoff	FWD	RSR	6	2		20	Conrad Bauer	MID	LEI	8	7.2		20	Daichi Komaba	MID	VIR	10	25		20	Kōzō Fujise	DEF	DYM	14	14		20	Oleksandr Shevchenko	GK	CSK	6	22
21	Yoshikazu Takanen	DEF	DYM	14	4		21	Namsarai Ayusheev	MID	CSK	6	2		21	Rémi Gauthier	FWD	NAG	8	7.2		21	Miltiadis Galanis	FWD	VIR	10	25		21	Daichi Komaba	MID	VIR	10	13		21	Pietro Borromeo	GK	STM	6	22
22	Rui Ōe	MID	DYM	14	4		22	Joan Xirau	MID	INT	6	2		22	Joavnna Gaup	GK	TOY	8	7.2		22	Nuno Gouveia	FWD	SPK	12	25		22	Luca Higashiyama	MID	VIR	10	13		22	Ceferino Acosta	GK	GAE	8	22
23	Kuzma Zvezdinsky	MID	ARM	14	4		23	Victor Tvedt	MID	STM	6	2		23	Yoshikazu Takanen	DEF	DYM	14	7.2		23	Rui Ōe	MID	DYM	14	25		23	Oriol Montagut	DEF	LUT	10	13		23	Rafael Rosario	GK	INT	6	21
24	Danylo Perebyinis	MID	CSK	6	3		24	Shervin Shojaii	DEF	DAN	6	2		24	Pietro Borromeo	GK	STM	6	7.2		24	Matías Salcedo	FWD	WIN	10	24		24	Hiro Oshiro	MID	DYM	14	13		24	Massimo Visconti	GK	TOT	6	21
25	Joan Xirau	MID	INT	6	3		25	Claude Lemaitre	MID	OT	6	2		25	Made Djelantik	FWD	LEI	8	7.2		25	Augustin Aragonés	FWD	MNC	10	24		25	Ozhan Derakshani	MID	DGD	6	12		25	Augustin Sorg	GK	ZUR	6	20
26	Tirdad Behdād	FWD	DAN	6	3		26	Alton Begay	MID	OT	6	2		26	Ezequiel Mulholland	MID	ISS	12	7.2		26	Siegmund Stracke	FWD	LUT	10	24		26	Hooshyar Soroush	MID	DAN	6	12		26	Ludvig Laaksonen	GK	XIV	6	20
27	Raphael Jung	FWD	ZUR	6	3		27	Osamu Matsumoto	MID	OM	6	2		27	Marcel Metsa	DEF	RSR	6	7.2		27	Robin Karlsson	MID	XIV	6	23		27	Julian Bosblooms	MID	SHE	6	12		27	Christian Leino	GK	SYV	8	20
28	Magnus Beltz	MID	VEY	8	3		28	Ettore Bianchi	MID	OM	6	2		28	Taiga Bashira	FWD	DYM	14	7.1		28	Arthur Whitmore	MID	WIN	9	23		28	Dietmar Ebner	DEF	VEY	8	12		28	Ahmet Aydin	GK	OM	6	19
29	Johann Wildgrube	FWD	VEY	8	3		29	Wenzeslaus Pfeiffer	MID	ZUR	6	2		29	Jordan Stanford	GK	SPK	12	7.1		29	Simphiwe Chabalala	MID	SPK	9	22		29	Desmond Benally	MID	LEI	8	12		29	Erik Aalto	GK	MRJ	6	18
30	Leon Bierhals	MID	HAN	8	3		30	Hartwin Schwarz	FWD	ZUR	6	2		30	Julian Bosblooms	MID	SHE	6	7.1		30	Themistoklis Zervas	MID	VIR	10	22		30	Simphiwe Chabalala	MID	SPK	9	12		30	Tristan Margetts	GK	SHE	6	17
