#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	August Rittenhouse	MID	VIR	13	13	999	8		1	Luca Higashiyama	MID	VIR	14	14	892	7		1	Ausiàs Campanar	MID	CA	6	6	434	7.8		1	Luca Higashiyama	MID	VIR	14	14	892	37		1	Don Archibald Bates	DEF	SHE	14	14	1260	89		1	Nikolaos Papadopoulos	GK	VIR	14	14	1260	81
2	Horace Peshlakai	FWD	SHE	14	14	814	8		2	Gerhart Stromeyer	MID	AGL	8	8	583	6		2	Thor Andresen	FWD	SPA	6	6	421	7.7		2	Spencer Chadwick	MID	SHE	13	13	891	35		2	Ismael Menéndez	DEF	ATO	12	12	1080	84		2	Toma Shimabukuro	GK	AYA	12	12	1080	57
3	Adalbert Brandhofer	FWD	YNC	8	8	612	6		3	Nuno Almada	MID	ATO	11	11	767	5		3	Luca Higashiyama	MID	VIR	14	14	892	7.7		3	Étienne Trieu	MID	AYA	12	12	914	28		3	Genma Nishigawa	DEF	VIR	14	14	1240	82		3	Shenoute Nebamun	GK	ATO	12	12	1080	55
4	Étienne Trieu	MID	AYA	12	12	914	6		4	Spencer Chadwick	MID	SHE	13	13	891	5		4	Ibai Urrutia	DEF	CA	6	6	477	7.6		4	Stephan Kiefer	MID	E02	10	10	745	27		4	August Rittenhouse	MID	VIR	13	13	999	80		4	Renzo Agbayani	GK	BNG	10	10	900	49
5	Édouard Pescatore	FWD	LUZ	7	7	427	5		5	Junjie Xu	MID	BNG	10	10	874	4		5	Orkun Çeti̇n	MID	NAG	7	7	431	7.6		5	Alden Maddox	MID	SHE	14	14	1093	23		5	Horace Peshlakai	FWD	SHE	14	14	814	78		5	Anatoly Obolensky	GK	KRK	6	6	540	47
6	Karel Černý	FWD	CSG	8	8	720	5		6	Frans Cuijpers	FWD	E02	10	10	523	4		6	Adalbert Brandhofer	FWD	YNC	8	8	612	7.6		6	Wilfried Sorge	MID	E02	10	10	816	22		6	Julian Bosblooms	MID	SHE	13	13	1148	76		6	Palmiro Contini	GK	LA	8	8	720	47
7	Marc-Antoine Peyrefitte	FWD	BOR	10	10	607	5		7	Simphiwe Chabalala	MID	TOT	10	10	781	4		7	Emmett Prendergast	MID	CSG	4	4	273	7.5		7	Ondřej Černý	MID	TYN	8	8	558	21		7	Luca Higashiyama	MID	VIR	14	14	892	76		7	Marvin Oppenheimer	GK	E02	10	10	900	47
8	Catmon Nacpil	FWD	BNG	10	10	703	5		8	Itsuki Toguchi	MID	AYA	12	12	963	4		8	James Feruccio	MID	AFK	6	6	447	7.5		8	Itsuki Toguchi	MID	AYA	12	12	963	20		8	Alvaro Valdovinos	DEF	SHE	14	14	1183	76		8	Eisuke Sato	GK	NAG	8	8	720	46
9	Frans Cuijpers	FWD	E02	10	10	523	5		9	Ismael Menéndez	DEF	ATO	12	12	1080	4		9	Étienne Trieu	MID	AYA	12	12	914	7.5		9	Orkun Çeti̇n	MID	NAG	7	7	431	19		9	Ferdinand Dumas	MID	AYA	12	12	1014	75		9	Tristan Margetts	GK	SHE	14	14	1260	46
10	Itsuki Toguchi	MID	AYA	12	12	963	5		10	Antoine Ferracci	MID	CDM	6	6	540	3		10	August Rittenhouse	MID	VIR	13	13	999	7.5		10	Gerhart Stromeyer	MID	AGL	8	8	583	19		10	Ottone Brancaleone	MID	SHE	14	14	1152	73		10	Yaniv Nachmias	GK	ESH	6	6	540	45
11	Makisig Liwanag	MID	AYA	12	12	846	5		11	Timur Iskanderov	MID	CSG	8	8	608	3		11	Spencer Chadwick	MID	SHE	13	13	891	7.5		11	Timur Iskanderov	MID	CSG	8	8	608	19		11	Aurèle Castelnau	DEF	BOR	10	10	900	70		11	Augustin Sorg	GK	ZUR	6	6	540	45
12	Zakaria Bouhaddou	FWD	ATO	12	0	469	5		12	Pisenti Ramose	MID	LA	8	8	718	3		12	Horace Peshlakai	FWD	SHE	14	14	814	7.5		12	Nuno Almada	MID	ATO	11	11	767	18		12	Spencer Chadwick	MID	SHE	13	13	891	70		12	Ronan Brival	GK	BOR	10	10	900	41
13	Kannan Kurup	FWD	LA	8	8	708	4		13	Hajime Ōyama	MID	AYA	12	0	407	3		13	Sviatoslav Boyko	MID	NAG	8	8	636	7.4		13	Makisig Liwanag	MID	AYA	12	12	846	18		13	Yanbo Ma	DEF	BNG	10	10	900	65		13	Massimo Visconti	GK	TOT	10	10	900	41
14	Hervé Laffitte	FWD	BOR	10	0	318	4		14	Miltiadis Galanis	FWD	VIR	13	13	774	3		14	Frans Cuijpers	FWD	E02	10	10	523	7.4		14	Sviatoslav Boyko	MID	NAG	8	8	636	17		14	Tatsuya Shirakawa	DEF	ATO	12	12	1080	65		14	Olav Jensen	GK	SPA	6	6	540	40
15	Lewis Bardsley	FWD	TOT	10	10	737	4		15	August Rittenhouse	MID	VIR	13	13	999	3		15	Simphiwe Chabalala	MID	TOT	10	10	781	7.4		15	Salvador Figueiredo	MID	ATO	12	12	926	17		15	Daichi Komaba	MID	VIR	14	14	1215	65		15	Valter Stubbe	GK	VAT	8	8	720	40
16	Themistoklis Zervas	MID	VIR	12	12	749	4		16	Ravid Biton	MID	ESH	5	5	322	2		16	Ismael Menéndez	DEF	ATO	12	12	1080	7.4		16	Gen Fija	DEF	AYA	11	11	760	16		16	Étienne Trieu	MID	AYA	12	12	914	64		16	Árvin Kodály	GK	SZT	6	6	540	39
