#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Florian Van Can	FWD	ALE	10	10	620	12		1	Jorrit Blankenburg	FWD	ALE	10	10	672	6		1	Péter Szabó	MID	TUR	10	10	568	8.6		1	Kuzma Zvezdinsky	MID	RUD	10	10	667	34		1	Konsta Yrjölä	DEF	KAR	10	10	900	84		1	Matthias Noack	GK	ALE	10	10	900	75
2	Catmon Nacpil	FWD	SGD	10	10	884	11		2	Yerucham Lehrer	MID	SHI	10	10	606	6		2	Lewis Bardsley	MID	ELV	9	9	560	8.3		2	Sheng Huang	MID	FUR	10	10	592	31		2	Gen Fija	DEF	NCH	10	10	900	81		2	Aleksi Järveläinen	GK	KAR	10	10	900	72
3	Valery Polyakov	FWD	GIA	10	10	900	10		3	Kasper Kaljurand	MID	KAR	10	10	490	4		3	Lakhdar Hamidi	MID	ADV	7	7	456	8.2		3	Étienne Trieu	MID	ATK	10	10	645	29		3	Muzaffer Doğan	DEF	SEL	10	10	854	72		3	Vahid Lorestani	GK	VAR	10	10	900	65
4	Neçirvan Barzani	FWD	ADV	10	10	884	10		4	Denis Kuznetsov	FWD	RUD	10	10	831	4		4	Omar Kazluaska	MID	LVO	10	10	575	8.2		4	Lakhdar Hamidi	MID	ADV	7	7	456	28		4	Kasper Kaljurand	MID	KAR	10	10	490	70		4	Shenoute Nebamun	GK	KMT	10	10	900	65
5	Ganzorig Erdene	FWD	NCH	10	10	597	8		5	Batuhan Balyoz	MID	SEL	10	10	726	4		5	Ilya Morozov	MID	GIA	10	10	656	8.2		5	Luca Higashiyama	MID	NCH	9	9	476	28		5	Péter Szabó	MID	TUR	10	10	568	68		5	Oleksandr Shevchenko	GK	SID	10	10	900	60
6	Vinh Ngo	FWD	ATK	10	10	900	8		6	Édouard Szymański	MID	COR	10	10	756	4		6	Kuzma Zvezdinsky	MID	RUD	10	10	667	8.1		6	Gijs Dreesens	MID	ALE	10	10	565	28		6	Tunç Kenaanoğlu	DEF	SEL	10	10	900	68		6	Ivan Dolgorukiy	GK	RUD	10	10	900	57
7	Sarapamon Nakhtmin	FWD	KMT	10	10	597	8		7	Jao Macaraeg	FWD	SGD	10	10	685	4		7	Orkun Çeti̇n	MID	SEL	10	10	556	8.1		7	Lewis Bardsley	MID	ELV	9	9	560	27		7	Linus Kitingan	DEF	CAH	10	10	900	66		7	Zixuan Wang	GK	GUA	10	10	900	54
8	Alimjan Turghun	FWD	PER	10	10	726	8		8	Fengqi Lu	MID	FUR	10	10	784	4		8	Florian Van Can	FWD	ALE	10	10	620	8.0		8	Omar Kazluaska	MID	LVO	10	10	575	27		8	Anoup Ptahmose	MID	KMT	10	10	698	65		8	Eisuke Sato	GK	NCH	10	10	900	49
9	Bastien Shengelia	FWD	AEK	10	10	845	7		9	Ilya Morozov	MID	GIA	10	10	656	4		9	Anoup Ptahmose	MID	KMT	10	10	698	8.0		9	Orkun Çeti̇n	MID	SEL	10	10	556	26		9	Kuzma Zvezdinsky	MID	RUD	10	10	667	63		9	Notini Tikana	GK	AKN	10	10	900	48
10	Denis Kuznetsov	FWD	RUD	10	10	831	6		10	Nikolai Lebedev	MID	GIA	10	10	677	4		10	Kakha Kvernadze	MID	AEK	10	10	605	7.9		10	Péter Szabó	MID	TUR	10	10	568	24		10	Ivan Gavrilovic	DEF	PER	10	10	850	62		10	Yonatan Cohen	GK	SHI	10	10	900	47
11	Haydar Şen	FWD	SEL	10	10	527	6		11	Galsan Badmaev	MID	AXE	10	10	798	4		11	Makisig Liwanag	MID	SGD	8	8	482	7.8		11	Myroslav Zalizniak	MID	SID	10	10	677	23		11	Joris Van Antwerp	DEF	ALE	10	10	768	61		11	Axel Berg	GK	LVO	10	10	900	46
12	Omar Kazluaska	MID	LVO	10	10	575	6		12	Abraham Taloikwao	MID	AGN	10	10	836	4		12	Gijs Dreesens	MID	ALE	10	10	565	7.8		12	Sepideh Shakibaii	MID	VAR	10	10	572	22		12	Szymon Kowalczyk	MID	COR	10	10	824	61		12	Marek Kováč	GK	COR	10	10	900	45
13	Gilad Dahan	FWD	SHI	10	10	900	6		13	Makisig Liwanag	MID	SGD	8	8	482	3		13	Kasper Kaljurand	MID	KAR	10	10	490	7.8		13	Denis Kuznetsov	FWD	RUD	10	10	831	21		13	Gvidas Rimkevičius	DEF	LVO	10	10	832	61		13	Raka Wijaya	GK	CAH	10	10	900	45
14	Carnig Chalikyan	FWD	AEK	10	10	637	6		14	Lewis Bardsley	MID	ELV	9	9	560	3		14	Étienne Trieu	MID	ATK	10	10	645	7.8		14	Bartosz Jastrzębski	MID	COR	10	10	713	21		14	Wesley Wetherby	DEF	ELV	10	10	900	60		14	Josefa Gonelevu	GK	ANB	10	10	900	43
