#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Gustav Kalliokoski	FWD	ARK	5	6		1	Teppo Estinen	MID	VKS	3	3		1	Günther Rajala	FWD	XIV	1	9.6		1	Yūki Hattori	FWD	MRJ	4	10		1	Markku Lappalainen	DEF	AFK	5	20		1	Andero Pollasmaa	GK	TLO	4	22
2	Kanata Hanashima	FWD	VKS	3	4		2	Kimi Vostanen	MID	VKS	3	3		2	Andres Raivo	GK	FIW	1	8.1		2	Chenguang Pei	FWD	AFK	5	9		2	Eesmaa Torppolainen	DEF	TLO	4	19		2	Petri Kumpulainen	GK	NOW	3	17
3	Toppa Rüütelkukk	FWD	PJS	3	4		3	Günther Rajala	FWD	XIV	1	2		3	Into Saarikoski	FWD	SUR	2	8.1		3	Kimi Vostanen	MID	VKS	3	7		3	Ukko Ojala	MID	ARK	5	17		3	Jean Montblanche	GK	AFK	5	17
4	Roððo Duongi	FWD	NOW	3	3		4	Into Saarikoski	FWD	SUR	2	2		4	Daru Jafari	MID	MRJ	4	8.1		4	Töhötöm Molnár	FWD	ARK	5	7		4	Paates Karsson	DEF	TLO	4	16		4	Ernesto Torres	GK	ARK	5	16
5	Yūki Hattori	FWD	MRJ	4	3		5	Bertel Vainojärven	FWD	SYV	2	2		5	Rémi Gauthier	FWD	RJK	1	7.9		5	Gustav Kalliokoski	FWD	ARK	5	7		5	Antti Pohjolainen	DEF	AFK	5	13		5	Heikki Honkanen	GK	KAL	2	13
6	Daru Jafari	MID	MRJ	4	3		6	Valtteri Manninen	FWD	LAK	2	2		6	Roððo Duongi	FWD	NOW	3	7.9		6	Valde Latvala	MID	AFK	5	7		6	Aron Kormolla	DEF	TLO	4	12		6	Rautta Kokko	GK	VKS	3	12
7	James Feruccio	MID	AFK	5	3		7	Zoltán Tóth	DEF	PIE	3	2		7	Balázs Aba	DEF	KUI	1	7.8		7	Daru Jafari	MID	MRJ	4	6		7	Kimi Myllylä	MID	TLO	4	12		7	Aleksanteri Räsänen	GK	PJS	3	12
8	Yngvar Gustavsonn	FWD	SYV	2	2		8	Balázs Jaminai	MID	VKS	3	2		8	Hemmo Terho	FWD	JPB	1	7.8		8	Vladimir Tsoikov	FWD	AFK	5	6		8	Santteri Ylikangas	DEF	MRJ	4	12		8	Andres Raivo	GK	FIW	1	11
9	Miiko Simmes	FWD	LAK	2	2		9	Daru Jafari	MID	MRJ	4	2		9	Dober Mäkinen	GK	RAU	1	7.8		9	Ilmari Kiviojanen	FWD	MPA	2	5		9	Tiitus Hyväronnen	MID	ARK	5	12		9	Jeriel Hosea	GK	SPS	2	11
10	Armes Purtunen	FWD	PIE	3	2		10	Markku Lappalainen	DEF	AFK	5	2		10	Folke Raudkalda	MID	XIV	1	7.8		10	Zoltán Tóth	DEF	PIE	3	5		10	Taavi Saarela	MID	PJS	3	11		10	Erik Aalto	GK	MRJ	4	10
11	Erno Jumanen	MID	VKS	3	2		11	Vladimir Tsoikov	FWD	AFK	5	2		11	Kasper Kaljurand	MID	SYV	2	7.8		11	Soino Jaakola	MID	PIE	3	5		11	Kaino Lahti	MID	TLO	4	11		11	Odd-Isak Hætta	GK	NIE	1	8
12	Sándor Bodor	MID	VKS	3	2		12	Joel Asikainen	MID	OJK	1	1		12	Yūki Hattori	FWD	MRJ	4	7.8		12	Tim Pukki	FWD	PIE	3	5		12	Alfred Korpela	FWD	TLO	4	11		12	Dober Mäkinen	GK	RAU	1	8
13	Otto Hannuksela	FWD	PJS	3	2		13	Kalle Räikkönen	DEF	RJK	1	1		13	Takuma Nakamura	FWD	KUI	1	7.7		13	Ohttola Sillaste	DEF	VKS	3	5		13	Daru Jafari	MID	MRJ	4	11		13	Yrvest Sinnarovic	GK	ART	1	8
14	Urmas Kauppila	FWD	TLO	4	2		14	Fredrik Magganen	MID	RAU	1	1		14	Ilmari Kiviojanen	FWD	MPA	2	7.7		14	Santteri Ylikangas	DEF	MRJ	4	5		14	Aalto Huttunen	DEF	NOW	3	10		14	Andres Silva	GK	NJK	1	8
15	Alfred Korpela	FWD	TLO	4	2		15	Botta Liimatalainen	MID	LAA	1	1		15	Lauri Purvalainen	MID	SYV	2	7.7		15	Kei Tomonaga	FWD	AFK	5	5		15	Ossian Mannerheim	MID	ARK	5	10		15	Kasperi Karinen	GK	RSR	2	8
16	Salteni Pöyhönen	FWD	AFK	4	2		16	Anton Lehtoranten	MID	RSR	2	1		16	Toppa Rüütelkukk	FWD	PJS	3	7.7		16	Elias Tooming	MID	RPS	1	4		16	Jaakima Porvorinen	MID	ARK	5	10		16	Toma Shimabukuro	GK	LAA	2	8
17	Johann Berglund	MID	MRJ	4	2		17	Ilmari Kiviojanen	FWD	MPA	2	1		17	Valtteri Manninen	FWD	LAK	2	7.6		17	Antos Niillán	MID	MPA	2	4		17	Aslak Nillavuopio	DEF	NIE	1	9		17	Valtteri Aravirta	GK	PIE	3	8
18	Péter Alföldi	FWD	MRJ	4	2		18	Väino Rautavaara	FWD	SUR	2	1		18	Kimi Vostanen	MID	VKS	3	7.6		18	Into Saarikoski	FWD	SUR	2	4		18	Sentilla Ylitalen	DEF	KAL	2	9		18	Topi Bonkonen	GK	UNI	1	7
19	Kei Tomonaga	FWD	AFK	5	2		19	Kasper Kaljurand	MID	SYV	2	1		19	Kanata Hanashima	FWD	VKS	3	7.6		19	András Arató	FWD	SYV	2	4		19	Kimi Vostanen	MID	VKS	3	9		19	Aleksanteri Portalla	GK	LAK	2	7
