SEASON	WINNER	RUNNER-UP	SCORE
1898	Pietari FK	Åulot FK	2-1
1899	Tsirvakka JK	RöPS	4-1
1900	Roudanjärvi JK	Kuittijärvi JK	2-1
1901	Pietari FK	Kuittijärvi JK	2-1
1902	Åulot FK	Syväsjärvi JK	2-1
1903	Syväsjärvi JK	Murmánska Partisani	1-0
1904	Roudanjärvi JK	Pietari FK	2-0
1905	Red Star Roudanjärvi	Union Nowgorod	3-2
1906	Kuittijärvi JK	Musta Roudanjärvi	2-1
1907	RöPS	Red Star Roudanjärvi	0-0 AET (4-3 PEN)
1908	Union Nowgorod	Rautaniemi JK	2-1
1909	Roudanjärvi JK	Pietari FK	1-1 AET (5-4 PEN)
1910	Pietari FK	Union Nowgorod	1-0
1911	RöPS	Red Star Roudanjärvi	3-1
1912	Red Star Roudanjärvi	Tsirvakka JK	1-0
1913	Murmánska Partisani	RöPS	2-0
1914	Kalaraava JK	Murmánska Partisani	1-1 AET (4-3 PEN)
1915	Kalaraava JK	Union Nowgorod	1-0
1919	Pietari FK	Tsirvakka JK	3-2
1920	Red Star Roudanjärvi	Syväsjärvi JK	2-1
1922	Roudanjärvi JK	Syväsjärvi JK	1-0
1923	VKS	RöPS	2-1
1924	Syväsjärvi JK	Murmánska Partisani	1-0
1925	Pietari FK	Tsirvakka JK	1-0
1926	Red Star Roudanjärvi	Roudanjärvi JK	2-0
1927	VKS	Tsirvakka JK	2-1
1928	RöPS	Red Star Roudanjärvi	1-0
1929	Murmánska Partisani	RöPS	2-1
1930	Murmánska Partisani	Perona JS	2-1
1931	Pietari FK	Jieknaluokta Polar Bears	1-1 AET (7-6 PEN)
1932	Pietari FK	XIV. District JK	2-0
1933	Pietari FK	Niemilinna JK	1-1 AET (4-3 PEN)
