#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Artem Tkachenko	FWD	SID	6	6	518	10		1	Octave Desjardins	MID	ARV	6	6	339	7		1	Gonzalo Valbuena	MID	ASK	4	4	239	8.6		1	Sepideh Shakibaii	MID	VAR	9	9	432	23		1	Kōzō Fujise	DEF	NCH	9	9	695	71		1	Eisuke Sato	GK	NCH	9	9	810	78
2	József Antall	FWD	TUR	4	4	266	7		2	Sudhir Chakraborty	MID	NHO	7	7	379	6		2	Youssef Valverde	MID	AEM	3	3	198	8.4		2	Octave Desjardins	MID	ARV	6	6	339	20		2	Touraj Hayaii	DEF	VAR	9	9	739	71		2	Vahid Lorestani	GK	VAR	9	9	810	69
3	Guillaume Maison	MID	ARV	6	6	356	6		3	Omar Kazluaska	MID	LVO	4	4	242	4		3	József Antall	FWD	TUR	4	4	266	8.2		3	Omar Kazluaska	MID	LVO	4	4	242	17		3	Gen Fija	DEF	NCH	9	9	810	67		3	Rafael Rosario	GK	AUR	8	8	720	57
4	Pita Rata	FWD	ANH	6	6	375	6		4	August Rittenhouse	MID	PON	5	5	348	4		4	William Levice	MID	SAL	5	5	325	8.2		4	Orkun Çeti̇n	MID	SEL	6	6	338	17		4	Eskandar Dehghan	DEF	VAR	9	9	810	66		4	Piers Skoronsky	GK	SAL	5	5	450	49
5	Saīd Farzan	FWD	VAR	8	0	280	6		5	Sepideh Shakibaii	MID	VAR	9	9	432	4		5	Chenguang Pei	FWD	GUA	3	3	270	8.0		5	Jadarian Royce	MID	ESU	5	5	305	16		5	Kazuyoshi Hiranuma	DEF	NCH	9	9	810	63		5	Matthias Noack	GK	ALE	5	5	450	48
6	Laurenz Reinhart	FWD	PON	5	0	132	5		6	Artem Tkachenko	FWD	SID	6	6	518	3		6	Kasper Kaljurand	MID	KAR	3	3	193	8.0		6	Sudhir Chakraborty	MID	NHO	7	7	379	16		6	Jenaro Salamanca	DEF	AUR	8	8	675	60		6	Callum Calhoun	GK	HOL	6	6	540	40
7	Daulat Siregar	FWD	CAH	6	6	387	5		7	Juvenal Vera	FWD	AUR	8	8	411	3		7	Kakha Kvernadze	MID	AEK	4	4	242	8.0		7	August Rittenhouse	MID	PON	5	5	348	15		7	Genma Nishigawa	DEF	NCH	9	9	753	60		7	Spencer Jackson	GK	ESU	5	5	450	36
8	Kamal Bodhipal	FWD	NHO	7	7	467	5		8	Chenguang Pei	FWD	GUA	3	3	270	2		8	Jadarian Royce	MID	ESU	5	5	305	8.0		8	Sviatoslav Boyko	MID	SID	6	6	421	15		8	Leonardo Urdaneta	DEF	HOL	6	6	540	59		8	Basem Shenouda	GK	NRG	5	5	450	33
9	Tatsuki Akagawa	FWD	NHO	7	7	465	5		9	Youssef Valverde	MID	AEM	3	3	198	2		9	Sepideh Shakibaii	MID	VAR	9	9	432	8.0		9	Luca Higashiyama	MID	NCH	9	9	388	15		9	Ardalan Danesh	DEF	VAR	9	9	746	59		9	Magnus Andersson	GK	SKJ	7	7	630	32
10	Rosendo Zapatero	FWD	AUR	8	8	381	5		10	Jaan Soosaar	MID	KAR	3	3	239	2		10	Simphiwe Chabalala	MID	ASP	3	3	158	7.9		10	Victor Tvedt	MID	SKJ	7	7	445	14		10	Jose Carlos Pescador	DEF	AUR	8	8	720	57		10	Nikolaos Papadopoulos	GK	AST	4	4	360	28
