#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Trent Hawthorne	FWD	ISS	36	28		1	Yerrin Chindura	MID	ISS	37	12		1	Miltiadis Galanis	FWD	VIR	36	7.3		1	Yerrin Chindura	MID	ISS	37	54		1	Kenshirō Unagami	DEF	SHZ	38	135		1	Dānilo Pavlović	GK	SEN	38	232
2	Miltiadis Galanis	FWD	VIR	36	28		2	Denis Kuznetsov	FWD	SPK	36	10		2	Trent Hawthorne	FWD	ISS	36	7.2		2	Octave Desjardins	MID	DYM	36	52		2	Cristian Urdaneta	DEF	NIK	37	134		2	Sōta Kuribayashi	GK	ASH	38	197
3	Shō Itoshi	FWD	SPK	36	26		3	Miltiadis Galanis	FWD	VIR	36	10		3	Luca Higashiyama	MID	VIR	37	7.2		3	Hiro Oshiro	MID	DYM	37	46		3	Yoshikazu Takanen	DEF	DYM	36	132		3	Akihisa Kubo	GK	FCH	38	190
4	Taiga Bashira	FWD	DYM	36	23		4	Hiro Oshiro	MID	DYM	37	9		4	Yerrin Chindura	MID	ISS	37	7.2		4	Masaru Jakamarra	MID	ISS	38	46		4	Kōzō Fujise	DEF	DYM	35	129		4	Od-Erdene Tsakhia	GK	ORU	38	189
5	Constantin Reverdin	FWD	AYA	37	21		5	Arslanbaatar Ganbold	MID	ORU	37	9		5	Taiga Bashira	FWD	DYM	36	7.2		5	Orkun Çeti̇n	MID	NAG	37	44		5	Takeru Nakandakari	DEF	NIK	37	121		5	Juhani Hämälainen	GK	AYA	38	188
6	Hiromu Furuhashi	FWD	SHZ	37	21		6	Masaru Jakamarra	MID	ISS	38	9		6	Hiromu Furuhashi	FWD	SHZ	37	7.1		6	Sviatoslav Boyko	MID	NAG	37	43		6	Kōki Samejima	DEF	TAK	37	121		6	Dural Tanumura	GK	SSK	38	187
7	József Antall	FWD	NAG	36	20		7	Kenji Nagase	FWD	SSK	38	9		7	Denis Kuznetsov	FWD	SPK	36	7.1		7	Aurélien Pasquier	MID	SHZ	35	42		7	Ørjan Skjelbred	DEF	SHM	37	120		7	Haruki Edagawa	GK	SUM	38	180
8	Arnold Bjarnfreðsson	FWD	TAK	37	20		8	Ander Zubikarai	FWD	MAK	35	8		8	Arnold Bjarnfreðsson	FWD	TAK	37	7.1		8	Raffaele Lucchese	MID	ISS	37	42		8	Tömörbaatar Ganzorig	DEF	ORU	38	118		8	Joavnna Gaup	GK	TOY	38	178
9	Sepideh Shakibaii	FWD	TOY	34	18		9	Sviatoslav Boyko	MID	NAG	37	8		9	Shō Itoshi	FWD	SPK	36	7.1		9	Umberto Bellarmino	MID	NAG	37	42		9	Kiyoshi Torigoe	MID	ISS	38	117		9	Ryūnosuke Chimura	GK	MAK	38	151
10	Kenichi Mitsui	FWD	DYM	37	18		10	Sixten Karlsson	MID	SPK	38	8		10	Constantin Reverdin	FWD	AYA	37	7.1		10	Siim Kallasmaa	MID	SAT	37	42		10	Niklas Weidmann	DEF	FCH	37	116		10	Unai Izagirre	GK	KAM	38	144
