SEASON	WINNER
1901	AFC Makinohara
1902	Kōshū Sentinels
1903	Shimonosaki Marina
1904	Ayanami Sei-Hachiman
1905	Shimonosaki Marina
1906	Ayanami Sei-Hachiman
1907	Shimonosaki Marina
1908	Kannushi
1909	Shiome Matsuumi
1910	Kōshū Sentinels
1911	Moriguchi Muraglia
1912	Locomotive Fūchumachi
1913	Kannushi
1914	Club Valtheria
1921	Shiome Matsuumi
1922	Kōshū Sentinels
1923	Shimonosaki Marina
1924	Sumerajima SIPG
1925	Nikaidō Izumiya
1926	Ayanami Sei-Hachiman
1927	Kōshū Sentinels
1928	Kamabuchi Carnifex
1929	Locomotive Fūchumachi
1930	Sumerajima SIPG
1931	Shizuku Athletic
1932	Takarazuka Kaigun
1933	Satsuno Nightingales
