#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Arnold Bjarnfreðsson	FWD	TAK	4	4		1	Wenkai Zhao	MID	KOS	2	2		1	Tatsuya Okuyama	DEF	MRG	1	8.3		1	Genta Obinata	MID	TAK	4	8		1	Began Andersen	DEF	SHZ	4	19		1	Juhani Hämälainen	GK	AYA	5	33
2	Yavuz Koç	FWD	SHM	2	3		2	Sixten Karlsson	MID	SPK	2	2		2	Hayato Sagami	FWD	MRG	1	7.9		2	Shōhei Kaburagi	MID	TAK	4	7		2	Tōgo Tanioka	MID	SHZ	4	19		2	Nikolaos Papadopoulos	GK	VIR	5	24
3	Shō Itoshi	FWD	SPK	2	3		3	Kōhei Asamura	FWD	MAK	3	2		3	Gen Suematsu	MID	MRG	1	7.8		3	Aurélien Pasquier	MID	SHZ	4	7		3	Erlend Mikkelsen	MID	SHZ	4	18		3	Yūya Tachikawa	GK	RYO	2	15
4	Eito Dōmeki	MID	MAK	3	3		4	Shōhei Kaburagi	MID	TAK	4	2		4	Johan De Ridder	DEF	SSK	1	7.8		4	Tatsuya Okuyama	DEF	MRG	1	6		4	Kenshirō Unagami	DEF	SHZ	4	17		4	Basem Shenouda	GK	SHZ	4	14
5	Themistoklis Zervas	MID	VIR	5	3		5	Miltiadis Galanis	FWD	VIR	5	2		5	Diego Montenegro	DEF	CHU	2	7.7		5	Chaghagan Uua Uder	MID	ORU	3	6		5	Genta Obinata	MID	TAK	4	16		5	Ren Ikegami	GK	BGE	1	13
6	Miltiadis Galanis	FWD	VIR	5	3		6	Luca Higashiyama	MID	VIR	5	2		6	Junya Narahara	MID	SHM	2	7.7		6	Arslanbaatar Ganbold	MID	ORU	3	6		6	Hajime Ōyama	MID	AYA	5	15		6	Akihisa Kubo	GK	FCH	2	13
7	Jun'ichi Teraoka	FWD	RYO	2	2		7	Tatsuya Okuyama	DEF	MRG	1	1		7	Yavuz Koç	FWD	SHM	2	7.7		7	Itsuki Toguchi	MID	AYA	5	6		7	Haruto Kido	MID	SHZ	4	14		7	Jordan Stanford	GK	SPK	2	12
8	Akihiro Kaibara	FWD	CHU	2	2		8	Ryūhei Kuriyama	MID	MRG	1	1		8	Sixten Karlsson	MID	SPK	2	7.6		8	Sviatoslav Boyko	MID	NAG	2	5		8	Hiromu Furuhashi	FWD	SHZ	4	14		8	Semyon Volkov	GK	TAK	4	12
9	Junya Narahara	MID	SHM	2	2		9	Hayato Sagami	FWD	MRG	1	1		9	Shūji Kannazuki	GK	KAN	1	7.5		9	Sixten Karlsson	MID	SPK	2	5		9	Diego Montenegro	DEF	CHU	2	13		9	Kenzō Fujinami	GK	KOS	2	10
10	Ryōsuke Tsugawa	FWD	KOS	2	2		10	Drake Kessler	MID	NIK	1	1		10	Katsunori Haneda	DEF	MAT	2	7.5		10	Nuno Gouveia	MID	SPK	2	5		10	Buri Bulchiru Kaishan	MID	ORU	3	13		10	Miklós Nagy	GK	ISS	2	10
