#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG
1	Shō Itoshi	FWD	NCH	7	7		1	Konsta Yrjölä	DEF	KAR	5	5		1	Shō Itoshi	FWD	NCH	7	8.1
2	Florian Van Can	FWD	ALE	4	5		2	Antoine Bagradian	MID	ARV	7	4		2	Florian Van Can	FWD	ALE	4	8.0
3	Horace Peshlakai	FWD	CAL	7	5		3	Dale Landry	MID	HOL	7	4		3	Yeray Bengoetxea	MID	ASK	5	7.7
4	Pavel Sokolov	FWD	RUD	4	4		4	Simón Arismendi	FWD	HOL	7	4		4	Petr Procházka	MID	ALE	4	7.7
5	Siegmund Stracke	FWD	PON	4	4		5	Ibai Urrutia	DEF	ASK	5	3		5	Siegmund Stracke	FWD	PON	4	7.7
6	Harry Caine	FWD	ELV	4	4		6	Levi Nez	FWD	CAL	7	3		6	Harry Caine	FWD	ELV	4	7.7
7	Miltiadis Galanis	FWD	AST	4	4		7	Guillaume Chardon	MID	ARV	7	3		7	Made Djelantik	FWD	CAH	3	7.7
8	Roððo Duongi	FWD	KAR	5	4		8	Kemar Browner	MID	HOL	7	3		8	Vidi Sastrowardoyo	MID	CAH	2	7.6
9	Rosendo Zapatero	FWD	AUR	5	4		9	Vidi Sastrowardoyo	MID	CAH	2	2		9	Makoto Kishima	MID	NCH	7	7.6
10	Walter Thurmund III	MID	HOL	6	4		10	Pedram Nazeri	FWD	VAR	3	2		10	Miltiadis Galanis	FWD	AST	4	7.6
11	Luca Higashiyama	MID	NCH	7	4		11	Salvatore Romano	MID	VIC	3	2		11	Stijn Boelens	MID	ALE	4	7.6
12	Antoine Bagradian	MID	ARV	7	4		12	Ondřej Černý	MID	ALE	4	2		12	Antoine Bagradian	MID	ARV	7	7.6
13	Kamron Chancellor	MID	HOL	7	4		13	Denis Kuznetsov	MID	RUD	4	2		13	Trent Hawthorne	FWD	ESU	5	7.5
14	Raffaele Lucchese	FWD	VIC	3	3		14	Erast Pobedonostsev	FWD	RUD	4	2		14	Danylo Perebyinis	MID	SID	3	7.5
15	Earl Tomlinson	MID	HOL	4	3		15	Jedidiah Wanamaker	DEF	PON	4	2		15	Ondřej Černý	MID	ALE	4	7.5
16	Sheng Huang	MID	FUR	4	3		16	Haoran Peng	MID	FUR	4	2		16	Konsta Yrjölä	DEF	KAR	5	7.5
17	Yeray Bengoetxea	MID	ASK	5	3		17	Callum Davies	DEF	ELV	4	2		17	Ibai Urrutia	DEF	ASK	5	7.5
18	Pau Puigcorbé	FWD	ASK	5	3		18	Themistoklis Zervas	MID	AST	4	2		18	Taiga Bashira	MID	NCH	6	7.5
19	Makoto Kishima	MID	NCH	7	3		19	Paavo Seppälä	DEF	KAR	5	2		19	Pau Puigcorbé	FWD	ASK	5	7.5
20	Rémi Gauthier	FWD	ARV	7	3		20	Rocco De Luca	MID	ESU	5	2		20	Ganzorig Erdene	FWD	NCH	7	7.5
21	Simón Arismendi	FWD	HOL	7	3		21	Matías Salcedo	FWD	ASK	5	2		21	Luca Higashiyama	MID	NCH	7	7.5
22	Danylo Perebyinis	MID	SID	3	2		22	Taiga Bashira	MID	NCH	6	2		22	Roððo Duongi	FWD	KAR	5	7.5
23	Made Djelantik	FWD	CAH	3	2		23	Ricardo Sherman	MID	HOL	6	2		23	Thomas Hargreaves	MID	ELV	4	7.5
24	Cihan Kartaca	MID	SEL	3	2		24	Takeru Mikado	MID	NCH	7	2		24	Rodrigo Alvarenga	DEF	ASK	5	7.5
25	Petr Procházka	MID	ALE	4	2		25	Shō Itoshi	FWD	NCH	7	2		25	Leandro Escudero	MID	ASK	1	7.5
26	Kuzma Zvezdinsky	MID	RUD	4	2		26	Ganzorig Erdene	FWD	NCH	7	2		26	August Rittenhouse	MID	PON	4	7.5
27	Erast Pobedonostsev	FWD	RUD	4	2		27	Leandro Escudero	MID	ASK	1	1		27	Simón Arismendi	FWD	HOL	7	7.5
28	Vinh Ngo	FWD	ATK	4	2		28	Archibald Bamford	MID	ENR	3	1		28	Raffaele Lucchese	FWD	VIC	3	7.5
29	Wilhelm Giesel	FWD	PON	4	2		29	Warrik Wirandaru	DEF	NKI	3	1		29	Rosendo Zapatero	FWD	AUR	5	7.4
30	Fengqi Lu	MID	FUR	4	2		30	Osamu Matsumoto	MID	NKI	3	1		30	Masaru Jakamarra	FWD	NKI	3	7.4
31	Vito Moretti	MID	ESU	5	2		31	Tarran Nyaruguru	MID	NKI	3	1		31	Daigo Takanashi	DEF	NCH	7	7.4
32	Trent Hawthorne	FWD	ESU	5	2		32	Enhle Khumalo	DEF	ASP	3	1		32	Oriol Montagut	DEF	ASK	5	7.4
33	Leon Vogel	FWD	ESU	5	2		33	Ashkan Mahdavi	FWD	VAR	3	1		33	Gonzalo Valbuena	MID	ASK	5	7.4
34	Ricardo Sherman	MID	HOL	6	2		34	Eleu Pokipala	FWD	AED	3	1		34	Valentin Peixoto	DEF	ASK	5	7.4
35	Alton Begay	MID	CAL	7	2		35	Taras Bondarenko	MID	SID	3	1		35	Pavel Sokolov	FWD	RUD	4	7.3
36	Ganzorig Erdene	FWD	NCH	7	2		36	Artem Tkachenko	MID	SID	3	1		36	Horace Peshlakai	FWD	CAL	7	7.3
37	Kemar Browner	MID	HOL	7	2		37	Vasyl Nalyvaiko	DEF	SID	3	1		37	Gijs Dreesens	MID	ALE	4	7.3
38	Fulgens Tirkey	DEF	ENR	3	1		38	Ghaith Musawi	MID	ADV	3	1		38	Jackson Miller	GK	CAL	7	7.3
39	Junichiro Tarugara	MID	NKI	3	1		39	Safwan Azzawi	MID	ADV	3	1		39	Marcus Wright	MID	ELV	4	7.3
40	Minoru Andō	MID	NKI	3	1		40	Teguh Setiawan	DEF	CAH	3	1		40	Jaan Soosaar	MID	KAR	5	7.3
41	Masaru Jakamarra	FWD	NKI	3	1		41	Made Djelantik	FWD	CAH	3	1		41	Vinh Ngo	FWD	ATK	4	7.3
42	Yanbo Ma	MID	GUA	3	1		42	Kannan Kurup	FWD	CAH	3	1		42	Raka Wijaya	GK	CAH	3	7.3
43	Simphiwe Chabalala	FWD	ASP	3	1		43	Emilio Bianchi	MID	VIC	3	1		43	Matías Salcedo	FWD	ASK	5	7.3
44	Maziar Sahat	MID	VAR	3	1		44	Cosimo Colombo	FWD	VIC	3	1		44	Osmo Rástoš	MID	KAR	5	7.3
45	Ashkan Mahdavi	FWD	VAR	3	1		45	Hartmut Kinkeldey	MID	PON	3	1		45	Eisuke Sato	GK	NCH	7	7.3
46	Sepideh Shakibaii	FWD	VAR	3	1		46	Clifton Papatie	MID	ATA	3	1		46	Takeru Mikado	MID	NCH	7	7.3
47	Siavash Mehrian	MID	VAR	3	1		47	Vural Surlu	MID	SEL	3	1		47	Vojtěch Novotný	DEF	ALE	4	7.3
48	Nakoa Kealoha	DEF	AED	3	1		48	Batuhan Balyoz	MID	SEL	3	1		48	Janh Nguyen	GK	ATK	4	7.3
49	Ihor Kovalenko	DEF	SID	3	1		49	Haydar Şen	FWD	SEL	3	1		49	Xavier Cienfuegos	GK	ASK	5	7.3
50	Jangir Barwari	DEF	ADV	3	1		50	Alimjan Turghun	FWD	PER	3	1		50	Kōzō Fujise	DEF	NCH	7	7.3
51	Bassam Khafaji	MID	ADV	3	1		51	Ramses Makram	DEF	KMT	3	1		51	Zixuan Wang	GK	GUA	4	7.3
52	Eliezer Bansa	MID	CAH	3	1		52	Ezio Zanon	MID	KMT	3	1		52	Cayetano Montoya	DEF	AUR	5	7.3
53	Kannan Kurup	FWD	CAH	3	1		53	Vojtěch Novotný	DEF	ALE	4	1		53	Klaus Bernhard	GK	ALE	4	7.3
54	Daulat Siregar	FWD	CAH	3	1		54	Joris Van Antwerp	DEF	ALE	4	1		54	Rémi Gauthier	FWD	ARV	7	7.3
55	Cosimo Colombo	FWD	VIC	3	1		55	Tomáš Svoboda	MID	ALE	4	1		55	Phong Le	DEF	ATK	4	7.3
56	Tanvir Howlader	FWD	NHO	3	1		56	Stijn Boelens	MID	ALE	4	1		56	Rocco De Luca	MID	ESU	5	7.3
57	Biidaaban Manitowabi	FWD	ATA	3	1		57	Florian Van Can	FWD	ALE	4	1		57	Efraín Arenas	DEF	AUR	5	7.3
58	Keesic Nottaway	MID	ATA	3	1		58	Gijs Dreesens	MID	ALE	4	1		58	Erast Pobedonostsev	FWD	RUD	4	7.3
59	Muzaffer Doğan	DEF	SEL	3	1		59	Xuanming Qiao	DEF	GUA	4	1		59	Arthur Whitmore	MID	ELV	4	7.3
60	Fedor Frolov	FWD	PER	3	1		60	Qiushi Zhang	MID	GUA	4	1		60	Iraklis Christodoulou	FWD	AST	4	7.3
61	Lionello Moscatelli	DEF	KMT	3	1		61	Wenkai Zhao	MID	GUA	4	1		61	Kannan Kurup	FWD	CAH	3	7.3
62	Virgilio Piromalli	MID	KMT	3	1		62	Chenguang Pei	FWD	GUA	4	1		62	Walter Thurmund III	MID	HOL	6	7.3
63	Suriel Doss	FWD	KMT	3	1		63	Sergei Smirnov	DEF	RUD	4	1		63	Vito Moretti	MID	ESU	5	7.3
