#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Valery Polyakov	FWD	GIA	5	5		1	Gijs Dreesens	MID	ALE	7	5		1	Jakub Dvořák	MID	ALE	7	7.6		1	Tim Pukki	FWD	KAR	7	27		1	Daniel Korhonen	DEF	KAR	7	14		1	Aleksi Järveläinen	GK	KAR	7	27
2	Vinh Ngo	FWD	ATK	5	5		2	Cuong Khuat	DEF	ATK	5	3		2	Kenichi Mitsui	FWD	NCH	3	7.5		2	Jakub Dvořák	MID	ALE	7	26		2	Tadhana Batumbakal	DEF	SGD	7	11		2	Ovidiu Popescu	GK	SLY	7	23
3	Jaan Soosaar	MID	KAR	7	4		3	Rocco De Luca	MID	ESU	5	3		3	Ahmet Aydin	GK	SEL	3	7.5		3	Petr Procházka	FWD	ALE	7	21		3	Rashad Verdiyev	MID	AEK	4	11		3	Renzo Agbayani	GK	SGD	7	23
4	Jakub Dvořák	MID	ALE	7	4		4	Dominic Winslow	FWD	ESU	5	3		4	Kenji Nagase	FWD	NHO	3	7.4		4	Arcadio Villa	FWD	AUR	5	20		4	Ilie Radu	DEF	SLY	7	10		4	Yang Chen	GK	FUR	4	21
5	Haydar Şen	FWD	SEL	3	3		5	Severino Guzmán	FWD	AUR	5	3		5	Yang Chen	GK	FUR	4	7.4		5	Ondřej Černý	MID	ALE	7	19		5	Yaroslav Kryvonis	DEF	SID	4	9		5	Ahmet Aydin	GK	SEL	3	19
6	Hjalmar Lindström	FWD	SKJ	4	3		6	Jaan Soosaar	MID	KAR	7	3		6	Danylo Perebyinis	MID	SID	4	7.4		6	Vidi Sastrowardoyo	MID	CAH	4	18		6	Costin Codreanu	DEF	SLY	7	9		6	Oleksandr Shevchenko	GK	SID	4	19
7	Danylo Perebyinis	MID	SID	4	3		7	Jakub Dvořák	MID	ALE	7	3		7	Taras Bondarenko	MID	SID	4	7.4		7	Florian Van Can	FWD	ALE	7	18		7	Narra Catacutan	DEF	SGD	7	9		7	Semyon Volkov	GK	GIA	5	18
8	Zamir Peled	MID	SHI	4	3		8	Taiga Bashira	MID	NCH	3	2		8	Made Djelantik	FWD	CAH	4	7.3		8	Grigore Stoica	FWD	SLY	7	17		8	Sagip Gatmaitan	DEF	SGD	7	9		8	Klaus Bernhard	GK	ALE	7	18
9	Rosendo Zapatero	FWD	AUR	5	3		9	Selçuk Demirci	MID	SEL	3	2		9	Jabulani Dlamini	GK	ASP	3	7.3		9	Catmon Nacpil	FWD	SGD	7	17		9	Thinh Dang	MID	ATK	5	9		9	Rafael Rosario	GK	AUR	5	15
10	Tim Pukki	FWD	KAR	7	3		10	Dionysios Vlahos	MID	AST	4	2		10	Oleksandr Shevchenko	GK	SID	4	7.3		10	Dragoș Dumitrescu	MID	SLY	7	16		10	Taras Bondarenko	MID	SID	4	8		10	Yonatan Cohen	GK	SHI	4	14
