#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Raffaele Lucchese	FWD	VIC	10	10	900	8		1	Youssef Valverde	MID	AEM	10	10	570	5		1	Gonzalo Valbuena	MID	ASK	10	10	606	8.6		1	Octave Desjardins	MID	ARV	10	10	528	39		1	Tilman Zartmann	DEF	PON	10	10	900	82		1	Nikolaos Papadopoulos	GK	AST	10	10	900	78
2	Amos Donnelly	FWD	SAL	9	9	664	7		2	William Levice	MID	SAL	10	10	669	4		2	William Levice	MID	SAL	10	10	669	8.4		2	Sudhir Chakraborty	MID	NHO	10	10	583	30		2	Alton Begay	DEF	ESU	10	10	851	77		2	Dural Tanumura	GK	NKI	10	10	900	77
3	Sofiane Mansouri	FWD	ABB	10	10	626	7		3	Gatdet Hoth	MID	SSA	10	10	811	4		3	Simphiwe Chabalala	MID	ASP	6	6	365	8.1		3	August Rittenhouse	MID	PON	10	10	630	29		3	Émile D'Artagnan	DEF	ARV	10	10	900	71		3	Yassine Benali	GK	AEM	10	10	900	72
4	Ronald Ward	FWD	SAL	10	10	900	6		4	Iraklis Christodoulou	FWD	AST	9	9	571	3		4	Octave Desjardins	MID	ARV	10	10	528	8.1		4	Jadarian Royce	MID	ESU	10	10	541	28		4	Octave Desjardins	MID	ARV	10	10	528	69		4	Spencer Jackson	GK	ESU	10	10	859	62
5	Levi Kignak	FWD	MOR	10	10	696	6		5	Octave Desjardins	MID	ARV	10	10	528	3		5	August Rittenhouse	MID	PON	10	10	630	8.1		5	Yerrin Chindura	MID	NKI	10	10	560	28		5	Sudhir Chakraborty	MID	NHO	10	10	583	69		5	Piers Skoronsky	GK	SAL	10	10	900	62
6	Amarjyoti Bhuyan	FWD	GUP	10	10	887	6		6	Gonzalo Valbuena	MID	ASK	10	10	606	3		6	Sudhir Chakraborty	MID	NHO	10	10	583	8.1		6	Kamron Chancellor	MID	HOL	10	10	521	27		6	Ismael Menéndez	DEF	ASK	10	10	900	66		6	Jabulani Dlamini	GK	ASP	10	10	900	60
7	Eleu Pokipala	FWD	AED	10	10	653	6		7	Kamron Chancellor	MID	HOL	10	10	521	3		7	Yerrin Chindura	MID	NKI	10	10	560	8.0		7	Valentino Zaccagni	MID	VIC	10	10	660	25		7	Guillaume Maison	MID	ARV	10	10	598	65		7	Xavier Cienfuegos	GK	ASK	10	10	900	59
8	Festo Gbaduma	FWD	SSA	10	10	656	6		8	Lorenzo Squillaci	DEF	VIC	10	10	741	3		8	Valentino Zaccagni	MID	VIC	10	10	660	7.9		8	Olegario Pérez	MID	AUR	10	10	611	25		8	Gonzalo Valbuena	MID	ASK	10	10	606	63		8	Sibö Kurbli	GK	NMZ	10	10	900	56
9	Rémi Gauthier	FWD	ARV	7	7	415	5		9	Olegario Pérez	MID	AUR	10	10	611	3		9	Themistoklis Zervas	MID	AST	10	10	669	7.9		9	Durí Karí	MID	NMZ	10	10	546	22		9	Earl Tomlinson	MID	HOL	10	10	815	62		9	Ashim Bhattacharya	GK	NHO	10	10	900	53
10	Matías Salcedo	FWD	ASK	10	10	693	5		10	Eijiro Matsumoto	MID	NKI	10	10	876	3		10	Kamron Chancellor	MID	HOL	10	10	521	7.8		10	Youssef Valverde	MID	AEM	10	10	570	22		10	Jedidiah Wanamaker	DEF	PON	10	10	861	61		10	Callum Calhoun	GK	HOL	10	10	900	50
11	Simón Arismendi	FWD	HOL	10	10	535	5		11	Sudhir Chakraborty	MID	NHO	10	10	583	3		11	Rémi Gauthier	FWD	ARV	7	7	415	7.7		11	Gonzalo Valbuena	MID	ASK	10	10	606	19		11	Aristeidis Georgiou	DEF	AST	10	10	900	61		11	Rafael Rosario	GK	AUR	10	10	900	48
12	Miltiadis Galanis	FWD	AST	10	10	863	5		12	Eruera Waititi	FWD	ANH	10	10	657	3		12	Jadarian Royce	MID	ESU	10	10	541	7.7		12	Themistoklis Zervas	MID	AST	10	10	669	19		12	Anirban Goswami	DEF	NHO	10	10	858	61		12	Basem Shenouda	GK	NRG	10	10	900	47
13	Kamal Bodhipal	FWD	NHO	10	10	642	5		13	Joaquim Fonseca	MID	ATA	10	10	829	3		13	Youssef Valverde	MID	AEM	10	10	570	7.7		13	Silvio Caruso	MID	ESU	10	10	900	18		13	Durí Karí	MID	NMZ	10	10	546	61		13	Massimo Visconti	GK	VIC	10	10	900	39
14	Eruera Waititi	FWD	ANH	10	10	657	5		14	Darsing Teron	FWD	GUP	10	10	766	3		14	Durí Karí	MID	NMZ	10	10	546	7.6		14	Guillaume Maison	MID	ARV	10	10	598	18		14	Wade Boone	DEF	HOL	10	10	851	60		14	Thirumal Annamalai	GK	ARU	10	10	900	37
15	Pita Rata	FWD	ANH	10	10	644	5		15	Oviyan Venkataraman	MID	ARU	10	10	846	3		15	Sofiane Mansouri	FWD	ABB	10	10	626	7.6		15	Dale Landry	MID	HOL	10	0	418	18		15	August Rittenhouse	MID	PON	10	10	630	60		15	Maximilian Mollenhauer	GK	PON	10	10	900	34
16	Dorofei Lestenkof	FWD	MOR	10	10	851	5		16	Odilon Borkono	MID	VAN	10	10	832	3		16	Merkurios Kudanbes	DEF	NRG	9	9	583	7.5		16	Epaminondas Mavromatis	MID	AST	10	10	746	16		16	Themistoklis Zervas	MID	AST	10	10	669	60		16	Atiqtalik Ahmaogak	GK	MOR	10	10	900	34
17	Ildefonso Morón	FWD	AEM	10	10	900	5		17	Simphiwe Chabalala	MID	ASP	6	6	365	2		17	Simón Arismendi	FWD	HOL	10	10	535	7.5		17	Amarjyoti Bhuyan	FWD	GUP	10	10	887	16		17	Youssef Valverde	MID	AEM	10	10	570	60		17	Bibhuti Mohapatra	GK	ENR	10	10	900	33
18	Niibin Nadjiwon	FWD	ATA	10	10	722	5		18	Rofiqul Khandaker	FWD	AWB	9	9	624	2		18	Ricardo Sherman	MID	HOL	10	10	640	7.5		18	Ferdinand Dumas	MID	ARV	10	10	692	15		18	Mattieu Donnadieu	DEF	ARV	9	9	799	59		18	Fabien Blanchet	GK	ARV	10	10	900	32
19	Rubel Munshi	FWD	AWB	8	1	315	4		19	Albrecht Von Haast	MID	ANH	9	9	657	2		19	Olegario Pérez	MID	AUR	10	10	611	7.5		19	Yëría Kaché	MID	NMZ	10	10	615	15		19	Elliot Farnsworth	DEF	ESU	10	10	900	59		19	Gareth Tipene	GK	ANH	10	10	900	31
20	Masaru Jakamarra	FWD	NKI	9	9	498	4		20	Ophir Azoulay	MID	SSA	9	2	234	2		20	Amos Donnelly	FWD	SAL	9	9	664	7.4		20	Sofiane Mansouri	FWD	ABB	10	10	626	15		20	Valentino Zaccagni	MID	VIC	10	10	660	59		20	Hamza Benali	GK	ABB	10	10	900	30
21	Iraklis Christodoulou	FWD	AST	9	9	571	4		21	Philip Klein	DEF	ESU	10	10	900	2		21	Guillaume Maison	MID	ARV	10	10	598	7.4		21	Humayun Piker	MID	AWB	10	10	695	15		21	Kamron Chancellor	MID	HOL	10	10	521	58		21	Aandeg Debaasige	GK	ATA	10	10	900	29
22	Dominic Winslow	FWD	ESU	10	10	544	4		22	Kendrick Nakai	MID	ESU	10	0	359	2		22	Raffaele Lucchese	FWD	VIC	10	10	900	7.4		22	Madhusudan Patnaik	FWD	ENR	10	10	859	15		22	Yerrin Chindura	MID	NKI	10	10	560	57		22	Pranab Hazarika	GK	GUP	10	10	900	27
23	Augustin Aragonés	FWD	ASK	10	10	808	4		23	Peter Selhorst	FWD	ESU	10	0	359	2		23	Masaru Jakamarra	FWD	NKI	9	9	498	7.3		23	Emiliano Luna	MID	AUR	10	10	900	14		23	Ricardo Sherman	MID	HOL	10	10	640	56		23	Kaiwi Kanakaole	GK	AED	10	10	900	26
24	Ricardo Sherman	MID	HOL	10	10	640	4		24	Dominic Winslow	FWD	ESU	10	10	544	2		24	Filippo Castiglione	DEF	VIC	10	10	889	7.3		24	Tanvir Howlader	FWD	NHO	10	10	485	14		24	Phani Kyaithang	DEF	NHO	10	10	858	55		24	Ibrahim Galadima	GK	ACS	10	10	900	25
25	Yerrin Chindura	MID	NKI	10	10	560	4		25	Leon Vogel	FWD	ESU	10	10	555	2		25	Dural Tanumura	GK	NKI	10	10	900	7.3		25	Katlian Kadashan	MID	MOR	10	10	727	14		25	Oriol Montagut	DEF	ASK	10	10	839	53		25	Duol Akol	GK	SSA	10	10	900	25
26	Tatsuki Akagawa	FWD	NHO	10	10	549	4		26	Émile D'Artagnan	DEF	ARV	10	10	900	2		26	Nikolaos Papadopoulos	GK	AST	10	10	900	7.3		26	Masaru Jakamarra	FWD	NKI	9	9	498	13		26	Montasir El Andaloussi	DEF	AEM	10	10	876	53		26	Kamal Rahman	GK	AWB	10	10	900	20
27	Siyabonga Mazibouko	FWD	ASP	10	0	281	4		27	Pau Puigcorbé	FWD	ASK	10	10	673	2		27	Zakaria Bouhaddou	MID	AEM	10	10	694	7.3		27	Rofiqul Khandaker	FWD	AWB	9	9	624	13		27	Jean-Pierre Susilovic	MID	ARV	10	10	656	52		27	Amaru Calfuqueo	GK	AKG	10	10	900	19
28	Amaury Cousteau	FWD	ABB	10	0	334	4		28	Telmo Candeias	MID	ASK	10	10	799	2		28	Hugo Saint-Laurent	DEF	ARV	7	7	558	7.2		28	Kenji Nagase	FWD	NHO	10	10	659	13		28	Filippo Castiglione	DEF	VIC	10	10	889	51		28	Comlan Gbanou	GK	VAN	10	10	900	17
29	Nilambar Senapati	FWD	ENR	10	10	787	4		29	Dale Landry	MID	HOL	10	0	418	2		29	Rubel Munshi	FWD	AWB	8	1	315	7.2		29	Eruera Waititi	FWD	ANH	10	10	657	13		29	Tanjin Tsukahara	DEF	NKI	10	10	831	51		29	Herman Kogoya	GK	ASG	10	10	900	16
30	Luukas Gantoninen	FWD	KKM	10	10	776	4		30	Earl Tomlinson	MID	HOL	10	10	815	2		30	Iraklis Christodoulou	FWD	AST	9	9	571	7.2		30	Zakaria Bouhaddou	MID	AEM	10	10	694	13		30	Hugo Saint-Laurent	DEF	ARV	7	7	558	50		30	Odd-Isak Hætta	GK	KKM	10	10	900	12
31	Horace Peshlakai	FWD	ESU	10	0	404	3		31	Valentino Zaccagni	MID	VIC	10	10	660	2		31	Rofiqul Khandaker	FWD	AWB	9	9	624	7.2		31	Wanguelen Sayhueque	MID	AKG	10	10	801	13		31	Celani Buthelézi	DEF	ASP	9	9	743	50		31	Parker Turner	GK	ESU	1	0	41	2
32	Trent Hawthorne	FWD	ESU	10	10	506	3		32	Antonio Margheriti	MID	VIC	10	10	764	2		32	Trent Hawthorne	FWD	ESU	10	10	506	7.2		32	Kendrick Nakai	MID	ESU	10	0	359	12		32	Jadarian Royce	MID	ESU	10	10	541	50									
33	Leon Vogel	FWD	ESU	10	10	555	3		33	Rosendo Zapatero	FWD	AUR	10	10	557	2		33	Dominic Winslow	FWD	ESU	10	10	544	7.2		33	Trent Hawthorne	FWD	ESU	10	10	506	12		33	Ibai Urrutia	DEF	ASK	10	10	900	49									
34	Guillaume Maison	MID	ARV	10	10	598	3		34	Jedidiah Wanamaker	DEF	PON	10	10	861	2		34	Ismael Menéndez	DEF	ASK	10	10	900	7.2		34	Émile D'Artagnan	DEF	ARV	10	10	900	12		34	Tomás Uzcátegui	DEF	HOL	10	10	870	49									
35	Dale Landry	MID	HOL	10	0	418	3		35	August Rittenhouse	MID	PON	10	10	630	2		35	Matías Salcedo	FWD	ASK	10	10	693	7.2		35	Baptiste Roux	MID	ARV	10	0	394	12		35	Tsirú Diköl	DEF	NMZ	10	10	855	49									
36	Juvenal Vera	FWD	AUR	10	10	566	3		36	Epaminondas Mavromatis	MID	AST	10	10	746	2		36	Tilman Zartmann	DEF	PON	10	10	900	7.2		36	Renato Fioravanti	FWD	VIC	10	10	654	12		36	Fraser Te Rangi	DEF	ANH	10	10	866	49									
37	Laurenz Reinhart	FWD	PON	10	1	327	3		37	Pyrros Dimitrakopoulos	MID	AST	10	10	742	2		37	Wilhelm Giesel	FWD	PON	10	10	573	7.2		37	Marcello La Barca	MID	VIC	10	10	648	12		37	Antoine Bagradian	MID	ARV	10	10	887	47									
38	Charalambos Angelopoulos	FWD	AST	10	1	255	3		38	Kenji Nagase	FWD	NHO	10	10	659	2		38	Miltiadis Galanis	FWD	AST	10	10	863	7.2		38	Kamal Bodhipal	FWD	NHO	10	10	642	12		38	Jenaro Salamanca	DEF	AUR	10	10	831	47									
