#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Rosendo Zapatero	FWD	AUR	11	11	744	12		1	August Rittenhouse	MID	PON	10	10	709	6		1	Rosendo Zapatero	FWD	AUR	11	11	744	8.3		1	Jadarian Royce	MID	ESU	10	10	579	31		1	Leonardo Urdaneta	DEF	HOL	11	11	940	55		1	Caleb Whitfield	GK	SAL	9	9	810	39
2	Simón Arismendi	FWD	HOL	11	11	542	10		2	Rosendo Zapatero	FWD	AUR	11	11	744	6		2	August Rittenhouse	MID	PON	10	10	709	8.2		2	Valentín Vivas	MID	HOL	11	11	556	27		2	Rosendo Zapatero	FWD	AUR	11	11	744	46		2	Callum Calhoun	GK	HOL	11	11	990	38
3	Trent Hawthorne	FWD	ESU	9	9	459	8		3	Jadarian Royce	MID	ESU	10	10	579	5		3	Jadarian Royce	MID	ESU	10	10	579	8.0		3	August Rittenhouse	MID	PON	10	10	709	24		3	Tomás Uzcátegui	DEF	HOL	10	10	842	45		3	Maximilian Mollenhauer	GK	PON	10	10	900	29
4	Juvenal Vera	FWD	AUR	11	11	770	8		4	Beau Covington	MID	HOL	11	11	644	5		4	Trent Hawthorne	FWD	ESU	9	9	459	7.8		4	Silvio Caruso	MID	ESU	10	10	853	16		4	Jenaro Salamanca	DEF	AUR	11	11	957	45		4	Hamza Benali	GK	ABB	6	6	540	28
5	Fabián Machado	FWD	HOL	11	0	448	8		5	Leon Vogel	FWD	ESU	10	10	584	4		5	Valentín Vivas	MID	HOL	11	11	556	7.8		5	Olegario Pérez	MID	AUR	11	11	851	16		5	Martial Lefèvre	DEF	ACS	6	6	540	44		5	Spencer Jackson	GK	ESU	10	10	900	28
6	Dominic Winslow	FWD	ESU	10	10	582	7		6	Silvio Caruso	MID	ESU	10	10	853	4		6	Simón Arismendi	FWD	HOL	11	11	542	7.8		6	Beau Covington	MID	HOL	11	11	644	15		6	Elliot Farnsworth	DEF	ESU	10	10	850	44		6	Sibö Kurbli	GK	NMZ	8	8	720	26
7	Hans-Jürgen Hōnigsberg	FWD	PON	10	10	722	6		7	Dale Landry	MID	HOL	10	1	415	4		7	Beau Covington	MID	HOL	11	11	644	7.8		7	Yëría Kaché	MID	NMZ	8	8	532	14		7	Alton Begay	DEF	ESU	10	10	803	43		7	Aandeg Debaasige	GK	ATA	6	6	540	23
8	Nicanor Arandia	FWD	AUR	11	11	787	6		8	Juvenal Vera	FWD	AUR	11	11	770	4		8	Youssef Valverde	MID	AEM	7	7	467	7.7		8	Conrad Bauer	MID	ESU	10	10	707	14		8	Wade Boone	DEF	HOL	11	11	990	42		8	Yassine Benali	GK	AEM	7	7	630	23
9	Chirá Nubrí	FWD	NMZ	6	0	215	5		9	Valentín Vivas	MID	HOL	11	11	556	4		9	Nuhu Maina	MID	ACS	6	6	375	7.4		9	Rocco De Luca	MID	ESU	10	10	849	13		9	Jedidiah Wanamaker	DEF	PON	10	10	885	41		9	Odd-Isak Hætta	GK	KKM	7	7	630	23
10	Ildefonso Morón	FWD	AEM	7	7	544	5		10	Horace Peshlakai	FWD	ESU	10	1	437	3		10	Sofiane Mansouri	FWD	ABB	6	6	367	7.4		10	Juvenal Vera	FWD	AUR	11	11	770	13		10	Jean Beauregard	MID	HOL	11	11	767	41		10	Rafael Rosario	GK	AUR	11	11	990	23
11	Ditsö Nakí	MID	NMZ	8	8	534	5		11	Wade Boone	DEF	HOL	11	11	990	3		11	Wilhelm Giesel	FWD	PON	10	10	708	7.4		11	Rosendo Zapatero	FWD	AUR	11	11	744	13		11	Valentín Vivas	MID	HOL	11	11	556	41		11	Duol Akol	GK	SSA	6	6	540	21
12	Cyrus Winslow	FWD	SAL	9	9	569	5		12	James Feruccio	MID	HOL	11	0	341	3		12	Leon Vogel	FWD	ESU	10	10	584	7.4		12	Juní Börá	FWD	NMZ	8	8	505	12		12	August Rittenhouse	MID	PON	10	10	709	38		12	Ibrahim Galadima	GK	ACS	6	6	540	20
13	Wilhelm Giesel	FWD	PON	10	10	708	5		13	Haku Kahananui	FWD	AED	3	3	243	2		13	Dominic Winslow	FWD	ESU	10	10	582	7.3		13	Jonas Mercer	MID	SAL	9	9	732	12		13	Dowá Tuvöl	DEF	NMZ	8	8	685	36		13	Kaiwi Kanakaole	GK	AED	7	7	630	18
14	Horace Peshlakai	FWD	ESU	10	1	437	5		14	Noureddine Mansouri	MID	AEM	6	0	145	2		14	Juvenal Vera	FWD	AUR	11	11	770	7.3		14	Leon Vogel	FWD	ESU	10	10	584	12		14	Jadarian Royce	MID	ESU	10	10	579	35		14	Comlan Gbanou	GK	VAN	7	7	630	14
15	Peter Selhorst	FWD	ESU	10	0	339	5		15	Édouard Fontaine	MID	ACS	6	6	410	2		15	Ditsö Nakí	MID	NMZ	8	8	534	7.3		15	Dale Landry	MID	HOL	10	1	415	12		15	Reuben Mendoza	DEF	HOL	11	11	943	35		15	Atiqtalik Ahmaogak	GK	MOR	7	7	630	14
16	Valentín Vivas	MID	HOL	11	11	556	5		16	Ousman Jalo	MID	ACS	6	6	435	2		16	Durí Karí	MID	NMZ	8	8	450	7.3		16	Ambrose Pickett	MID	HOL	11	0	388	12		16	Namú Suriá	DEF	NMZ	8	8	649	34									
17	Beau Covington	MID	HOL	11	11	644	5		17	Koceïla Idir	MID	ABB	6	6	483	2		17	Horace Peshlakai	FWD	ESU	10	1	437	7.3		17	James Feruccio	MID	HOL	11	0	341	12		17	Manuel Betancourt	MID	HOL	11	11	914	34									
18	Sofiane Mansouri	FWD	ABB	6	6	367	4		18	Lakhdar Meziane	FWD	ABB	6	6	420	2		18	Yëría Kaché	MID	NMZ	8	8	532	7.2		18	Lisandro Rivas	MID	AUR	11	11	949	11		18	Beau Covington	MID	HOL	11	11	644	33									
