#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Trent Hawthorne	FWD	ISS	10	12		1	Nuno Gouveia	MID	SPK	8	5		1	Haraldur Ólafsson	DEF	MLM	6	7.7		1	Valentino Zaccagni	MID	LUT	15	20		1	Kōzō Fujise	DEF	DYM	13	124		1	Ivan Dolgorukiy	GK	UKA	6	62
2	Denis Kuznetsov	FWD	SPK	8	8		2	Florian Van Can	FWD	SPK	8	4		2	Trent Hawthorne	FWD	ISS	10	7.7		2	Aurélien Pasquier	MID	SHZ	14	19		2	Oriol Montagut	DEF	LUT	15	115		2	Yonatan Cohen	GK	MGN	6	50
3	Rosendo Zapatero	FWD	LUT	15	8		3	Yerrin Chindura	MID	ISS	9	4		3	Brock Fairweather	DEF	WIN	6	7.6		3	Antoine Bagradian	MID	LUT	15	17		3	Timur Oorzhak	DEF	DYM	13	113		3	Iddo Avni	GK	SGN	6	46
4	Hervé Thibodeau	FWD	OL	8	7		4	Epaminondas Mavromatis	MID	SHZ	14	4		4	Kōzō Fujise	DEF	DYM	13	7.6		4	Raffaele Lucchese	MID	ISS	10	16		4	Kenshirō Unagami	DEF	SHZ	14	103		4	Dávid Pataky	GK	DTK	10	45
5	Dominic Winslow	FWD	INT	8	6		5	Ellis West	FWD	GAL	8	3		5	Kenneth Haugland	DEF	NSR	6	7.5		5	Yerrin Chindura	MID	ISS	9	15		5	Erlend Mikkelsen	MID	SHZ	14	101		5	Fabien Blanchet	GK	LUT	15	42
6	Stijn Boelens	MID	ARM	12	6		6	Federico Cardinale	MID	OL	8	3		6	Narra Catacutan	DEF	HAN	8	7.5		6	Epaminondas Mavromatis	MID	SHZ	14	15		6	Émile D'Artagnan	DEF	LUT	15	92		6	Marvin Oppenheimer	GK	E02	10	40
7	Hiromu Furuhashi	FWD	SHZ	14	6		7	Félicien Couture	MID	OL	8	3		7	Oriol Montagut	DEF	LUT	15	7.5		7	Félicien Couture	MID	OL	8	14		7	Hugo Saint-Laurent	DEF	LUT	15	92		7	Basem Shenouda	GK	SHZ	14	39
8	Jens Geirsson	FWD	HAV	6	5		8	Rui Ōe	MID	DYM	8	3		8	Erik Aalto	GK	MRJ	6	7.4		8	Nuno Gouveia	MID	SPK	8	14		8	Seishirō Amane	DEF	DYM	13	89		8	Christophe Gagnon	GK	OL	8	38
9	Pierre Petit	FWD	GAL	8	5		9	Naoto Umenokōji	DEF	ISS	10	3		9	Valentin Peixoto	DEF	RCC	6	7.4		9	Oriol Montagut	DEF	LUT	15	14		9	Yūto Shiranui	DEF	SHZ	14	88		9	Klaus Bernhard	GK	ARM	12	38
10	Alex Kaczmarek	FWD	SKH	8	5		10	Geert Winklers	FWD	E02	10	3		10	Oleksandr Shevchenko	GK	CSK	6	7.4		10	Federico Cardinale	MID	OL	8	13		10	Began Andersen	DEF	SHZ	13	85		10	Rautta Kokko	GK	VKS	10	36
11	Scott Riley	FWD	PCH	8	5		11	Kuzma Zvezdinsky	MID	ARM	12	3		11	Federico Cardinale	MID	OL	8	7.4		11	Florian Van Can	FWD	SPK	8	13		11	Teppei Motohashi	DEF	DYM	13	83		11	Rafael Rosario	GK	INT	8	35
12	Teppo Estinen	MID	VKS	10	5		12	Telmo Candeias	MID	ARM	12	3		12	Rui Ōe	MID	DYM	8	7.4		12	Trent Hawthorne	FWD	ISS	10	13		12	Philippe Taillardat	DEF	LUT	15	81		12	Oleksandr Shevchenko	GK	CSK	6	34
13	Zsolt Vadász	FWD	DTK	10	5		13	Kyōsuke Komine	FWD	SHZ	12	3		13	Nuno Gouveia	MID	SPK	8	7.4		13	Telmo Candeias	MID	ARM	12	13		13	Daichi Komatsubara	MID	SHZ	14	80		13	Faisal Al-Dosari	GK	NSR	6	32
14	Adolf Grimm	FWD	E02	10	5		14	Kendrick Nakai	MID	DYM	13	3		14	Kiyoshi Torigoe	MID	ISS	10	7.4		14	Silvio Caruso	FWD	LUT	13	13		14	Jean-Pierre Susilovic	MID	LUT	15	76		14	Erik Aalto	GK	MRJ	6	30
15	Sōma Kirishima	FWD	DYM	13	5		15	Silvio Caruso	FWD	LUT	13	3		15	Gijs Dreesens	MID	F01	6	7.3		15	Rosendo Zapatero	FWD	LUT	15	13		15	Mattieu Donnadieu	DEF	ARM	12	72		15	Struan MacAllister	GK	GAL	8	30
16	Yoru Shirase	FWD	DYM	13	5		16	Anselme Vauquelin	DEF	LUT	14	3		16	Wilhelm Wilhelmson	DEF	MLM	6	7.3		16	Márton Nagy	MID	SYV	8	12		16	Igor Novikov	MID	DYM	13	71		16	Kai Ouyang	GK	SKH	8	30
17	István Magvasi	FWD	TTK	6	4		17	Oriol Montagut	DEF	LUT	15	3		17	Rémy Bourdelle	DEF	RCC	6	7.3		17	Tole-Buqa Inalchi	MID	SKH	8	12		17	Epaminondas Mavromatis	MID	SHZ	14	71		17	Magnus Andersson	GK	DYM	13	30
18	Henrik Kristianson	FWD	SYV	8	4		18	Antoine Bagradian	MID	LUT	15	3		18	Sten Hvit	DEF	OTR	6	7.3		18	Kendrick Nakai	MID	DYM	13	12		18	Miklós Szlitlán	DEF	DTK	10	68		18	Xavier Cienfuegos	GK	WIN	6	28
19	Dorian Roussel	MID	OL	8	4		19	Brock Fairweather	DEF	WIN	6	2		19	Eeriks Uđđi	DEF	OTR	6	7.3		19	Octave Desjardins	MID	HAN	8	11		19	Sándor Teleki	DEF	DTK	10	68		19	Ludovic Mercadier	GK	ISS	10	28
20	Masaru Jakamarra	FWD	PCH	8	4		20	Haraldur Ólafsson	DEF	MLM	6	2		20	Anselmo Carranza	MID	OT	6	7.3		20	Kiyoshi Torigoe	MID	ISS	10	11		20	Florian Gruber	DEF	ARM	12	66		20	Spencer Jackson	GK	OT	6	26
21	Kiyoshi Torigoe	MID	ISS	10	4		21	Neil Dike	FWD	MLM	6	2		21	Tadhana Batumbakal	DEF	SKH	8	7.3		21	Geert Winklers	FWD	E02	10	11		21	Antoine Bagradian	MID	LUT	15	65		21	Yassine Benali	GK	PCH	8	26
22	Raffaele Lucchese	MID	ISS	10	4		22	Eetu Lehtinen	FWD	HAV	6	2		22	Ibai Urrutia	DEF	INT	8	7.3		22	Philippe Taillardat	DEF	LUT	15	11		22	Efraín Arenas	DEF	ARM	12	63		22	Christian Leino	GK	SYV	8	25
23	Nimród Somogyi	FWD	DTK	10	4		23	Duarte Vasques	MID	MYH	6	2		23	Octave Desjardins	MID	HAN	8	7.3		23	Jean-Pierre Susilovic	MID	LUT	15	11		23	Kieran Frost	MID	SHZ	14	63		23	Matthias Noack	GK	HAN	8	25
24	Kay Wilms	FWD	E02	10	4		24	Cédric Serre	MID	MYH	6	2		24	Daigo Takanashi	DEF	SPK	8	7.3		24	Sōma Kirishima	FWD	DYM	13	10		24	Narra Catacutan	DEF	HAN	8	62		24	Ferencz Tóth	GK	TTK	6	23
25	Tomáš Svoboda	MID	ARM	12	4		25	Anselmo Carranza	MID	OT	6	2		25	Timur Oorzhak	DEF	DYM	13	7.3		25	Itsuki Sakagami	FWD	LUT	15	10		25	Chris Weimann	DEF	E02	10	62		25	Léon Chastellain	GK	RCC	6	23
26	Devante Rowley	FWD	DYM	13	4		26	Émeric Boisclair	MID	OL	7	2		26	Émile D'Artagnan	DEF	LUT	15	7.3		26	Jan Morsztyn	MID	MLM	6	9		26	Valentino Zaccagni	MID	LUT	15	61		26	Valtteri Aravirta	GK	PIE	5	20
