#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Matías Salcedo	FWD	WIN	35	24		1	Daulat Siregar	FWD	PCH	37	9		1	Ludovico Riggio	MID	MYH	35	7.2		1	Nándor Mészáros	MID	WE	38	52		1	Attila D'Ambrosi	DEF	BRW	37	106		1	Struan MacAllister	GK	GAL	38	185
2	Freek Hendriks	FWD	MYH	36	22		2	Spencer Chadwick	MID	SHE	38	9		2	Joris Van Antwerp	DEF	WIN	35	7.1		2	Kent Forsberg	MID	MYH	38	46		2	Álvaro Carvalho	MID	BIX	38	98		2	Jackson Miller	GK	SCR	38	169
3	Horace Peshlakai	FWD	SHE	38	19		3	Anton Friedeberg	MID	TYN	38	9		3	Matías Salcedo	FWD	WIN	35	7.1		3	Ludovico Riggio	MID	MYH	35	45		3	Garrison Whitacre	DEF	MNU	38	97		3	Mathieu Martin	GK	BRI	38	165
4	Pierre Petit	FWD	GAL	38	18		4	Ludovico Riggio	MID	MYH	35	8		4	Pierre-Marie Auvray	MID	BRU	35	7.1		4	Cristian Costanza	MID	SHE	36	45		4	Nelis Harberts	DEF	PCH	38	97		4	Ryōichi Nakashima	GK	PIS	38	159
5	Marcus Ellingham	FWD	WE	38	17		5	Jadarian Royce	MID	WIN	38	8		5	Cristian Costanza	MID	SHE	36	7.1		5	Martim Duarte	MID	BIX	38	43		5	Wolfram Eberhardt	DEF	MNU	38	95		5	Parker Turner	GK	AFC	38	157
6	Tadhg Brennan	FWD	BRW	38	16		6	Zsolt Harmathy	MID	BRI	37	7		6	Nelis Harberts	DEF	PCH	38	7.1		6	Alden Maddox	MID	SHE	38	42		6	Olegario Pérez	MID	PCH	38	95		6	Rhys Townsend	GK	WE	38	156
7	Dillon Heath	FWD	TYN	38	16		7	Owen Ashworth	DEF	WE	38	7		7	Nándor Mészáros	MID	WE	38	7.1		7	Axel Anderson	MID	PIS	38	41		7	Cormac Bray	MID	SCR	38	93		7	Ceferino Acosta	GK	GAE	38	151
8	Fletcher Lancaster	FWD	BRI	37	15		8	Lokendra Bahadur	MID	WE	38	7		8	Ferruccio Noseda	MID	PIS	38	7.1		8	Anton Friedeberg	MID	TYN	38	41		8	Philip Klein	DEF	TYN	38	92		8	Sullivan Marchbank	GK	MNC	38	150
9	Arsenio Marchetti	FWD	MNU	38	15		9	Martim Duarte	MID	BIX	38	7		9	Nélson Ferreira	FWD	BRU	38	7.1		9	Arthur Whitmore	MID	WIN	38	38		9	Arséne La Fromboise	DEF	WE	38	91		9	Axel Berg	GK	MNU	38	149
10	Nélson Ferreira	FWD	BRU	38	15		10	Kendrick Nakai	MID	STM	38	7		10	Kent Forsberg	MID	MYH	38	7.1		10	Daulat Siregar	FWD	PCH	37	37		10	Tunç Kenaanoğlu	DEF	BRI	38	91		10	Falco Monopoli	GK	WNC	38	148
11	Rhys Deacon	FWD	BRW	36	14		11	Eiichi Fujimori	FWD	TYN	38	7		11	Egeo Scalera	MID	AFC	38	7.1		11	Miles Cheswick	MID	WE	38	37		11	Vural Surlu	MID	PIS	38	90		11	Misael Copeland	GK	BIX	38	148
12	Severino Guzmán	FWD	STM	34	13		12	Cristian Costanza	MID	SHE	36	6		12	Naoto Umenokōji	DEF	MYH	33	7.0		12	Antonio Sangüesa	MID	STM	38	37		12	Ashley Halliwell	MID	BRW	38	89		12	Crispin Whitfield	GK	MYH	38	148
13	Scott Riley	FWD	PCH	37	12		13	Arthur Whitmore	MID	WIN	38	6		13	Freek Hendriks	FWD	MYH	36	7.0		13	Dirk Platz	FWD	BRU	38	35		13	Lokendra Bahadur	MID	WE	38	88		13	Ansgar Kessler	GK	TYN	38	148
14	Reuben Ashton	FWD	WIN	38	12		14	Renato Fioravanti	FWD	WIN	38	6		14	Zsolt Harmathy	MID	BRI	37	7.0		14	Corwin Thistlewood	MID	GAE	38	35		14	Nolan Jennings	DEF	BRI	38	88		14	Pietro Borromeo	GK	STM	38	136
15	Erik Sundqvist	FWD	TOT	38	12		15	Findlay Brodick	FWD	GAL	38	6		15	Jadarian Royce	MID	WIN	38	7.0		15	Kendrick Nakai	MID	STM	38	35		15	Giacomo Constantino	DEF	GAE	38	87		15	Maximilian Mollenhauer	GK	BRU	38	134
16	Detlef Lorenz	FWD	BIX	38	12		16	Harrison Vose	FWD	PCH	38	6		16	Wolfram Eberhardt	DEF	MNU	38	7.0		16	Eiichi Fujimori	FWD	TYN	38	35		16	Sōichirō Fukatsu	DEF	BRW	38	87		16	Yassine Benali	GK	PCH	38	126
17	Dietrich Kunze	FWD	PIS	38	12		17	Nándor Mészáros	MID	WE	38	6		17	Tatsuki Akagawa	FWD	WNC	38	7.0		17	Leon Vogel	FWD	WIN	38	34		17	Neizan Escribano	MID	WNC	38	86		17	Saša Radović	GK	BRW	38	115
18	Harrison Vose	FWD	PCH	38	11		18	Marcus Ellingham	FWD	WE	38	6		18	Tyson Yazzie	DEF	GAL	38	7.0		18	Erik Sundqvist	FWD	TOT	38	34		18	Kent Forsberg	MID	MYH	38	84		18	Xavier Cienfuegos	GK	WIN	38	102
19	Spencer Chadwick	MID	SHE	38	11		19	Axel Anderson	MID	PIS	38	6		19	Cael Cunningham	MID	GAL	38	7.0		19	Theo Moss	MID	WE	38	34		19	Tyson Yazzie	DEF	GAL	38	83		19	Massimo Visconti	GK	TOT	38	99
20	Ferruccio Noseda	MID	PIS	38	11		20	Alfie Stokesley	MID	MYH	38	6		20	Pierre Petit	FWD	GAL	38	7.0		20	Lokendra Bahadur	MID	WE	38	34		20	Joar Berglund	MID	BIX	38	83		20	Tristan Margetts	GK	SHE	38	99
21	Harry Caine	FWD	TOT	35	10		21	Kent Forsberg	MID	MYH	38	6		21	Olegario Pérez	MID	PCH	38	7.0		21	Emrik Halvorsen	MID	SHE	38	33		21	Don Archibald Bates	DEF	SHE	38	83		21	Sam Fairweather	GK	GAE	7	23
22	Leon Vogel	FWD	WIN	38	10		22	Corwin Thistlewood	MID	GAE	38	6		22	Marcus Ellingham	FWD	WE	38	7.0		22	Nélson Ferreira	FWD	BRU	38	33		22	Jabari Hess	DEF	PCH	38	82		22	Vasco Madeira	GK	AFC	12	22
23	Tatsuki Akagawa	FWD	WNC	38	10		23	Ashley Halliwell	MID	BRW	38	6		23	Lokendra Bahadur	MID	WE	38	7.0		23	Jadarian Royce	MID	WIN	38	32		23	Toby Redgrave	MID	PIS	38	82		23	Tom Norris	GK	MNC	7	20
24	Lewis Bardsley	FWD	TOT	38	10		24	Djeferson Béliveau	MID	STM	38	6		24	Álvaro Carvalho	MID	BIX	38	7.0		24	Sōma Kirishima	FWD	GAL	38	32		24	John Clark	MID	BRW	38	82		24	Niall Birkett	GK	WNC	6	19
25	Peter Selhorst	FWD	BIX	38	10		25	Ottavio Scarlatti	FWD	AFC	38	6		25	Martim Duarte	MID	BIX	38	7.0		25	Gavin Chapelle	MID	GAE	38	32		25	Ludovico Riggio	MID	MYH	35	81		25	Vittore Gabbiadini	GK	BRU	8	19
26	Eiichi Fujimori	FWD	TYN	38	10		26	Augustijn Verhoeven	MID	MNU	37	5		26	Spencer Chadwick	MID	SHE	38	7.0		26	Cael Cunningham	MID	GAL	38	31		26	Zalán Váradi	DEF	GAL	37	81		26	Torquil Blythe	GK	MYH	11	18
27	Nándor Mészáros	MID	WE	38	9		27	Emrys Lockwood	DEF	WIN	38	5		27	Tunç Kenaanoğlu	DEF	BRI	38	7.0		27	Marcus Ellingham	FWD	WE	38	31		27	Tatsuki Akagawa	FWD	WNC	38	81		27	Declan Neal	GK	TYN	8	17
28	Pau Bermúdez	FWD	GAE	38	9		28	Arsenio Marchetti	FWD	MNU	38	5		28	Danilo Della Rocca	DEF	MYH	38	7.0		28	Detlef Lorenz	FWD	BIX	38	31		28	Rory Kincardine	DEF	GAL	38	81		28	Declan Rackham	GK	SCR	6	12
29	Augustin Aragonés	FWD	MNC	38	9		29	Ludvig Johansson	DEF	GAL	38	5		29	John Clark	MID	BRW	38	7.0		29	Ashley Halliwell	MID	BRW	38	31		29	Maxence Beauvilliers	DEF	WE	38	81		29	Jake Thornton	GK	WIN	7	12
30	Gunner Cannon	MID	TYN	38	9		30	Cael Price	FWD	GAL	38	5		30	Ivo Brandão	MID	STM	38	7.0		30	Tadhg Brennan	FWD	BRW	38	31		30	Cael Cunningham	MID	GAL	38	80		30	Gonzalo Medina	GK	MNU	4	11
