#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Iraklis Christodoulou	FWD	AST	6	6	331	6		1	Gijs Dreesens	MID	ALE	10	10	538	5		1	Péter Szabó	MID	TUR	7	7	438	8.6		1	Octave Desjardins	MID	ARV	10	10	500	25		1	Kenneth Haugland	DEF	SKJ	10	10	900	96		1	Fabien Blanchet	GK	ARV	10	10	900	47
2	Florian Van Can	FWD	ALE	10	10	566	6		2	Octave Desjardins	MID	ARV	10	10	500	5		2	Denis Kuznetsov	FWD	RUD	6	6	393	8.2		2	Gijs Dreesens	MID	ALE	10	10	538	19		2	Mattieu Donnadieu	DEF	ARV	10	10	863	79		2	Marek Kováč	GK	COR	10	10	900	45
3	Rémi Gauthier	FWD	ARV	10	10	560	6		3	Themistoklis Zervas	MID	AST	6	6	388	4		3	Themistoklis Zervas	MID	AST	6	6	388	8.1		3	Victor Tvedt	MID	SKJ	10	10	467	19		3	Émile D'Artagnan	DEF	ARV	10	10	855	67		3	Xavier Cienfuegos	GK	ASK	11	11	990	41
4	Grzegorz Brzęczyszczykiewicz	FWD	COR	10	10	690	5		4	Wieland Hummel	FWD	ALE	8	0	259	3		4	Gonzalo Valbuena	MID	ASK	11	11	665	8.1		4	Kasper Kaljurand	MID	KAR	7	7	444	14		4	Olander Strandberg	DEF	SKJ	10	10	900	65		4	Nikolaos Papadopoulos	GK	AST	6	6	540	38
5	Guillaume Maison	MID	ARV	10	10	586	5		5	Florian Gruber	DEF	ALE	10	10	900	3		5	Epaminondas Mavromatis	MID	AST	6	6	352	8.0		5	Gonzalo Valbuena	MID	ASK	11	11	665	14		5	Joris Van Antwerp	DEF	ALE	10	10	900	62		5	Matthias Noack	GK	ALE	10	10	900	37
6	Petr Procházka	FWD	ALE	10	0	423	4		6	Édouard Szymański	MID	COR	10	10	805	3		6	Octave Desjardins	MID	ARV	10	10	500	7.9		6	Sviatoslav Boyko	MID	SID	6	6	381	13		6	Ismael Menéndez	DEF	ASK	10	10	899	61		6	Magnus Andersson	GK	SKJ	10	10	900	35
7	Tim Pukki	FWD	KAR	6	6	357	3		7	Sixten Karlsson	MID	SKJ	10	10	703	3		7	Kasper Kaljurand	MID	KAR	7	7	444	7.7		7	Themistoklis Zervas	MID	AST	6	6	388	11		7	Olof Sjöberg	DEF	SKJ	10	10	851	59		7	Ivan Dolgorukiy	GK	RUD	6	6	540	32
8	Vitali Korovin	MID	RUD	6	1	307	3		8	Karel Černý	FWD	POL	6	6	295	2		8	Gijs Dreesens	MID	ALE	10	10	538	7.6		8	Lewis Bardsley	MID	ELV	7	7	371	11		8	Hugo Saint-Laurent	DEF	ARV	10	10	823	59		8	Massimo Visconti	GK	VIC	7	7	630	30
9	Denis Kuznetsov	FWD	RUD	6	6	393	3		9	Denis Kuznetsov	FWD	RUD	6	6	393	2		9	Vitali Korovin	MID	RUD	6	1	307	7.5		9	Florian Gruber	DEF	ALE	10	10	900	10		9	Gonzalo Valbuena	MID	ASK	11	11	665	57		9	Jordan Stanford	GK	ELV	8	8	720	30
10	Artem Tkachenko	FWD	SID	6	6	397	3		10	Epaminondas Mavromatis	MID	AST	6	6	352	2		10	Sviatoslav Boyko	MID	SID	6	6	381	7.5		10	Kenneth Haugland	DEF	SKJ	10	10	900	10		10	Wesley Wetherby	DEF	ELV	8	8	668	56		10	Axel Berg	GK	LVO	7	7	630	29
11	Pierre Petit	FWD	ARV	9	0	315	3		11	Raffaele Lucchese	FWD	VIC	7	7	400	2		11	Artem Tkachenko	FWD	SID	6	6	397	7.5		11	Hjalmar Lindström	FWD	SKJ	10	10	543	10		11	Florian Gruber	DEF	ALE	10	10	900	53		11	Jakub Svoboda	GK	POL	7	7	630	29
12	Tomáš Svoboda	MID	ALE	10	10	703	3		12	Iilmari Torjalasten	MID	KAR	7	1	297	2		12	Florian Van Can	FWD	ALE	10	10	566	7.5		12	Matías Salcedo	FWD	ASK	11	11	656	10		12	Jean-Pierre Susilovic	MID	ARV	10	10	749	52		12	Nikoloz Nadaraia	GK	AEK	6	6	540	25
13	Jorrit Blankenburg	FWD	ALE	10	10	563	3		13	Márton Nagy	MID	TUR	7	0	158	2		13	Karel Černý	FWD	POL	6	6	295	7.4		13	Jorrit Blankenburg	FWD	ALE	10	10	563	9		13	Péter Szabó	MID	TUR	7	7	438	51		13	Oleksandr Shevchenko	GK	SID	6	6	540	23
14	Thor Andresen	FWD	ALE	10	10	549	3		14	Péter Szabó	MID	TUR	7	7	438	2		14	Lewis Bardsley	MID	ELV	7	7	371	7.4		14	Édouard Szymański	MID	COR	10	10	805	9		14	Octave Desjardins	MID	ARV	10	10	500	48		14	Aleksi Järveläinen	GK	KAR	7	7	630	20
15	Radosław Gołębiowski	FWD	COR	10	0	314	3		15	Petr Procházka	FWD	ALE	10	0	423	2		15	Kuzma Zvezdinsky	MID	RUD	5	5	214	7.3		15	Tristan Fabron	MID	ARV	10	0	400	9		15	Ibai Urrutia	DEF	ASK	11	11	990	47									
16	Hjalmar Lindström	FWD	SKJ	10	10	543	3		16	Florian Van Can	FWD	ALE	10	10	566	2		16	Valentino Zaccagni	MID	VIC	7	7	344	7.3		16	Rémi Gauthier	FWD	ARV	10	10	560	9		16	Lewis Bardsley	MID	ELV	7	7	371	45									
17	Nélson Ferreira	FWD	ASK	11	0	314	3		17	Jakub Dvořák	MID	ALE	10	10	768	2		17	Omar Kazluaska	MID	LVO	7	7	404	7.3		17	Guillaume Maison	MID	ARV	10	10	586	9		17	Gunner Cannon	MID	ELV	8	8	688	44									
18	Matías Salcedo	FWD	ASK	11	11	656	3		18	Miłosz Zawadzki	FWD	COR	10	10	634	2		18	Florian Gruber	DEF	ALE	10	10	900	7.3		18	Jean-Pierre Susilovic	MID	ARV	10	10	749	9		18	Vojtěch Novotný	DEF	ALE	10	10	852	44									
19	Alex Kaczmarek	FWD	RUD	6	0	151	2		19	Kacper Dembiński	FWD	COR	10	10	685	2		19	Kenneth Haugland	DEF	SKJ	10	10	900	7.3		19	Kuzma Zvezdinsky	MID	RUD	5	5	214	8		19	Arthur Kohlberg	DEF	ALE	10	10	900	44									
20	Pavel Sokolov	FWD	RUD	6	6	415	2		20	Tristan Fabron	MID	ARV	10	0	400	2		20	Victor Tvedt	MID	SKJ	10	10	467	7.3		20	Denis Kuznetsov	FWD	RUD	6	6	393	8		20	Zbigniew Lewandowski	DEF	COR	10	10	813	41									
21	Yorgos Moustakellis	FWD	AST	6	0	191	2		21	Rémi Gauthier	FWD	ARV	10	10	560	2		21	Guillaume Maison	MID	ARV	10	10	586	7.3		21	Otto Manteuffel	MID	LVO	7	7	486	8		21	Warren Marshall	DEF	ELV	8	8	720	40									
22	Epaminondas Mavromatis	MID	AST	6	6	352	2		22	Guillaume Maison	MID	ARV	10	10	586	2		22	Miltiadis Galanis	FWD	AST	6	6	330	7.2		22	Florian Van Can	FWD	ALE	10	10	566	8		22	Tomáš Svoboda	MID	ALE	10	10	703	40									
23	Miltiadis Galanis	FWD	AST	6	6	330	2		23	Jean-Pierre Susilovic	MID	ARV	10	10	749	2		23	Iraklis Christodoulou	FWD	AST	6	6	331	7.2		23	Jakub Dvořák	MID	ALE	10	10	768	8		23	Édouard Szymański	MID	COR	10	10	805	40									
24	Kökta Saare	FWD	KAR	6	1	188	2		24	Jesus Halconero	FWD	ASK	11	0	424	2		24	Myroslav Zalizniak	MID	SID	6	6	429	7.2		24	Kacper Dembiński	FWD	COR	10	10	685	8		24	Gijs Dreesens	MID	ALE	10	10	538	39									
