#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Boaz Ben-Ami	FWD	HET	13	11		1	Uri Kastiel	FWD	SGN	14	4		1	Boaz Ben-Ami	FWD	HET	13	7.3		1	Dolev Nagar	MID	MGN	14	11		1	Koby Ben-Shabbat	MID	SGN	14	68		1	Mahmoud Nassar	GK	HNH	14	54
2	Behrouz Sabzevari	FWD	KHS	14	10		2	Segev Even-Khen	MID	MGN	13	3		2	Raz Zoaretz	MID	SGN	14	7.2		2	Ravid Biton	MID	ESH	14	11		2	Bassel Barakat	DEF	ESH	14	67		2	Sagi Melamed	GK	MKA	13	47
3	Ramin Qajarian	FWD	SGN	14	9		3	Raz Zoaretz	MID	SGN	14	3		3	Asaf Bar-Lev	DEF	HNH	14	7.2		3	Yishai Galili	MID	KHS	14	10		3	Boaz Ben-Ami	FWD	HET	13	65		3	Adnan Tamimi	GK	AIS	14	43
4	Gilad Dahan	FWD	MGN	14	8		4	Nevo Pinto	FWD	SGN	14	3		4	Omar Jubran	FWD	HNH	12	7.0		4	Adi Madmoni	MID	HET	14	9		4	Guy Sharabi	DEF	SGN	14	65		4	Shai Sabag	GK	KHS	14	33
5	Issam Zoghbi	FWD	ESH	14	7		5	Yonah Golan	MID	HET	14	3		5	Koby Ben-Shabbat	MID	SGN	14	7.0		5	Bassel Barakat	DEF	ESH	14	9		5	Ravid Biton	MID	ESH	14	65		5	Yonatan Cohen	GK	MGN	14	32
6	Uri Kastiel	FWD	SGN	14	6		6	Itamar Ben-Zaken	MID	MGN	14	3		6	Hillel Friedman	MID	HNH	14	7.0		6	Avichai Biran	FWD	ESH	14	9		6	Raz Zoaretz	MID	SGN	14	64		6	Iddo Avni	GK	SGN	14	27
7	Omar Jubran	FWD	HNH	12	5		7	Peleg Peleg-Or	FWD	ESH	14	3		7	Nader Al-Sayed	MID	HNH	14	7.0		7	Koby Ben-Shabbat	MID	SGN	14	8		7	Ghassan Ghanem	MID	ESH	14	63		7	Yaniv Nachmias	GK	ESH	14	24
8	Peleg Peleg-Or	FWD	ESH	14	5		8	Eyal Segal	FWD	KHS	12	2		8	Kyrillos Sennefer	DEF	MGN	14	7.0		8	Nevo Pinto	FWD	SGN	14	8		8	Shai Azoulay	MID	HET	14	60		8	Ehud Halevi	GK	HET	14	21
9	Elad Ifrach	FWD	SGN	14	4		9	Boaz Ben-Ami	FWD	HET	13	2		9	Dolev Nagar	MID	MGN	14	7.0		9	Ran Uzan	MID	HET	14	8		9	Yishai Galili	MID	KHS	14	60		9	Dor Kadosh	GK	HNH	7	15
10	Zohar Hershkovitz	FWD	MKA	14	4		10	Koby Ben-Shabbat	MID	SGN	14	2		10	Gilad Dahan	FWD	MGN	14	7.0		10	Eyal Ovadia	FWD	ESH	14	8		10	Adi Madmoni	MID	HET	14	59		10	Gal Grinberg	GK	AIS	7	11
11	Navid Zarrinkoub	MID	MGN	14	4		11	Erez Dahari	MID	HNH	14	2		11	Bassel Barakat	DEF	ESH	14	7.0		11	Issam Zoghbi	FWD	ESH	14	8		11	Ziyad Al-Rifai	DEF	MKA	14	58		11	Ramin Kashani	GK	KHS	6	5
12	Meir Barda	MID	ESH	14	4		12	Itamar Tzarfati	FWD	HNH	14	2		12	Meir Barda	MID	ESH	14	7.0		12	Eyal Segal	FWD	KHS	12	7		12	Dolev Nagar	MID	MGN	14	58		12	Noam Bar-On	GK	MGN	4	4
13	Nevo Pinto	FWD	SGN	14	3		13	Harel Mamo	DEF	HET	14	2		13	Yishai Galili	MID	KHS	14	7.0		13	Raz Zoaretz	MID	SGN	14	7		13	Tal Sasson	DEF	KHS	14	56		13	Ilan Gabay	GK	HET	1	2
14	Yigal Revivo	FWD	SGN	14	3		14	Adi Madmoni	MID	HET	14	2		14	Behrouz Sabzevari	FWD	KHS	14	7.0		14	Liran Gozlan	MID	SGN	14	7		14	Meir Barda	MID	ESH	14	55		14	Ghassan Darwish	GK	MKA	4	2
15	Adi Madmoni	MID	HET	14	3		15	Ran Uzan	MID	HET	14	2		15	Sagi Melamed	GK	MKA	13	6.9		15	Ramin Qajarian	FWD	SGN	14	7		15	Zamir Peled	MID	MKA	14	54							
16	Yonah Golan	MID	HET	14	3		16	Idan Suissa	MID	HET	14	2		16	Segev Even-Khen	MID	MGN	13	6.9		16	Elad Ifrach	FWD	SGN	14	7		16	Idan Suissa	MID	HET	14	54							
17	Dolev Nagar	MID	MGN	14	3		17	Amir Buzaglo	MID	KHS	14	2		17	Nevo Pinto	FWD	SGN	14	6.9		17	Idan Suissa	MID	HET	14	7		17	Kyrillos Sennefer	DEF	MGN	14	54							
18	Eyal Ovadia	FWD	ESH	14	3		18	Ziv Tayar	DEF	MGN	8	1		18	Ramin Qajarian	FWD	SGN	14	6.9		18	Meir Barda	MID	ESH	14	7		18	Tomer Ivgi	DEF	SGN	14	53							
19	Itai Shapira	FWD	KHS	14	3		19	Omar Jubran	FWD	HNH	12	1		19	Uri Kastiel	FWD	SGN	14	6.9		19	Maoz Shaked	MID	AIS	13	6		19	Hisham Saleh	DEF	AIS	14	53							
20	Oren Shemesh	MID	SGN	11	2		20	Ariel Lugassy	MID	MKA	13	1		20	Ziyad Al-Rifai	DEF	MKA	14	6.9		20	Shai Azoulay	MID	HET	14	6		20	Nadav Tzur	DEF	MGN	14	53							
21	Siavash Tabatabai	FWD	MKA	12	2		21	Yuval Levkovich	FWD	HET	13	1		21	Zamir Peled	MID	MKA	14	6.9		21	Itamar Ben-Zaken	MID	MGN	14	6		21	Amjad Nabhan	DEF	KHS	14	53							
22	Bnaya Kabalo	MID	KHS	13	2		22	Bnaya Kabalo	MID	KHS	13	1		22	Shai Azoulay	MID	HET	14	6.9		22	Ghassan Ghanem	MID	ESH	14	6		22	Lahav Agam	DEF	ESH	14	52							
23	Raz Zoaretz	MID	SGN	14	2		23	Yigal Revivo	FWD	SGN	14	1		23	Adi Madmoni	MID	HET	14	6.9		23	Uriel Mazor	MID	KHS	10	5		23	Yotam Menashe	MID	MKA	14	50							
24	Itamar Tzarfati	FWD	HNH	14	2		24	Liran Gozlan	MID	SGN	14	1		24	Idan Suissa	MID	HET	14	6.9		24	Uri Kastiel	FWD	SGN	14	5		24	Zvi Dayan	DEF	MKA	14	50							
25	Louay Abu-Sitta	FWD	AIS	14	2		25	Ramin Qajarian	FWD	SGN	14	1		25	Nadav Tzur	DEF	MGN	14	6.9		25	Zamir Peled	MID	MKA	14	5		25	Hillel Friedman	MID	HNH	14	49							
26	Shai Azoulay	MID	HET	14	2		26	Elad Ifrach	FWD	SGN	14	1		26	Elkana Rotem	MID	MGN	14	6.9		26	Yonah Golan	MID	HET	14	5		26	Nader Al-Sayed	MID	HNH	14	49							
27	Netanel Elbaz	MID	MGN	14	2		27	Wael Halabi	MID	MKA	14	1		27	Ravid Biton	MID	ESH	14	6.9		27	Elkana Rotem	MID	MGN	14	5		27	Ran Uzan	MID	HET	14	49							
28	Ghassan Ghanem	MID	ESH	14	2		28	Yotam Menashe	MID	MKA	14	1		28	Ghassan Ghanem	MID	ESH	14	6.9		28	Dariush Hamedani	DEF	ESH	14	5		28	Gadi Harari	DEF	ESH	14	49							
29	Erez Malka	FWD	MGN	7	1		29	Zamir Peled	MID	MKA	14	1		29	Issam Zoghbi	FWD	ESH	14	6.9		29	Peleg Peleg-Or	FWD	ESH	14	5		29	Dariush Hamedani	DEF	ESH	14	47							
30	Nawaf Hijazi	MID	HNH	11	1		30	Zohar Hershkovitz	FWD	MKA	14	1		30	Zohar Lavi	DEF	MGN	10	6.8		30	Abanoub Rekhmire	MID	KHS	14	5		30	Diaa Odeh	DEF	KHS	14	47							
31	Ori Elharar	MID	ESH	12	1		31	Khaled Al-Najjar	DEF	HNH	14	1		31	Ihab Mikhail	MID	AIS	12	6.8		31	Amir Buzaglo	MID	KHS	14	5		31	Jad Qassem	DEF	MKA	13	46							
