#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Visker Nsytröm	FWD	KAL	18	11		1	Raitis Saarinen	FWD	TPS	17	4		1	Talle Eiragauð	FWD	RAU	18	7.3		1	Teemo Jylhä	FWD	KAL	18	20		1	Folke Vauttalainen	DEF	LAK	18	57		1	Andres Silva	GK	NJK	18	67
2	Talle Eiragauð	FWD	RAU	18	11		2	Teemo Jylhä	FWD	KAL	18	4		2	Hermes Toivolainen	DEF	TPS	12	7.2		2	Peder Somby	MID	RAU	18	18		2	Taavetti Kankkunen	MID	TPS	18	54		2	Ánderse Gauup	GK	KAJ	17	64
3	Josif Buljo	FWD	RAU	18	10		3	Jouno Oiva	FWD	TPS	18	4		3	Visker Nsytröm	FWD	KAL	18	7.1		3	Nestori Lahtenpää	MID	TLO	18	18		3	Valteri Ahtisaari	MID	LAK	18	53		3	Aatos Korpela	GK	SUR	16	60
4	Into Saarikoski	FWD	SUR	18	9		4	Talle Eiragauð	FWD	RAU	18	4		4	Jarmo Sillanpää	DEF	TPS	18	7.1		4	Miiko Simmes	FWD	LAK	18	17		4	Platees Hämälainen	DEF	LAK	17	52		4	Lukyas Torillov	GK	JPB	17	55
5	Urmas Kauppila	FWD	TLO	18	9		5	Eelis Ruohonen	DEF	SUR	16	3		5	Kimi Myllylä	MID	TLO	18	7.1		5	Vilppu Nieminen	MID	OJK	18	17		5	Roberto Tornelli	DEF	OJK	18	52		5	Andero Pollasmaa	GK	TLO	18	54
6	Nawaz Sarvi	FWD	TPS	18	8		6	Pietari Pietilä	MID	TPS	17	3		6	Valteri Ahtisaari	MID	LAK	18	7.1		6	Kimi Myllylä	MID	TLO	18	16		6	Salari Uljas	MID	OJK	18	50		6	Heikki Honkanen	GK	KAL	18	49
7	Miiko Simmes	FWD	LAK	18	7		7	Elia Aalto	MID	OJK	17	3		7	Miiko Simmes	FWD	LAK	18	7.1		7	Lisaaki Koski	FWD	JPB	18	16		7	Jarmo Sillanpää	DEF	TPS	18	47		7	Dober Mäkinen	GK	RAU	18	44
8	Alfred Korpela	FWD	TLO	18	6		8	Boitto Ojanen	MID	KAL	18	3		8	Vilppu Nieminen	MID	OJK	18	7.1		8	Kaarle Mikkonen	FWD	LAK	17	15		8	Saku Huttunen	DEF	LAK	16	46		8	Aleksanteri Portalla	GK	LAK	18	44
9	Jalmae Palander	MID	JPB	18	6		9	Nawaz Sarvi	FWD	TPS	18	3		9	Kimmo Arola	DEF	NJK	13	7.0		9	Nawaz Sarvi	FWD	TPS	18	15		9	Wilhelm Neuburger	DEF	TLO	18	46		9	Taisto Konstalainen	GK	TPS	16	43
10	Nakato Fujimoto	FWD	KAL	17	5		10	Kimi Myllylä	MID	TLO	18	3		10	Portik Likkastov	DEF	TPS	15	7.0		10	Kalle Ruokonen	MID	KAL	18	14		10	Paates Karsson	DEF	TLO	17	40		10	Xi Zhou	GK	OJK	17	38
11	Pietari Pietilä	MID	TPS	17	5		11	Miiko Simmes	FWD	LAK	18	3		11	Eelis Ruohonen	DEF	SUR	16	7.0		11	Jarmo Sillanpää	DEF	TPS	18	14		11	Gerhard Inselne	DEF	TPS	18	40		11	Hannu Venäläinen	GK	NJK	11	34
12	Teemo Jylhä	FWD	KAL	18	5		12	Lisaaki Koski	FWD	JPB	18	3		12	Pietari Pietilä	MID	TPS	17	7.0		12	Talle Eiragauð	FWD	RAU	18	14		12	Taeki Yamamoto	DEF	RAU	18	39		12	Nergüi Bortachikhan	GK	JPB	6	11
13	Väino Rautavaara	FWD	SUR	18	5		13	Kullervo Pukkinen	MID	OJK	8	2		13	Boitto Ojanen	MID	KAL	18	7.0		13	Jesse Johansson	MID	LAK	18	14		13	Jesse Johansson	MID	LAK	18	39		13	Toni Ahonen	GK	OJK	1	6
14	Veikko Turunen	FWD	NJK	18	5		14	Hermes Toivolainen	DEF	TPS	12	2		14	Nawaz Sarvi	FWD	TPS	18	7.0		14	Joel Asikainen	MID	OJK	18	14		14	Immanuel Kivinen	FWD	OJK	18	39		14	Leevi Mieonen	GK	SUR	2	6
15	Immanuel Kivinen	FWD	OJK	18	5		15	Rodion Belyayev	FWD	SUR	13	2		15	Into Saarikoski	FWD	SUR	18	7.0		15	Alfred Korpela	FWD	TLO	18	13		15	Vilppu Nieminen	MID	OJK	18	39		15	Gustav Pennanen	GK	KAL	3	5
16	Kaares Laanemets	FWD	RAU	16	4		16	Aapeli Klemetti	DEF	JPB	14	2		16	Josif Buljo	FWD	RAU	18	7.0		16	Valteri Ahtisaari	MID	LAK	18	13		16	Nestori Lahtenpää	MID	TLO	18	38		16	Markko Vanhatalo	GK	TPS	2	2
17	Raitis Saarinen	FWD	TPS	17	4		17	Kaares Laanemets	FWD	RAU	16	2		17	Urmas Kauppila	FWD	TLO	18	7.0		17	Eso Paavola	MID	TLO	16	12		17	Erneut Kozliakas	DEF	LAK	18	38		17	Yefin Korovin	GK	KAJ	1	1
18	Kimi Myllylä	MID	TLO	18	4		18	Kurtsov Zaitsev	MID	KAL	17	2		18	Jalmae Palander	MID	JPB	18	7.0		18	Cyavana Devarukhkar	FWD	LAK	18	12		18	Hermes Toivolainen	DEF	TPS	12	37		18	Zdaned Medved	GK	LAK	2	1
