#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Ryōsuke Tsugawa	FWD	KOS	17	13		1	Tatsuhiko Minagawa	DEF	KOS	18	5		1	Ryōsuke Tsugawa	FWD	KOS	17	7.5		1	Minoru Andō	MID	MAT	17	24		1	Naoya Kurihara	DEF	CHU	18	73		1	Yūya Tachikawa	GK	RYO	18	88
2	Guowei Sun	FWD	BGE	18	10		2	Toshiya Kogure	DEF	BGE	12	4		2	Kaname Kuramoto	MID	KOS	18	7.3		2	Ryōta Miyazawa	MID	MAT	18	18		2	Nobuhiro Azusawa	DEF	IFK	18	73		2	Kōhei Morisaki	GK	MRG	16	85
3	Shigematsu Sato	FWD	KAN	18	10		3	Mizuki Hoshizaki	MID	KOS	17	4		3	Naoki Higashino	MID	SHR	18	7.2		3	Yoshitaka Nabeshima	MID	KOS	18	18		3	Anirban Goswami	DEF	SHR	18	67		3	Ren Ikegami	GK	BGE	18	79
4	Tomohiro Arimatsu	FWD	VAL	18	10		4	Shunpei Kadota	FWD	CHU	18	4		4	Tatsuhiko Minagawa	DEF	KOS	18	7.2		4	Cory Gallegos	MID	VAL	18	18		4	Katsunori Haneda	DEF	MAT	18	63		4	Shūji Kannazuki	GK	KAN	18	72
5	Pradip Chowdhury	FWD	SHR	18	9		5	Kaname Kuramoto	MID	KOS	18	4		5	Pradip Chowdhury	FWD	SHR	18	7.1		5	Mizuki Hoshizaki	MID	KOS	17	17		5	Kaname Kuramoto	MID	KOS	18	63		5	Seishirō Ōkubo	GK	VAL	18	66
6	Naoya Kumazawa	FWD	KAN	15	8		6	Naoki Onizuka	MID	SHR	18	4		6	Yoshitaka Nabeshima	MID	KOS	18	7.1		6	Cesare Bottinelli	MID	KAN	18	17		6	Naguib Sharawi	DEF	BGE	18	59		6	Kenzō Fujinami	GK	KOS	18	56
7	Fumiya Habiro	FWD	IFK	17	8		7	Shigematsu Sato	FWD	KAN	18	4		7	Shigematsu Sato	FWD	KAN	18	7.1		7	Fumiya Habiro	FWD	IFK	17	16		7	Tomoki Kameyama	DEF	MAT	18	58		7	Bilan Terauchi	GK	IFK	18	56
8	Sōichi Egashira	FWD	KAN	18	8		8	Cesare Bottinelli	MID	KAN	18	4		8	Toshiya Kogure	DEF	BGE	12	7.1		8	Eren Peretz	MID	RYO	18	16		8	Naoto Soejima	DEF	RYO	18	58		8	Sibö Kurbli	GK	SHR	18	49
9	Kōtarō Yanagisawa	FWD	CHU	18	7		9	Sadao Garabin	MID	KAN	18	4		9	Ben Caldicott	DEF	BGE	18	7.1		9	Shunpei Kadota	FWD	CHU	18	16		9	Susumu Kikkawa	DEF	KOS	18	58		9	Shōichi Umeda	GK	MAT	18	44
10	Akihiro Kaibara	FWD	CHU	17	6		10	Provat Adhikari	DEF	SHR	6	3		10	Cesare Bottinelli	MID	KAN	18	7.1		10	Yūto Hisamatsu	MID	KAN	18	16		10	Yūsuke Shiota	DEF	MAT	18	57		10	Akira Suenaga	GK	CHU	18	38
11	Ippei Sawaki	MID	KOS	18	6		11	Genzō Ariyoshi	DEF	BGE	16	3		11	Mircea Ionescu	MID	SHR	18	7.1		11	Kōhei Sahara	FWD	IFK	18	16		11	Rostam Khalili	MID	MAT	18	55		11	Kazuma Takarada	GK	MRG	4	16
12	Yoshitaka Nabeshima	MID	KOS	18	6		12	Akihiro Kaibara	FWD	CHU	17	3		12	Ippei Sawaki	MID	KOS	18	7.1		12	Phani Kyaithang	MID	IFK	17	15		12	Ryōhei Ōtake	DEF	KOS	18	55							
13	Sōta Mizoguchi	FWD	MAT	18	5		13	Ryōsuke Tsugawa	FWD	KOS	17	3		13	Anirban Goswami	DEF	SHR	18	7.1		13	Kaname Kuramoto	MID	KOS	18	15		13	Mircea Ionescu	MID	SHR	18	55							
14	Ryōta Miyazawa	MID	MAT	18	5		14	Wenkai Zhao	MID	KOS	17	3		14	Ryōhei Ōtake	DEF	KOS	18	7.1		14	Naoki Higashino	MID	SHR	18	15		14	Kazutoshi Hōjō	DEF	IFK	18	54							
15	Itsuki Goto	FWD	RYO	18	5		15	Hiroto Nakatsuka	MID	SHR	17	3		15	Ismael Menéndez	DEF	CHU	18	7.1		15	Pradip Chowdhury	FWD	SHR	18	15		15	Touraj Hayaii	DEF	CHU	18	53							
16	Hiroto Umezawa	MID	KOS	18	5		16	Kaspar Eichendorff	FWD	BGE	18	3		16	Genki Toba	MID	IFK	18	7.0		16	Itsuki Tsukahara	MID	IFK	18	15		16	Daiki Moriizumi	MID	CHU	18	53							
17	Phong Le	FWD	VAL	18	5		17	Yūsuke Konparu	MID	BGE	18	3		17	Katsunori Haneda	DEF	MAT	18	7.0		17	Ryōsuke Tsugawa	FWD	KOS	17	14		17	Hengbo Liu	DEF	SHR	18	53							
18	Sōta Mitsuya	FWD	MRG	18	5		18	Sanat Barua	MID	MAT	18	3		18	Tomohiro Arimatsu	FWD	VAL	18	7.0		18	Reinhold Von Ungern	MID	BGE	18	14		18	Shigenori Takaoka	DEF	KAN	18	52							
19	Kaito Ōkawara	FWD	RYO	16	4		19	Kentarō Ishizuka	DEF	RYO	18	3		19	Lam Vu	MID	RYO	18	7.0		19	Naguib Sharawi	DEF	BGE	18	14		19	Vilgot Sundkvist	MID	MRG	18	52							
20	Rintarō Ichinohe	FWD	CHU	16	4		20	Jun'ichi Teraoka	FWD	RYO	18	3		20	Kōtarō Yanagisawa	FWD	CHU	18	7.0		20	Rostam Khalili	MID	MAT	18	14		20	Diego Montenegro	DEF	CHU	18	51							
21	Wenkai Zhao	MID	KOS	17	4		21	Naoki Higashino	MID	SHR	18	3		21	Kentarō Ishizuka	DEF	RYO	18	7.0		21	Sanat Barua	MID	MAT	18	14		21	Naohiro Shiina	DEF	KOS	18	51							
22	Nyilan Shikishima	FWD	SHR	17	4		22	Pradip Chowdhury	FWD	SHR	18	3		22	Minoru Andō	MID	MAT	17	7.0		22	Sōta Mizoguchi	FWD	MAT	18	14		22	Nirrim Biryara	MID	SHR	18	51							
23	Hiroto Nakatsuka	MID	SHR	17	4		23	Hamad Zahrani	MID	KAN	18	3		23	Naguib Sharawi	DEF	BGE	18	7.0		23	Tatsuhiko Minagawa	DEF	KOS	18	14		23	Ben Caldicott	DEF	BGE	18	50							
24	Szymon Kowalczyk	MID	VAL	17	4		24	Itsuki Tsukahara	MID	IFK	18	3		24	Eren Peretz	MID	RYO	18	7.0		24	Ryōhei Ōtake	DEF	KOS	18	14		24	Lam Vu	MID	RYO	18	50							
25	Hayato Sagami	FWD	MRG	17	4		25	Yasuhiro Narukawa	MID	VAL	18	3		25	Fumiya Habiro	FWD	IFK	17	7.0		25	Sadao Garabin	MID	KAN	18	14		25	Tomer Mizrahi	DEF	VAL	18	49							
26	Kiyotaka Momose	FWD	BGE	18	4		26	Tomohiro Arimatsu	FWD	VAL	18	3		26	Ryōta Miyazawa	MID	MAT	18	7.0		26	Wenkai Zhao	MID	KOS	17	13		26	Kōtarō Yanagisawa	FWD	CHU	18	48							
27	Yëría Kaché	MID	MAT	18	4		27	Cory Gallegos	MID	VAL	18	3		27	Provat Adhikari	DEF	SHR	6	7.0		27	Hiroto Nakatsuka	MID	SHR	17	13		27	Kentarō Ishizuka	DEF	RYO	18	47							
28	Daisuke Imaoka	MID	RYO	18	4		28	Nikhil Chatterjee	DEF	KAN	13	2		28	Szymon Kowalczyk	MID	VAL	17	7.0		28	Szymon Kowalczyk	MID	VAL	17	13		28	Tarran Nyaruguru	DEF	SHR	18	47							
29	Ryūji Sakanoue	MID	CHU	18	4		29	Rintarō Ichinohe	FWD	CHU	16	2		29	Ryōhei Ikegaya	DEF	KAN	15	7.0		29	Katsunori Haneda	DEF	MAT	18	13		29	Naoki Onizuka	MID	SHR	18	47							
30	Naoki Higashino	MID	SHR	18	4		30	Kōta Kanazawa	DEF	KAN	16	2		30	Susumu Kikkawa	DEF	KOS	18	7.0		30	Yëría Kaché	MID	MAT	18	13		30	Masaharu Kawabata	DEF	MRG	18	47							
31	Shūhei Ozaki	FWD	IFK	18	4		31	Jatin Sudatta	FWD	MAT	17	2		31	Hengbo Liu	DEF	SHR	18	7.0		31	Kentarō Ishizuka	DEF	RYO	18	13		31	Michio Maruoka	DEF	RYO	17	46							
32	Kōhei Sahara	FWD	IFK	18	4		32	Minoru Andō	MID	MAT	17	2		32	Akihiro Kaibara	FWD	CHU	17	7.0		32	Kōtarō Yanagisawa	FWD	CHU	18	13		32	Ismael Menéndez	DEF	CHU	18	46							
33	Kentarō Fukuhara	MID	SHR	15	3		33	Hiroaki Tomioka	MID	RYO	17	2		33	Alarico Canavese	MID	CHU	18	7.0		33	Nirrim Biryara	MID	SHR	18	13		33	Alarico Canavese	MID	CHU	18	46							
