#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Florian Van Can	FWD	ARM	33	26		1	Florian Van Can	FWD	ARM	33	11		1	Stijn Boelens	MID	ARM	34	7.4		1	Stijn Boelens	MID	ARM	34	46		1	Niklaus Yancy	DEF	EIE	34	119		1	Siegbert Müller	GK	NUR	34	162
2	Stijn Boelens	MID	ARM	34	19		2	Erich Rot	MID	FRM	34	9		2	Florian Van Can	FWD	ARM	33	7.3		2	Salvatore Romano	MID	HAN	34	42		2	Lex Goebel	DEF	EIE	34	117		2	Boda Harns	GK	VEY	34	151
3	Sieuwerd Beumers	FWD	BTV	34	17		3	Damian Assenberg	MID	F01	30	7		3	Salvatore Romano	MID	HAN	34	7.1		3	Florian Gruber	DEF	ARM	34	40		3	Manfred Frankenstein	DEF	F01	34	105		3	Marvin Oppenheimer	GK	E02	34	140
4	Fabian Knef	FWD	VEY	34	15		4	Florian Gruber	DEF	ARM	34	7		4	Wilfried Sorge	MID	E02	34	7.1		4	Lothar Höfler	MID	STU	34	38		4	Rafaël Altena	DEF	E02	34	97		4	Guntram Falkner	GK	FRM	34	139
5	Raphael Jung	FWD	ZUR	34	15		5	Clayton Caldwell	DEF	ARM	34	7		5	Maxi Hintzen	FWD	F01	34	7.1		5	Hartwin Schwarz	MID	ZUR	34	38		5	Lucas Jespersen	DEF	F01	34	97		5	Radim Mueller	GK	VSC	34	135
6	Ole Toft	FWD	SPA	32	14		6	Johann Wildgrube	FWD	VEY	34	7		6	Mattieu Donnadieu	DEF	ARM	34	7.1		6	Florian Van Can	FWD	ARM	33	36		6	Mattieu Donnadieu	DEF	ARM	34	97		6	Herwig Keil	GK	BAI	34	133
7	Frans Cuijpers	FWD	E02	34	14		7	Mirek Tesařík	FWD	PRA	33	6		7	Tomáš Svoboda	MID	ARM	34	7.1		7	Stephan Kiefer	MID	E02	33	35		7	Guntram Dirksen	DEF	F01	34	94		7	Bruno Sommer	GK	VPR	34	130
8	Thor Andresen	FWD	SPA	34	14		8	Dirk Spannagel	MID	BAI	34	6		8	Thor Andresen	FWD	SPA	34	7.1		8	Koenraad Jonkheer	FWD	RND	34	35		8	Emmett Harrison	DEF	HAN	34	93		8	Adriaan Meeuwes	GK	RND	34	129
9	Maxi Hintzen	FWD	F01	34	13		9	Koenraad Jonkheer	FWD	RND	34	6		9	Fabian Knef	FWD	VEY	34	7.1		9	Thor Andresen	FWD	SPA	34	35		9	Heike Kaiser	DEF	E02	34	91		9	Robert Kirchner	GK	LEI	34	129
10	Hubert Hašek	FWD	PRA	34	13		10	Chris Weimann	DEF	E02	34	6		10	Sieuwerd Beumers	FWD	BTV	34	7.1		10	Wiebe Simons	MID	E02	34	34		10	Hartmann Kiefer	DEF	ZUR	34	91		10	Levin Rosenburg	GK	BTV	34	126
11	Barnabas Henning	FWD	VPR	33	12		11	Gotthilf Brinkerhoff	FWD	STU	34	6		11	Hartmann Kiefer	DEF	ZUR	34	7.1		11	Adolf Grimm	FWD	E02	34	34		11	Eckbert Guttenberg	MID	EIE	34	90		11	Denis Lewerenz	GK	STU	34	124
12	Vilmos Szilágyi	FWD	HAN	34	12		12	Noga Bumgardner	MID	STU	34	6		12	Hartwin Schwarz	MID	ZUR	34	7.1		12	Wilfried Sorge	MID	E02	34	33		12	Michi Süss	MID	FRM	34	87		12	Augustin Sorg	GK	ZUR	34	124
13	Gotthilf Brinkerhoff	FWD	STU	34	12		13	Ignác Jelen	DEF	PRA	34	6		13	Erich Rot	MID	FRM	34	7.1		13	Maxi Hintzen	FWD	F01	34	33		13	Gottlieb Aue	DEF	EIE	34	86		13	Matthias Noack	GK	HAN	34	115
14	Telmo Candeias	MID	ARM	34	12		14	Oliver Bárta	FWD	PRA	34	6		14	Michi Süss	MID	FRM	34	7.1		14	Tomáš Svoboda	MID	ARM	34	32		14	Wilfried Sorge	MID	E02	34	82		14	Olav Jensen	GK	SPA	34	114
15	Klaus Jonasen	FWD	F01	29	11		15	Ime Paulsen	MID	SPA	34	6		15	Juvenal Vera	MID	LEI	34	7.1		15	Kuzma Zvezdinsky	MID	ARM	34	32		15	Tomáš Svoboda	MID	ARM	34	82		15	Roland Hoch	GK	EIE	34	105
16	Zikmund Pavlík	FWD	PRA	33	10		16	Thor Andresen	FWD	SPA	34	6		16	Efraín Arenas	DEF	ARM	27	7.0		16	Mirek Tesařík	FWD	PRA	33	31		16	Erni Bachmann	DEF	STU	34	81		16	Gabriel Tesařík	GK	PRA	34	103
17	Leon Bierhals	MID	HAN	34	10		17	Gernot Falkenrath	MID	VSC	34	6		17	Damian Assenberg	MID	F01	30	7.0		17	Kasimir Krantz	MID	EIE	34	31		17	Lubor Hlaváček	MID	PRA	34	80		17	Kurt Andela	GK	F01	34	99
18	Humbert Baumann	MID	STU	34	10		18	Reinhold Grünewald	MID	VSC	34	6		18	Reinhold Weimann	MID	ZUR	31	7.0		18	Bernd Müller	MID	STU	34	31		18	Stephan Kiefer	MID	E02	33	79		18	Klaus Bernhard	GK	ARM	34	95
19	Noah Weber	FWD	ZUR	34	10		19	Efraín Arenas	DEF	ARM	27	5		19	Ole Toft	FWD	SPA	32	7.0		19	Ime Paulsen	MID	SPA	34	31		19	Nathaniel Vitale	DEF	HAN	34	79		19	Brecht Kasper	GK	EIE	19	33
20	Michi Süss	MID	FRM	34	10		20	Otmar Loritz	FWD	F01	33	5		20	Pirmin Falk	DEF	VEY	33	7.0		20	Sieuwerd Beumers	FWD	BTV	34	31		20	Chris Weimann	DEF	E02	34	78		20	Heinz Feld	GK	NUR	8	25
21	Oto Vacek	FWD	VSC	34	10		21	Abe Bosman	MID	ARM	33	5		21	Eckbert Guttenberg	MID	EIE	34	7.0		21	Rolf Siemon	MID	F01	34	30		21	Sikke Pauwels	MID	F01	34	77		21	Alois Holzer	GK	LEI	6	21
22	Geert Winklers	FWD	E02	32	9		22	Pirmin Falk	DEF	VEY	33	5		22	Lenn Van Buren	MID	RND	34	7.0		22	Rolf Gärtner	MID	VSC	34	30		22	Kasimir Krantz	MID	EIE	34	76		22	Leonhard Metzger	GK	VSC	4	18
23	Till Berge	FWD	EIE	34	9		23	Vilmos Szilágyi	FWD	HAN	34	5		23	Koenraad Jonkheer	FWD	RND	34	7.0		23	Kunibert Aldenberg	MID	EIE	34	29		23	Lenn Van Buren	MID	RND	34	76		23	Bertram Gwerder	GK	ZUR	9	17
24	Salvatore Romano	MID	HAN	34	9		24	Wilfried Sorge	MID	E02	34	5		24	Nathaniel Vitale	DEF	HAN	34	7.0		24	Vilmos Szilágyi	FWD	HAN	34	29		24	Koenraad Jonkheer	FWD	RND	34	76		24	Bodo Polzin	GK	FRM	7	16
25	Kay Wilms	FWD	E02	34	9		25	Maxi Hintzen	FWD	F01	34	5		25	Emmett Harrison	DEF	HAN	34	7.0		25	Gernot Falkenrath	MID	VSC	34	29		25	Narra Catacutan	DEF	HAN	34	76		25	Lubor Frank	GK	VPR	7	13
26	Jakub Dvořák	MID	ARM	34	9		26	Bernd Müller	MID	STU	34	5		26	Narra Catacutan	DEF	HAN	34	7.0		26	Eckbert Guttenberg	MID	EIE	34	28		26	Ctirad Ševčík	DEF	PRA	34	76		26	Albrecht Wiegand	GK	HAN	6	12
27	Otto Pander	FWD	BTV	34	9		27	Mattieu Donnadieu	DEF	ARM	34	5		27	Leon Bierhals	MID	HAN	34	7.0		27	Chris Weimann	DEF	E02	34	28		27	Erich Rot	MID	FRM	34	76		27	Hendrik Vogelsang	GK	ARM	7	12
28	Raffael Beitel	FWD	NUR	34	9		28	Hauke Olesen	MID	SPA	34	5		28	Chris Weimann	DEF	E02	34	7.0		28	Michi Süss	MID	FRM	34	28		28	Helmar Sauber	MID	VEY	34	75		28	Luca Blecher	GK	E02	3	10
29	Thorsten Blumenthal	FWD	FRM	32	8		29	Hartwin Schwarz	MID	ZUR	34	5		29	Bernd Müller	MID	STU	34	7.0		29	Frederick Peters	MID	HAN	34	27		29	Thomas Waldhaus	DEF	LEI	34	75		29	Tom Kalbfleisch	GK	BAI	2	9
30	Jupp Göbel	FWD	BAI	33	8		30	Jaro Reis	DEF	VSC	34	5		30	Lothar Höfler	MID	STU	34	7.0		30	Gotthilf Brinkerhoff	FWD	STU	34	27		30	Hartmut Kaufmann	MID	FRM	33	74		30	Alte Admasen	GK	SPA	5	9
31	Otmar Loritz	FWD	F01	33	8		31	Gottlob Nurmburg	FWD	EIE	25	4		31	Florian Gruber	DEF	ARM	34	7.0		31	Noga Bumgardner	MID	STU	34	27		31	Kunibert Aldenberg	MID	EIE	34	74		31	Branislav Beránek	GK	PRA	4	8
32	Kuzma Zvezdinsky	MID	ARM	34	8		32	Johan Weinertitz	DEF	E02	32	4		32	Clayton Caldwell	DEF	ARM	34	7.0		32	Lubor Hlaváček	MID	PRA	34	27		32	Oswald Lange	MID	F01	34	74		32	Emmerich Höfler	GK	VEY	1	4
33	Johann Wildgrube	FWD	VEY	34	8		33	Ole Toft	FWD	SPA	32	4		33	Kuzma Zvezdinsky	MID	ARM	34	7.0		33	Marco Schulthiess	MID	BTV	34	27		33	Humbert Baumann	MID	STU	34	74		33	Otto Erckens	GK	F01	5	4
34	Conrad Skála	FWD	VSC	34	8		34	Hartmut Kaufmann	MID	FRM	33	4		34	Jakub Dvořák	MID	ARM	34	7.0		34	Reinhold Grünewald	MID	VSC	34	27		34	Palle Alma	DEF	SPA	34	74		34	Veit Hummel	GK	BTV	1	2
35	Gijsbert Troost	FWD	HAN	30	7		35	Kasimir Krantz	MID	EIE	34	4		35	Telmo Candeias	MID	ARM	34	7.0		35	Markus Abraham	MID	BAI	32	26		35	Uwe Unkle	DEF	BAI	34	73							
36	Mirek Tesařík	FWD	PRA	33	7		36	Adolf Grimm	FWD	E02	34	4		36	Ime Paulsen	MID	SPA	34	7.0		36	Jakub Dvořák	MID	ARM	34	26		36	Jan Svendsen	DEF	F01	34	72							
37	Lothar Höfler	MID	STU	34	7		37	Oswald Lange	MID	F01	34	4		37	Lorens Christensen	MID	SPA	34	7.0		37	Erich Rot	MID	FRM	34	26		37	Wolf Ohme	MID	BTV	34	72							
38	Filip Kartensen	FWD	SPA	34	7		38	Rolf Siemon	MID	F01	34	4		38	Johann Wildgrube	FWD	VEY	34	7.0		38	Wieland Hummel	FWD	VSC	34	26		38	Akiva Schumacher	DEF	STU	34	71							
39	Wieland Hummel	FWD	VSC	34	7		39	Sikke Pauwels	MID	F01	34	4		39	Marco Schulthiess	MID	BTV	34	7.0		39	Juvenal Vera	MID	LEI	34	26		39	Bernd Müller	MID	STU	34	71							
40	Gottlob Nurmburg	FWD	EIE	25	6		40	Lothar Höfler	MID	STU	34	4		40	Luitpolt Hubert	MID	FRM	34	7.0		40	Ole Toft	FWD	SPA	32	25		40	Luitpolt Hubert	MID	FRM	34	71							
41	Severin Weyermann	FWD	ARM	29	6		41	Drahoslav Pešek	MID	PRA	34	4		41	Gernot Falkenrath	MID	VSC	34	7.0		41	Oscar Carstensen	FWD	SPA	33	25		41	Augustin Langer	MID	BAI	34	70							
42	Johan Weinertitz	DEF	E02	32	6		42	Tomáš Svoboda	MID	ARM	34	4		42	Matěj Křížek	DEF	ARM	15	6.9		42	Stav Wegener	DEF	STU	34	25		42	Lorens Christensen	MID	SPA	34	70							
43	Oscar Carstensen	FWD	SPA	33	6		43	Kuzma Zvezdinsky	MID	ARM	34	4		43	Meine Meissner	DEF	EIE	17	6.9		43	Oliver Bárta	FWD	PRA	34	25		43	Jupp Neumann	DEF	VEY	34	70							
44	Oliver Bárta	FWD	PRA	34	6		44	Stijn Boelens	MID	ARM	34	4		44	Adalbert Bleier	DEF	ZUR	28	6.9		44	Telmo Candeias	MID	ARM	34	25		44	Joop Lauwens	MID	BTV	34	70							
45	Hauke Olesen	MID	SPA	34	6		45	Jakub Dvořák	MID	ARM	34	4		45	Maria Adenauer	MID	VPR	31	6.9		45	Wenzeslaus Pfeiffer	MID	ZUR	34	25		45	Marco Schulthiess	MID	BTV	34	70							
46	Ime Paulsen	MID	SPA	34	6		46	Lorens Christensen	MID	SPA	34	4		46	Conrad Bauer	MID	LEI	31	6.9		46	Luitpolt Hubert	MID	FRM	34	25		46	Rolf Gärtner	MID	VSC	34	70							
47	Luitpolt Hubert	MID	FRM	34	6		47	Wolf Ohme	MID	BTV	34	4		47	Senne Teunissen	DEF	EIE	31	6.9		47	Uwe Daube	MID	VSC	34	25		47	Pascal Post	MID	EIE	32	69							
48	Gernot Falkenrath	MID	VSC	34	6		48	Otto Pander	FWD	BTV	34	4		48	Stephan Kiefer	MID	E02	33	6.9		48	Pascal Post	MID	EIE	32	24		48	Július Bernard	MID	PRA	34	69							
49	Made Djelantik	FWD	LEI	34	6		49	Hartmann Kiefer	DEF	ZUR	34	4		49	Otmar Loritz	FWD	F01	33	6.9		49	Dirk Spannagel	MID	BAI	34	24		49	Cor Brutz	DEF	BTV	34	68							
50	Bernardo Figueira	FWD	LEI	34	6		50	Wieland Hummel	FWD	VSC	34	4		50	Dirk Spannagel	MID	BAI	34	6.9		50	Leon Bierhals	MID	HAN	34	24		50	Ánselmo Fernandez	MID	LEI	34	68							
51	Denis Walkenhorst	FWD	VEY	28	5		51	Juvenal Vera	MID	LEI	34	4		51	Niklaus Yancy	DEF	EIE	34	6.9		51	Damian Assenberg	MID	F01	30	23		51	Conrad Bauer	MID	LEI	31	67							
52	Eric Jäger	FWD	FRM	28	5		52	Rodion Prokhorov	MID	ARM	23	3		52	Lex Goebel	DEF	EIE	34	6.9		52	Ove Beck	MID	BTV	33	23		52	Senne Teunissen	DEF	EIE	31	67							
