#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Haydar Şen	FWD	SEL	13	13	753	10		1	Orkun Çeti̇n	MID	SEL	13	13	722	11		1	Yerrin Chindura	MID	NKI	10	10	489	8.4		1	Sudhir Chakraborty	MID	NHO	10	10	629	31		1	Tanjin Tsukahara	DEF	NKI	10	10	847	56		1	Basem Shenouda	GK	NRG	9	9	810	64
2	Yerrin Chindura	MID	NKI	10	10	489	7		2	Stephanos Ballana	MID	NRG	9	9	624	6		2	Sepideh Shakibaii	MID	VAR	11	11	540	8.4		2	Sepideh Shakibaii	MID	VAR	11	11	540	28		2	Vural Surlu	MID	SEL	12	12	977	55		2	Vahid Lorestani	GK	VAR	11	11	990	36
3	Yoshio Hanazawa	FWD	NHO	10	0	337	6		3	Sudhir Chakraborty	MID	NHO	10	10	629	6		3	Lakhdar Hamidi	MID	ADV	7	7	514	8.3		3	Orkun Çeti̇n	MID	SEL	13	13	722	28		3	Sarp Sayda	DEF	SEL	12	12	1016	52		3	Ahmet Aydin	GK	SEL	13	13	1170	36
4	Kenji Nagase	FWD	NHO	10	10	554	6		4	Tadros Amenemhat	MID	KMT	9	9	673	4		4	Sarapamon Nakhtmin	FWD	KMT	7	7	440	8.1		4	Yerrin Chindura	MID	NKI	10	10	489	24		4	Muzaffer Doğan	DEF	SEL	13	13	1170	52		4	Shenoute Nebamun	GK	KMT	9	9	810	35
5	Sepideh Shakibaii	MID	VAR	11	11	540	6		5	Sepideh Shakibaii	MID	VAR	11	11	540	4		5	Sudhir Chakraborty	MID	NHO	10	10	629	8.1		5	Simphiwe Chabalala	MID	ASP	7	7	426	15		5	Orkun Çeti̇n	MID	SEL	13	13	722	51		5	Amaru Calfuqueo	GK	AKG	7	7	630	30
6	Dhanushkodi Thuraisingam	FWD	ARU	7	7	443	5		6	Zeki Nari̇n	MID	SEL	12	0	248	4		6	Orkun Çeti̇n	MID	SEL	13	13	722	8.0		6	Masaru Jakamarra	FWD	NKI	9	9	432	14		6	Touraj Hayaii	DEF	VAR	11	11	942	47		6	Dural Tanumura	GK	NKI	10	10	900	29
7	Sarapamon Nakhtmin	FWD	KMT	7	7	440	5		7	Batuhan Balyoz	MID	SEL	12	12	844	4		7	Haydar Şen	FWD	SEL	13	13	753	7.9		7	Ashkan Mahdavi	MID	VAR	11	11	619	14		7	Anirban Goswami	DEF	NHO	10	10	900	45		7	Ashim Bhattacharya	GK	NHO	10	10	900	29
8	Rhulani Khouza	FWD	ASP	7	7	455	5		8	Masaru Jakamarra	FWD	NKI	9	9	432	3		8	Dhanushkodi Thuraisingam	FWD	ARU	7	7	443	7.8		8	Yavuz Koç	MID	SEL	13	13	875	13		8	Warrik Wirandaru	DEF	NKI	10	10	900	44		8	Thirumal Annamalai	GK	ARU	7	7	630	25
9	Saīd Farzan	FWD	VAR	11	0	440	5		9	Ashkan Mahdavi	MID	VAR	11	11	619	3		9	Anoup Ptahmose	MID	KMT	9	9	621	7.8		9	Dvir Alon	MID	SHI	7	7	557	12		9	Daru Jafari	MID	VAR	11	11	828	44		9	Pranab Hazarika	GK	GUP	7	7	630	25
10	Pedram Nazeri	FWD	VAR	11	11	550	5		10	Selçuk Demirci	MID	SEL	13	13	851	3		10	Ashkan Mahdavi	MID	VAR	11	11	619	7.6		10	Tadros Amenemhat	MID	KMT	9	9	673	12		10	Haydar Şen	FWD	SEL	13	13	753	43		10	Bibhuti Mohapatra	GK	ENR	7	7	630	23
