SEASON	WINNER
1889	343 Kōkūtai
1890	343 Kōkūtai
1891	343 Kōkūtai
1892	Takarazuka Kaigun
1893	Imperial Sports Society
1894	Kyōwa Naginomiya
1895	Takarazuka Kaigun
1896	Viridia Shikisen
1897	Dynamo Mizuhara
1898	Imperial Sports Society
1899	Imperial Sports Society
1900	Dynamo Mizuhara
1901	Dynamo Mizuhara
1902	Toyama Thunderbolts
1903	Spartak Kanagawa
1904	Toyama Thunderbolts
1905	Spartak Kanagawa
1906	Imperial Sports Society
1907	Spartak Kanagawa
1908	Bankoku Genkai
1909	Imperial Sports Society
1910	Spartak Kanagawa
1911	Viridia Shikisen
1912	Bankoku Genkai
1913	Spartak Kanagawa
1914	Dynamo Mizuhara
1921	Imperial Sports Society
1922	AFC Makinohara
1923	AFC Makinohara
1924	AFC Makinohara
1925	Spartak Kanagawa
1926	Tsukumo Shinkeisei
1927	Dynamo Mizuhara
1928	Dynamo Mizuhara
1929	Orughan FC
1930	Spartak Kanagawa
1931	Dynamo Mizuhara
