#	PLAYER	POS	TEAM	GP	ST	MIN	G		#	PLAYER	POS	TEAM	GP	ST	MIN	A		#	PLAYER	POS	TEAM	GP	ST	MIN	RTG		#	PLAYER	POS	TEAM	GP	ST	MIN	CC		#	PLAYER	POS	TEAM	GP	ST	MIN	DC		#	PLAYER	POS	TEAM	GP	ST	MIN	S
1	Rui Ōe	MID	NCH	10	10	665	13		1	Étienne Trieu	MID	ATK	7	7	514	9		1	Luca Higashiyama	MID	NCH	10	10	622	8.3		1	Luca Higashiyama	MID	NCH	10	10	622	48		1	Linus Kitingan	DEF	CAH	11	11	990	84		1	Renzo Agbayani	GK	SGD	11	11	990	37
2	Catmon Nacpil	FWD	SGD	11	11	971	11		2	Luca Higashiyama	MID	NCH	10	10	622	9		2	Timur Iskanderov	MID	GIA	8	8	574	8.1		2	Valery Polyakov	FWD	GIA	8	8	694	20		2	Luca Higashiyama	MID	NCH	10	10	622	55		2	Raka Wijaya	GK	CAH	11	11	990	32
3	Timur Iskanderov	MID	GIA	8	8	574	9		3	Valery Polyakov	FWD	GIA	8	8	694	5		3	Ilya Morozov	MID	GIA	8	8	531	7.9		3	Étienne Trieu	MID	ATK	7	7	514	19		3	Eliezer Bansa	MID	CAH	11	11	867	55		3	Evgeny Karpov	GK	PER	11	11	990	32
4	Alimjan Turghun	FWD	PER	11	11	729	9		4	Hiro Oshiro	MID	NCH	10	10	711	5		4	Guowei Sun	FWD	GUA	7	7	473	7.8		4	Klim Zaytsev	MID	PER	11	11	787	19		4	Daulat Siregar	FWD	CAH	11	11	708	54		4	Bilguun Bat-Erdene	GK	AXE	6	6	540	29
5	Vinh Ngo	FWD	ATK	7	7	605	8		5	Fedor Frolov	FWD	PER	11	11	790	5		5	Étienne Trieu	MID	ATK	7	7	514	7.8		5	Ilya Morozov	MID	GIA	8	8	531	18		5	Makisig Liwanag	MID	SGD	11	11	824	53		5	Janh Nguyen	GK	ATK	7	7	630	28
6	Kiyoshi Torigoe	MID	NCH	9	0	376	7		6	Qiushi Zhang	MID	GUA	7	7	533	4		6	Rui Ōe	MID	NCH	10	10	665	7.8		6	Hiro Oshiro	MID	NCH	10	10	711	15		6	Ivan Gavrilovic	DEF	PER	11	11	838	52		6	Semyon Volkov	GK	GIA	8	8	720	28
7	Fedor Frolov	FWD	PER	11	11	790	7		7	Nikolai Lebedev	MID	GIA	8	8	612	4		7	Catmon Nacpil	FWD	SGD	11	11	971	7.7		7	Guowei Sun	FWD	GUA	7	7	473	14		7	Rodion Titov	MID	PER	11	11	914	48		7	William Bwemara	GK	ENC	7	7	630	22
8	Chenguang Pei	FWD	GUA	7	7	611	6		8	Rui Ōe	MID	NCH	10	10	665	4		8	Vinh Ngo	FWD	ATK	7	7	605	7.6		8	Timur Iskanderov	MID	GIA	8	8	574	14		8	Kidlat Ilagan	MID	SGD	11	11	887	47		8	Andres Raivo	GK	KFK	6	6	540	19
9	Valery Polyakov	FWD	GIA	8	8	694	6		9	Alimjan Turghun	FWD	PER	11	11	729	4		9	Sheng Huang	MID	FUR	8	8	445	7.6		9	Rui Ōe	MID	NCH	10	10	665	14		9	Osman Mamut	DEF	PER	11	11	990	47		9	Josefa Gonelevu	GK	ANB	7	7	630	19
10	Hiro Oshiro	MID	NCH	10	10	711	6		10	Zhihao Tang	MID	GUA	6	3	257	3		10	Jaroslav Navrátil	MID	AKN	6	6	429	7.5		10	Qiang Zhu	MID	FUR	8	8	537	13		10	Puso Kalaw	MID	SGD	11	11	919	46		10	Yang Chen	GK	FUR	8	8	720	19
