#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG
1	Shō Itoshi	FWD	NCH	7	7		1	Konsta Yrjölä	DEF	KAR	5	5		1	Shō Itoshi	FWD	NCH	7	8.6
2	Florian Van Can	FWD	ALE	4	5		2	Antoine Bagradian	MID	ARV	7	4		2	Florian Van Can	FWD	ALE	4	8.5
3	Horace Peshlakai	FWD	CAL	7	5		3	Dale Landry	MID	HOL	7	4		3	Yeray Bengoetxea	MID	ASK	5	8.1
4	Pavel Sokolov	FWD	RUD	4	4		4	Simón Arismendi	FWD	HOL	7	4		4	Petr Procházka	MID	ALE	4	8.1
5	Siegmund Stracke	FWD	PON	4	4		5	Ibai Urrutia	DEF	ASK	5	3		5	Siegmund Stracke	FWD	PON	4	8.1
6	Harry Caine	FWD	ELV	4	4		6	Levi Nez	FWD	CAL	7	3		6	Harry Caine	FWD	ELV	4	8.1
7	Miltiadis Galanis	FWD	AST	4	4		7	Guillaume Chardon	MID	ARV	7	3		7	Made Djelantik	FWD	CAH	3	8
8	Roððo Duongi	FWD	KAR	5	4		8	Manuel Betancourt	MID	HOL	7	3		8	Vidi Sastrowardoyo	MID	CAH	2	7.9
9	Rosendo Zapatero	FWD	AUR	5	4		9	Vidi Sastrowardoyo	MID	CAH	2	2		9	Makoto Kishima	MID	NCH	7	7.9
10	Hayes Hollis	MID	HOL	6	4		10	Pedram Nazeri	FWD	VAR	3	2		10	Miltiadis Galanis	FWD	AST	4	7.9
11	Luca Higashiyama	MID	NCH	7	4		11	Salvatore Romano	MID	VIC	3	2		11	Stijn Boelens	MID	ALE	4	7.9
12	Antoine Bagradian	MID	ARV	7	4		12	Ondřej Černý	MID	ALE	4	2		12	Antoine Bagradian	MID	ARV	7	7.9
13	Valentín Vivas	MID	HOL	7	4		13	Denis Kuznetsov	MID	RUD	4	2		13	Trent Hawthorne	FWD	ESU	5	7.8
14	Raffaele Lucchese	FWD	VIC	3	3		14	Erast Pobedonostsev	FWD	RUD	4	2		14	Danylo Perebyinis	MID	SID	3	7.8
15	Jean Beauregard	MID	HOL	4	3		15	Jedidiah Wanamaker	DEF	PON	4	2		15	Ondřej Černý	MID	ALE	4	7.8
16	Sheng Huang	MID	FUR	4	3		16	Haoran Peng	MID	FUR	4	2		16	Konsta Yrjölä	DEF	KAR	5	7.8
17	Yeray Bengoetxea	MID	ASK	5	3		17	Callum Davies	DEF	ELV	4	2		17	Ibai Urrutia	DEF	ASK	5	7.8
18	Pau Puigcorbé	FWD	ASK	5	3		18	Themistoklis Zervas	MID	AST	4	2		18	Taiga Bashira	MID	NCH	6	7.8
19	Makoto Kishima	MID	NCH	7	3		19	Paavo Seppälä	DEF	KAR	5	2		19	Pau Puigcorbé	FWD	ASK	5	7.8
20	Rémi Gauthier	FWD	ARV	7	3		20	Rocco De Luca	MID	ESU	5	2		20	Ganzorig Erdene	FWD	NCH	7	7.8
21	Simón Arismendi	FWD	HOL	7	3		21	Matías Salcedo	FWD	ASK	5	2		21	Luca Higashiyama	MID	NCH	7	7.8
22	Danylo Perebyinis	MID	SID	3	2		22	Taiga Bashira	MID	NCH	6	2		22	Roððo Duongi	FWD	KAR	5	7.7
23	Made Djelantik	FWD	CAH	3	2		23	Beau Covington	MID	HOL	6	2		23	Thomas Hargreaves	MID	ELV	4	7.7
24	Cihan Kartaca	MID	SEL	3	2		24	Takeru Mikado	MID	NCH	7	2		24	Rodrigo Alvarenga	DEF	ASK	5	7.7
25	Petr Procházka	MID	ALE	4	2		25	Shō Itoshi	FWD	NCH	7	2		25	Leandro Escudero	MID	ASK	1	7.7
26	Kuzma Zvezdinsky	MID	RUD	4	2		26	Ganzorig Erdene	FWD	NCH	7	2		26	August Rittenhouse	MID	PON	4	7.7
27	Erast Pobedonostsev	FWD	RUD	4	2		27	Leandro Escudero	MID	ASK	1	1		27	Simón Arismendi	FWD	HOL	7	7.7
28	Vinh Ngo	FWD	ATK	4	2		28	Archibald Bamford	MID	ENR	3	1		28	Raffaele Lucchese	FWD	VIC	3	7.7
29	Wilhelm Giesel	FWD	PON	4	2		29	Warrik Wirandaru	DEF	NKI	3	1		29	Rosendo Zapatero	FWD	AUR	5	7.6
30	Fengqi Lu	MID	FUR	4	2		30	Osamu Matsumoto	MID	NKI	3	1		30	Masaru Jakamarra	FWD	NKI	3	7.6
31	Vito Moretti	MID	ESU	5	2		31	Tarran Nyaruguru	MID	NKI	3	1		31	Daigo Takanashi	DEF	NCH	7	7.6
32	Trent Hawthorne	FWD	ESU	5	2		32	Enhle Khumalo	DEF	ASP	3	1		32	Oriol Montagut	DEF	ASK	5	7.6
33	Leon Vogel	FWD	ESU	5	2		33	Ashkan Mahdavi	FWD	VAR	3	1		33	Gonzalo Valbuena	MID	ASK	5	7.6
34	Beau Covington	MID	HOL	6	2		34	Eleu Pokipala	FWD	AED	3	1		34	Valentin Peixoto	DEF	ASK	5	7.6
35	Alton Begay	MID	CAL	7	2		35	Taras Bondarenko	MID	SID	3	1		35	Pavel Sokolov	FWD	RUD	4	7.5
36	Ganzorig Erdene	FWD	NCH	7	2		36	Artem Tkachenko	MID	SID	3	1		36	Horace Peshlakai	FWD	CAL	7	7.5
37	Manuel Betancourt	MID	HOL	7	2		37	Vasyl Nalyvaiko	DEF	SID	3	1		37	Gijs Dreesens	MID	ALE	4	7.5
38	Fulgens Tirkey	DEF	ENR	3	1		38	Ghaith Musawi	MID	ADV	3	1		38	Jackson Miller	GK	CAL	7	7.5
39	Junichiro Tarugara	MID	NKI	3	1		39	Safwan Azzawi	MID	ADV	3	1		39	Marcus Wright	MID	ELV	4	7.5
40	Minoru Andō	MID	NKI	3	1		40	Teguh Setiawan	DEF	CAH	3	1		40	Jaan Soosaar	MID	KAR	5	7.5
41	Masaru Jakamarra	FWD	NKI	3	1		41	Made Djelantik	FWD	CAH	3	1		41	Vinh Ngo	FWD	ATK	4	7.5
42	Yanbo Ma	MID	GUA	3	1		42	Kannan Kurup	FWD	CAH	3	1		42	Raka Wijaya	GK	CAH	3	7.5
43	Simphiwe Chabalala	FWD	ASP	3	1		43	Emilio Bianchi	MID	VIC	3	1		43	Matías Salcedo	FWD	ASK	5	7.5
44	Maziar Sahat	MID	VAR	3	1		44	Cosimo Colombo	FWD	VIC	3	1		44	Osmo Rástoš	MID	KAR	5	7.5
45	Ashkan Mahdavi	FWD	VAR	3	1		45	Hartmut Kinkeldey	MID	PON	3	1		45	Eisuke Sato	GK	NCH	7	7.5
46	Sepideh Shakibaii	FWD	VAR	3	1		46	Clifton Papatie	MID	ATA	3	1		46	Takeru Mikado	MID	NCH	7	7.5
47	Siavash Mehrian	MID	VAR	3	1		47	Vural Surlu	MID	SEL	3	1		47	Vojtěch Novotný	DEF	ALE	4	7.4
48	Nakoa Kealoha	DEF	AED	3	1		48	Batuhan Balyoz	MID	SEL	3	1		48	Janh Nguyen	GK	ATK	4	7.4
49	Ihor Kovalenko	DEF	SID	3	1		49	Haydar Şen	FWD	SEL	3	1		49	Xavier Cienfuegos	GK	ASK	5	7.4
50	Jangir Barwari	DEF	ADV	3	1		50	Alimjan Turghun	FWD	PER	3	1		50	Kōzō Fujise	DEF	NCH	7	7.4
51	Bassam Khafaji	MID	ADV	3	1		51	Ramses Makram	DEF	KMT	3	1		51	Zixuan Wang	GK	GUA	4	7.4
52	Eliezer Bansa	MID	CAH	3	1		52	Ezio Zanon	MID	KMT	3	1		52	Cayetano Montoya	DEF	AUR	5	7.4
53	Kannan Kurup	FWD	CAH	3	1		53	Vojtěch Novotný	DEF	ALE	4	1		53	Klaus Bernhard	GK	ALE	4	7.4
54	Daulat Siregar	FWD	CAH	3	1		54	Joris Van Antwerp	DEF	ALE	4	1		54	Rémi Gauthier	FWD	ARV	7	7.4
55	Cosimo Colombo	FWD	VIC	3	1		55	Tomáš Svoboda	MID	ALE	4	1		55	Phong Le	DEF	ATK	4	7.4
56	Tanvir Howlader	FWD	NHO	3	1		56	Stijn Boelens	MID	ALE	4	1		56	Rocco De Luca	MID	ESU	5	7.4
57	Biidaaban Manitowabi	FWD	ATA	3	1		57	Florian Van Can	FWD	ALE	4	1		57	Efraín Arenas	DEF	AUR	5	7.4
58	Keesic Nottaway	MID	ATA	3	1		58	Gijs Dreesens	MID	ALE	4	1		58	Erast Pobedonostsev	FWD	RUD	4	7.4
59	Muzaffer Doğan	DEF	SEL	3	1		59	Xuanming Qiao	DEF	GUA	4	1		59	Arthur Whitmore	MID	ELV	4	7.4
60	Fedor Frolov	FWD	PER	3	1		60	Qiushi Zhang	MID	GUA	4	1		60	Iraklis Christodoulou	FWD	AST	4	7.4
61	Lionello Moscatelli	DEF	KMT	3	1		61	Wenkai Zhao	MID	GUA	4	1		61	Kannan Kurup	FWD	CAH	3	7.4
62	Virgilio Piromalli	MID	KMT	3	1		62	Chenguang Pei	FWD	GUA	4	1		62	Hayes Hollis	MID	HOL	6	7.4
63	Suriel Doss	FWD	KMT	3	1		63	Sergei Smirnov	DEF	RUD	4	1		63	Vito Moretti	MID	ESU	5	7.4
64	Ondřej Černý	MID	ALE	4	1		64	Timur Oorzhak	DEF	RUD	4	1		64	Tomáš Svoboda	MID	ALE	4	7.3
65	Stijn Boelens	MID	ALE	4	1		65	Alexei Razumovsky	DEF	RUD	4	1		65	Vsevolod Krestovsky	DEF	RUD	4	7.3
66	Heng Kong	DEF	GUA	4	1		66	Namsarai Ayusheev	MID	RUD	4	1		66	Timur Oorzhak	DEF	RUD	4	7.3
67	Lingyun Hao	MID	GUA	4	1		67	Pavel Sokolov	FWD	RUD	4	1		67	Wilhelm Giesel	FWD	PON	4	7.3
68	Qiushi Zhang	MID	GUA	4	1		68	Phong Le	DEF	ATK	4	1		68	Prokopis Karagiannis	MID	AST	4	7.3
69	Vsevolod Krestovsky	DEF	RUD	4	1		69	Cuong Khuat	DEF	ATK	4	1		69	Claude Lemaitre	MID	ARV	7	7.3
70	Victor Tardieu	MID	ARV	4	1		70	Sang Pham	MID	ATK	4	1		70	Cosimo Colombo	FWD	VIC	3	7.3
71	Sang Pham	MID	ATK	4	1		71	Ephraim Snyder	DEF	PON	4	1		71	Clayton Caldwell	DEF	CAL	7	7.3
72	Liam Bopp	DEF	PON	4	1		72	August Rittenhouse	MID	PON	4	1		72	Sheng Huang	MID	FUR	4	7.3
73	Diedrich Fassbender	MID	PON	4	1		73	Pirmin Hoffmeister	MID	PON	4	1		73	Kleanthis Paleologos	DEF	AST	4	7.3
74	August Rittenhouse	MID	PON	4	1		74	Robert Schlösser	FWD	PON	4	1		74	Paavo Seppälä	DEF	KAR	5	7.3
75	Nathanael Custer	DEF	PON	4	1		75	Conan Neitzel	MID	PON	4	1		75	Juvenal Vera	DEF	AUR	5	7.3
76	Robert Schlösser	FWD	PON	4	1		76	Wilhelm Giesel	FWD	PON	4	1		76	Kiyoshi Torigoe	MID	NCH	6	7.3
77	Tianyu Gu	MID	FUR	4	1		77	Liang Wu	DEF	FUR	4	1		77	Akira Nagumo	DEF	NCH	7	7.3
78	Owen Ashworth	DEF	ELV	4	1		78	Xiang Qian	DEF	FUR	4	1		78	Rafael Rosario	GK	AUR	5	7.3
79	Thomas Hargreaves	MID	ELV	4	1		79	Mingzhe Xiong	DEF	FUR	4	1		79	Jenaro Salamanca	DEF	AUR	5	7.3
80	Marcus Wright	MID	ELV	4	1		80	Fengqi Lu	MID	FUR	4	1		80	Valentín Vivas	MID	HOL	7	7.3
81	Kleanthis Paleologos	DEF	AST	4	1		81	Thomas Hargreaves	MID	ELV	4	1		81	Spencer Jackson	GK	ESU	5	7.3
82	Prokopis Karagiannis	MID	AST	4	1		82	Marcus Wright	MID	ELV	4	1		82	Heng Kong	DEF	GUA	4	7.3
83	Dionysios Vlahos	MID	AST	4	1		83	Lewis Bardsley	MID	ELV	4	1		83	Cuong Khuat	DEF	ATK	4	7.3
84	Iraklis Christodoulou	FWD	AST	4	1		84	Arthur Whitmore	MID	ELV	4	1		84	Epaminondas Mavromatis	MID	AST	4	7.3
85	Diego Quintana	DEF	ASK	4	1		85	Aristeidis Georgiou	DEF	AST	4	1		85	Fengqi Lu	MID	FUR	4	7.3
86	Eemeli Uusitalo	DEF	KAR	5	1		86	Spyridon Lykoudis	DEF	AST	4	1		86	Manuel Betancourt	MID	HOL	7	7.3
87	Jaan Soosaar	MID	KAR	5	1		87	Vlasios Nikolaou	DEF	AST	4	1		87	Dural Tanumura	GK	NKI	3	7.3
88	Osmo Rástoš	MID	KAR	5	1		88	Epaminondas Mavromatis	MID	AST	4	1		88	Elliot Farnsworth	DEF	ESU	5	7.3
89	Nathaniel Vitale	DEF	ESU	5	1		89	Prokopis Karagiannis	MID	AST	4	1		89	Guillaume Chardon	MID	ARV	7	7.3
90	Gustavo Quintero	DEF	HOL	5	1		90	Iraklis Christodoulou	FWD	AST	4	1		90	Joris Van Antwerp	DEF	ALE	4	7.3
91	Oriol Montagut	DEF	ASK	5	1		91	Santeri Helkanen	DEF	KAR	5	1		91	Callum Davies	DEF	ELV	4	7.3
92	Rodrigo Alvarenga	DEF	ASK	5	1		92	Jaan Soosaar	MID	KAR	5	1		92	Callum Calhoun	GK	HOL	7	7.2
93	Gonzalo Valbuena	MID	ASK	5	1		93	Osmo Rástoš	MID	KAR	5	1		93	Teguh Setiawan	DEF	CAH	3	7.2
94	Bernardo Figueira	FWD	ASK	5	1		94	Nathaniel Vitale	DEF	ESU	5	1		94	Jean Beauregard	MID	HOL	4	7.2
95	Arcadio Villa	FWD	AUR	5	1		95	Elliot Farnsworth	DEF	ESU	5	1		95	Conrad Bauer	MID	ESU	5	7.2
96	Severino Guzmán	FWD	AUR	5	1		96	Trent Hawthorne	FWD	ESU	5	1		96	Gen Fija	DEF	NCH	7	7.2
97	Taiga Bashira	MID	NCH	6	1		97	Valentin Peixoto	DEF	ASK	5	1		97	Florian Gruber	DEF	ALE	4	7.2
98	Emmett Harrison	DEF	CAL	7	1		98	Oriol Montagut	DEF	ASK	5	1		98	Ihor Kovalenko	DEF	SID	3	7.2
99	Clayton Caldwell	DEF	CAL	7	1		99	Gonzalo Valbuena	MID	ASK	5	1		99	Artem Tkachenko	MID	SID	3	7.2
100	Jadarian Royce	MID	CAL	7	1		100	Yeray Bengoetxea	MID	ASK	5	1		100	Manh Ton That	DEF	ATK	4	7.2
101	Daigo Takanashi	DEF	NCH	7	1		101	Bernardo Figueira	FWD	ASK	5	1		101	Haydar Şen	FWD	SEL	3	7.2
102	Guillaume Chardon	MID	ARV	7	1		102	Jenaro Salamanca	DEF	AUR	5	1		102	Themistoklis Zervas	MID	AST	4	7.2
103	Claude Lemaitre	MID	ARV	7	1		103	Cayetano Montoya	DEF	AUR	5	1		103	Joan Xirau	MID	ASK	1	7.2
104	Dale Landry	MID	HOL	7	1		104	Efraín Arenas	DEF	AUR	5	1		104	Aristeidis Georgiou	DEF	AST	4	7.2
							105	Juvenal Vera	DEF	AUR	5	1		105	Aatos Väisänen	GK	KAR	5	7.2
							106	Emiliano Luna	MID	AUR	5	1		106	Jakub Dvořák	DEF	ALE	4	7.2
							107	Olegario Pérez	MID	AUR	5	1		107	Junichiro Tarugara	MID	NKI	3	7.2
							108	Kiyoshi Torigoe	MID	NCH	6	1		108	Nathaniel Vitale	DEF	ESU	5	7.2
							109	Hayes Hollis	MID	HOL	6	1		109	Robert Schlösser	FWD	PON	4	7.2
							110	Myron Tsosie	DEF	CAL	7	1		110	Duy Tran	DEF	ATK	4	7.1
							111	Clayton Caldwell	DEF	CAL	7	1		111	Santeri Helkanen	DEF	KAR	5	7.1
							112	Jadarian Royce	MID	CAL	7	1		112	Axel Anderson	MID	ESU	5	7.1
							113	Desmond Benally	MID	CAL	7	1		113	Bernardo Figueira	FWD	ASK	5	7.1
							114	Daigo Takanashi	DEF	NCH	7	1		114	Olegario Pérez	MID	AUR	5	7.1
							115	Gen Fija	DEF	NCH	7	1		115	Suriel Doss	FWD	KMT	3	7.1
							116	Luca Higashiyama	MID	NCH	7	1		116	Emmett Harrison	DEF	CAL	7	7.1
							117	Shin Segawa	DEF	NCH	7	1		117	Alexei Razumovsky	DEF	RUD	4	7.1
							118	Kōzō Fujise	DEF	NCH	7	1		118	Lewis Bardsley	MID	ELV	4	7.1
							119	Makoto Kishima	MID	NCH	7	1		119	Vlasios Nikolaou	DEF	AST	4	7.1
							120	Octave Desjardins	MID	ARV	7	1		120	Dionysios Vlahos	MID	AST	4	7.1
							121	Claude Lemaitre	MID	ARV	7	1		121	Kuzma Zvezdinsky	MID	RUD	4	7.1
							122	Rémi Gauthier	FWD	ARV	7	1		122	Fulgens Tirkey	DEF	ENR	3	7.1
							123	Tomás Uzcátegui	DEF	HOL	7	1		123	Minoru Andō	MID	NKI	3	7.1
							124	Valentín Vivas	MID	HOL	7	1		124	Salvatore Romano	MID	VIC	3	7.1
							125	Emilio Escalona	DEF	HOL	7	1		125	Tanvir Howlader	FWD	NHO	3	7.1
														126	Spencer Chadwick	MID	ELV	3	7.1
														127	Rainer Pietach	DEF	ALE	2	7.1
														128	Owen Ashworth	DEF	ELV	4	7.1
														129	Shin Segawa	DEF	NCH	7	7.1
														130	Octave Desjardins	MID	ARV	7	7.1
														131	Telmo Candeias	MID	ASK	5	7.1
														132	Liam Bopp	DEF	PON	4	7.1
														133	Matvei Popov	DEF	RUD	4	7.1
														134	Diedrich Fassbender	MID	PON	4	7.1
														135	Diego Quintana	DEF	ASK	4	7.1
														136	Panting Jugah	DEF	CAH	3	7.1
														137	Taras Bondarenko	MID	SID	3	7.1
														138	Eemeli Uusitalo	DEF	KAR	5	7.1
														139	Emiliano Luna	MID	AUR	5	7.1
														140	Lingyun Hao	MID	GUA	4	7
														141	Conan Neitzel	MID	PON	4	7
														142	Arcadio Villa	FWD	AUR	5	7
														143	Leon Vogel	FWD	ESU	5	7
														144	Eliezer Bansa	MID	CAH	3	7
														145	Linus Kitingan	DEF	CAH	3	7
														146	Qiushi Zhang	MID	GUA	4	7
														147	Xiang Qian	DEF	FUR	4	7
														148	Sang Pham	MID	ATK	4	7
														149	Hipui Mutang	DEF	CAH	2	7
														150	Hartmut Kinkeldey	MID	PON	3	7
														151	Mingzhe Xiong	DEF	FUR	4	7
														152	Spyridon Lykoudis	DEF	AST	4	7
														153	Sadao Garabin	MID	NKI	1	7
														154	Yang Chen	GK	FUR	4	7
														155	Tilman Zartmann	DEF	PON	4	7
														156	Jedidiah Wanamaker	DEF	PON	4	7
														157	Myron Tsosie	DEF	CAL	7	7
