#	PLAYER	POS	TEAM	GP	G		#	PLAYER	POS	TEAM	GP	A		#	PLAYER	POS	TEAM	GP	RTG		#	PLAYER	POS	TEAM	GP	CC		#	PLAYER	POS	TEAM	GP	DC		#	PLAYER	POS	TEAM	GP	S
1	Sarapamon Nakhtmin	FWD	KMT	4	5		1	Makisig Liwanag	MID	SGD	5	3		1	Nikolaos Papadopoulos	GK	AST	3	8.1		1	Matías Salcedo	FWD	REI	7	23		1	Elliot Farnsworth	DEF	ESU	7	12		1	Maximilian Mollenhauer	GK	PON	7	30
2	Matías Salcedo	FWD	REI	7	5		2	Sixten Karlsson	MID	SKJ	5	3		2	Sepideh Shakibaii	MID	VAR	4	7.9		2	Trent Hawthorne	FWD	ESU	7	20		2	Tadhana Batumbakal	DEF	SGD	5	11		2	Jakub Svoboda	GK	POL	4	20
3	Sudhir Chakraborty	FWD	NHO	5	4		3	Dominic Winslow	FWD	ESU	7	3		3	Ohttola Sillaste	DEF	KAR	3	7.9		3	Yeray Bengoetxea	MID	REI	7	20		3	Khagendra Mitra	DEF	NHO	5	11		3	Massimo Visconti	GK	VIC	4	20
4	Tatsuki Akagawa	FWD	NHO	5	4		4	Gonzalo Valbuena	MID	REI	7	3		4	Comlan Gbanou	GK	VAN	2	7.8		4	Tatsuki Akagawa	FWD	NHO	5	19		4	Filippo Castiglione	DEF	VIC	4	10		4	Nikolaos Papadopoulos	GK	AST	3	19
5	Leon Vogel	FWD	ESU	7	4		5	Augustin Aragonés	FWD	REI	7	3		5	Péter Szabó	MID	TUR	4	7.8		5	Taiga Bashira	FWD	NCH	7	19		5	Kōzō Fujise	DEF	NCH	7	10		5	Arun Pal	GK	NHO	5	19
6	Guowei Sun	FWD	GUA	3	3		6	Matías Salcedo	FWD	REI	7	3		6	Sarapamon Nakhtmin	FWD	KMT	4	7.8		6	Erik Sundqvist	MID	SKJ	5	18		6	Tianyu Gu	MID	FUR	3	9		6	Spencer Jackson	GK	ESU	7	18
7	Karel Černý	FWD	POL	4	3		7	Chenguang Pei	FWD	GUA	3	2		7	Tatsuki Akagawa	FWD	NHO	5	7.7		7	Dominic Winslow	FWD	ESU	7	18		7	Péter Szabó	MID	TUR	4	9		7	Eisuke Sato	GK	NCH	7	18
8	Nándor Mészáros	FWD	TUR	4	3		8	Jerzy Wiśniewski	MID	RUD	3	2		8	Kent Forsberg	MID	SKJ	5	7.7		8	Leon Vogel	FWD	ESU	7	18		8	Gyan Hansda	MID	ENR	4	9		8	Bibhuti Mohapatra	GK	ENR	4	17
9	Puso Kalaw	MID	SGD	5	3		9	Thomas Hargreaves	MID	ELV	3	2		9	Wade Boone	DEF	HOL	3	7.7		9	Kenichi Mitsui	FWD	NCH	7	18		9	Sagip Gatmaitan	DEF	SGD	5	9		9	Janh Nguyen	GK	ATK	3	15
10	Kent Forsberg	MID	SKJ	5	3		10	Odysseas Katsaros	MID	AST	3	2		10	Matías Salcedo	FWD	REI	7	7.7		10	Telmo Candeias	MID	REI	7	18		10	Siavash Mehrian	MID	VAR	5	9		10	Jabulani Dlamini	GK	ASP	4	15
11	Alton Begay	DEF	ESU	7	3		11	Tibor Horváth	MID	POL	4	2		11	Chenguang Pei	FWD	GUA	3	7.6		11	Ashkan Mahdavi	MID	VAR	5	17		11	Anirban Goswami	DEF	NHO	5	9		11	Vahid Lorestani	GK	VAR	5	15
