SEASON	WINNER	RUNNER-UP	SCORE	THIRD
1900	Turulia	Askurias	3-0	Holy Evrian Empire
1902	Holy Evrian Empire	Arverne	3-2 AET	Hollosend
1904	Karjania	Holy Evrian Empire	3-1	Arverne
1906	Elvester	Hollosend	4-0	Arverne
1908	Vicily	Turulia	2-1	Karjania
1910	Holy Evrian Empire	Arverne	1-0	Vicily
1912	Askurias	Karjania	2-0	Holy Evrian Empire
1914	Nichirin	Holy Evrian Empire	1-0	Elvester
1918	Arverne	Calveria	1-0	Karjania
1920	U.S.E.	Elvester	1-0	Hollosend
1922	Hollosend	Arlbern	2-1 AET	Elvester
1924	E.S.U.	Nichirin	1-0	Côte de Saumon
1926	Ponurvia	Vicily	1-0	Askurias
1928	Elvester	Arverne	0-0 AET (3-1 PEN)	Askurias
1930	Nichirin	Karjania	2-0	Arverne
1931	Askurias	Auritania	1-0	Elvester
