PRESET	TEAM	GROUP
1934 World Cup	E.S.U.	A
1934 World Cup	Polabiny	A
1934 World Cup	Guandong	A
1934 World Cup	Neuhollmar	A
1934 World Cup	Rudania	B
1934 World Cup	Seignid	B
1934 World Cup	Barbary	B
1934 World Cup	South Pelagonia	B
1934 World Cup	Karjania	C
1934 World Cup	Vicily	C
1934 World Cup	Aphirica del Nord	C
1934 World Cup	Varahmehr	C
1934 World Cup	Alemannia	D
1934 World Cup	Nichirin	D
1934 World Cup	Mizuho	D
1934 World Cup	Divia	D
1934 World Cup	Elvester	E
1934 World Cup	Furan	E
1934 World Cup	Salishia	E
1934 World Cup	Kemet	E
1934 World Cup	Skjarnland	F
1934 World Cup	East Astriya	F
1934 World Cup	Ponurvia	F
1934 World Cup	Uj-Pannonia	F
1934 World Cup	Turulia	G
1934 World Cup	Tonkin	G
1934 World Cup	Hollosend	G
1934 World Cup	Hōrai	G
1934 World Cup	Askurias	H
1934 World Cup	Giathka	H
1934 World Cup	Auritania	H
1934 World Cup	Noradia	H
1935 World Cup	Nichirin	A
1935 World Cup	Skjarnland	A
1935 World Cup	Neuhollmar	A
1935 World Cup	Ryūgu	A
1935 World Cup	East Astriya	B
1935 World Cup	Livonia	B
1935 World Cup	Giathka	B
1935 World Cup	Mizuho	B
1935 World Cup	E.S.U.	C
1935 World Cup	Karjania	C
1935 World Cup	Cahaya	C
1935 World Cup	El Magreb	C
1935 World Cup	Hollosend	D
1935 World Cup	Cortesia	D
1935 World Cup	Varahmehr	D
1935 World Cup	South Pelagonia	D
1935 World Cup	Arverne	E
1935 World Cup	Ponurvia	E
1935 World Cup	Kemet	E
1935 World Cup	Perovska	E
1935 World Cup	Askurias	F
1935 World Cup	Sidanya	F
1935 World Cup	Hōrai	F
1935 World Cup	Polabiny	F
1935 World Cup	Alemannia	G
1935 World Cup	Auritania	G
1935 World Cup	Selmira	G
1935 World Cup	Kinshū	G
1935 World Cup	Vicily	H
1935 World Cup	Furan	H
1935 World Cup	Shivon	H
1935 World Cup	Barbary	H
