@	#	TEAM	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16	Home	Away	LOCATION	STADIUM / UNIVERSITY	LEAGUE
	AFA	Air Force Goshawks	#DIV/0!																									Shinkeisei (36,955,000)	Sen'ninhara Academy of Aeronautics	All-Nichirin Collegiate Championship
	AOB	Aoba Lumberjacks	#DIV/0!																									Shikisen (1,745,000)	Aoba College	All-Nichirin Collegiate Championship
	DCN	Diocesan Saints	#DIV/0!																									Kōrihama (7,189,000)	Diocesan College of the Northern Mission	All-Nichirin Collegiate Championship
	DPI	Daikei Black Gold	#DIV/0!																									Daikei (2,124,000)	Daikei Petroleum Institute	All-Nichirin Collegiate Championship
	ECH	Echigoya Argosies	#DIV/0!																									Kamabuchi (7,700,000)	Echigoya University	All-Nichirin Collegiate Championship
	HKR	Hakkōran Peacocks	#DIV/0!																									Hakkōran (2,185,000)	Hakkōran College	All-Nichirin Collegiate Championship
	IIU	Itakeyaki Northern Lights	#DIV/0!																									Itakeyaki (2,331,000)	Itakeyaki Imperial University	All-Nichirin Collegiate Championship
	TIU	Imperial Sports Society II	#DIV/0!																									Takarazuka (18,922,000)	Takarazuka Imperial University	All-Nichirin Collegiate Championship
	KNU	Kanagawa Grenadiers	#DIV/0!																									Shinkeisei (36,955,000)	Kanagawa National University	All-Nichirin Collegiate Championship
	KYW	Kyōwa Apothecaries	#DIV/0!																									Naginomiya (25,811,000)	Kyōwa University	All-Nichirin Collegiate Championship
	MET	Metropolitan Caryatids	#DIV/0!																									Shinkeisei (36,955,000)	Metropolitan Academy of Fine Arts	All-Nichirin Collegiate Championship
	MNS	Manshu Carmine Hearth	#DIV/0!																									Mizuhara (8,111,000)	Manshu Institute of Mining and Metallurgy	All-Nichirin Collegiate Championship
	MRN	Meirin Magnetos	#DIV/0!																									Makinohara (2,922,000)	Meirin Institute	All-Nichirin Collegiate Championship
	MZH	Mizuhara Mastiffs	#DIV/0!																									Mizuhara (8,111,000)	University of Mizuhara	All-Nichirin Collegiate Championship
	MZS	Mizushima Leviathans	#DIV/0!																									Ayanami (317,000)	Mizushima College	All-Nichirin Collegiate Championship
	NVY	Navy Bluejackets	#DIV/0!																									Chūkyō (9,512,000)	Chūkyō Naval Academy	All-Nichirin Collegiate Championship
	OTA	Ōtase Threshers	#DIV/0!																									Ōtase (2,468,000)	Ōtase Higher School of Agriculture and Fisheries	All-Nichirin Collegiate Championship
	RYM	Ryūmon Wyrmwind	#DIV/0!																									Harushige (5,491,000)	Ryūmon University	All-Nichirin Collegiate Championship
	SHK	Shinkeisei Herons	#DIV/0!																									Shinkeisei (36,955,000)	University of Shinkeisei	All-Nichirin Collegiate Championship
	SHM	Shimonosaki Scrappers	#DIV/0!																									Shimonosaki (6,467,000)	Shimonosaki University of Technology	All-Nichirin Collegiate Championship
	SHZ	Shizuku Puddlers	#DIV/0!																									Tetsuhachi (1,764,000)	Shizuku University	All-Nichirin Collegiate Championship
	SIU	Seitou Kinshūans	#DIV/0!																									Seitou (5,312,000)	Seitou Imperial University	All-Nichirin Collegiate Championship
	SMM	Sumerajima Windjammers	#DIV/0!																									Sumerajima (1,799,000)	Sumerajima Mercantile Marine College	All-Nichirin Collegiate Championship
	ST	Shinkeisei Tech Giant Hornets	#DIV/0!																									Shinkeisei (36,955,000)	Shinkeisei Polytechnical University	All-Nichirin Collegiate Championship
	SU	Senpan Gargoyles	#DIV/0!																									Shinkeisei (36,955,000)	Senpan University	All-Nichirin Collegiate Championship
	USIC	USIC Cormorants	#DIV/0!																									Izuminone (1,743,000)	University of Serica, Izuminone-Chikuzen	All-Nichirin Collegiate Championship
	USNA	USNA Ironclads	#DIV/0!																									Naginomiya (25,811,000)	University of Serica, Naginomiya	All-Nichirin Collegiate Championship
	UST	UST Kilnmen	#DIV/0!																									Tōhara (4,111,000)	University of Serica, Tōhara	All-Nichirin Collegiate Championship
	UWN	Western Black Grizzlies	#DIV/0!																									Satsuno (2,646,000)	University of Western Nichirin	All-Nichirin Collegiate Championship
	WAR	War College Sabres	#DIV/0!																									Shinkeisei (36,955,000)	War College	All-Nichirin Collegiate Championship
	AMP	Amarapura Mendicants	#DIV/0!																									Hinatachi (416,000)	Amarapura Mahavihara	All-Nichirin Collegiate Championship
	HSH	Hoshizuru Stargazers	#DIV/0!																									Tōgen (646,000)	Hoshizuru Astrological Institute	All-Nichirin Collegiate Championship
