@	#	NATION	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	SUB #1	SUB #2	SUB #3	SUB #4	SUB #5	SUB #6	SUB #7	SUB #8	SUB #9	SUB #10	SUB #11	HOME	AWAY	LOCATION	STADIUM	CONFERENCE
	ALE	Alemannia	84.1	Vertical Tiki-Taka	4-3-3	Never	Short	Offside Trap	(84) Sascha WETZEL	(88) Matthias NOACK	(84) Florian GRUBER	(89) Joris VAN ANTWERP	(84) Vojtěch NOVOTNÝ	(82) Arthur KOHLBERG	(91) Gijs DREESENS	(87) Tomáš SVOBODA	(84) Jakub DVOŘÁK	(83) Jorrit BLANKENBURG	(92) Florian VAN CAN	(83) Thor ANDRESEN	(86) Klaus BERNHARD	(82) Chris WEIMANN	(81) Manfred FRANKENSTEIN	(81) Pirmin FALK	(81) Lucas JESPERSEN	(86) Stijn BOELENS	(81) Ondřej ČERNÝ	(81) Ime PAULSEN	(83) Petr PROCHÁZKA	(81) Ole TOFT	(81) Fabian KNEF	#2f3237	#e8e8e8	Berelstein	Alemannisches Erdstadion (92,000)	Eastern
	ESU	E.S.U.	83.9	Gegenpress	3-4-3	Never	Short	Step Up	(84) Damon VAN DER BILT	(82) Spencer JACKSON	(87) Elliot FARNSWORTH	(86) Alton BEGAY	(84) Brock FAIRWEATHER	(84) Conrad BAUER	(90) Jadarian ROYCE	(85) Rocco DE LUCA	(83) Silvio CARUSO	(93) Trent HAWTHORNE	(86) Dominic WINSLOW	(88) Leon VOGEL	(79) Parker TURNER	(84) Nathaniel VITALE	(83) Clayton CALDWELL	(83) Wyatt BRADFORD	(79) Alden MADDOX	(80) Vito MORETTI	(80) Felix HOFFMAN	(83) Kendrick NAKAI	(85) Horace PESHLAKAI	(82) Peter SELHORST	(80) Raleigh PRESTON	#000000	#f5f5f5	Axiom	Trekker Stadium (98,000)	Western
	NCH	Nichirin	83.9	Vertical Tiki-Taka	4-1-4-1	Never	No Instruction	No Instruction	(85) Josué ALFERINHO [ASK]	(84) Eisuke SATO	(89) Kōzō FUJISE	(84) Gen FIJA	(83) Genma NISHIGAWA	(84) Kazuyoshi HIRANUMA	(83) Makoto KISHIMA	(82) Hiro OSHIRO	(88) Rui ŌE	(91) Luca HIGASHIYAMA	(88) Shō ITOSHI	(88) Ganzorig ERDENE	(83) Akihisa KUBO	(82) Naoto UMENOKŌJI	(83) Daigo TAKANASHI	(81) Aonuma JINGŪJI	(81) Takamasa HIDA	(81) Ikki DAZAI	(85) Kiyoshi TORIGOE	(82) Takeru MIKADO	(79) Daichi KOMATSUBARA	(81) Gaku IBUSUKI	(83) Hiromu FURUHASHI	#0b1134	#d3e4fc	Mizuhara	Tadamune Kuronami National Stadium (105,000)	Eastern
	ARV	Arverne	83.5	Second Ball	4-2-3-1	Never	Short	Step Up	(81) Kiyoshi TATARA [NCH]	(86) Fabien BLANCHET	(88) Émile D'ARTAGNAN	(89) Hugo SAINT-LAURENT	(88) Mattieu DONNADIEU	(80) Philippe TAILLARDAT	(86) Jean-Pierre SUSILOVIC	(81) Antoine BAGRADIAN	(92) Octave DESJARDINS	(85) Guillaume MAISON	(84) Constantin REVERDIN	(87) Rémi GAUTHIER	(83) Ludovic MERCADIER	(80) Théo LACHAPELLE	(81) Arséne LA FROMBOISE	(80) Nicolas BELLAMY	(83) Claude LEMAITRE	(81) Baptiste ROUX	(79) Léandre POCHARD	(80) Ferdinand DUMAS	(80) Dorian ROUSSEL	(79) Félicien COUTURE	(84) Hervé THIBODEAU	#17548C	#434343	Lutèce	Parc d'Arverne (82,000)	Western
	ASK	Askurias	83.2	Tiki-Taka	4-3-3	Sometimes	Short	Step Up	(84) Balthazar BARRIENTOS [REI]	(88) Xavier CIENFUEGOS	(87) Ismael MENÉNDEZ	(88) Oriol MONTAGUT	(87) Ibai URRUTIA	(80) Izan SANTANDER	(92) Gonzalo VALBUENA	(86) Íker OLABARRÍA	(85) Yeray BENGOETXEA	(85) Pau PUIGCORBÉ	(84) Matías SALCEDO	(81) Augustin ARAGONÉS	(75) Unai IZAGIRRE	(82) Francisco ALAMEDA	(81) Angel CASTEJÓN	(81) Valentin PEIXOTO	(80) Joan XIRAU	(83) Telmo CANDEIAS	(83) Nuno GOUVEIA	(83) Anselmo CARRANZA	(78) Baldomero QUINTANA	(81) Nélson FERREIRA	(81) Jesus HALCONERO	#251a2e	#e8a100	Ciudad de Aurora	Estadio de La Peineta (60,000)	Western
	HOL	Hollosend	81.1	La Nuestra	4-2-3-1	Never	Long	No Instruction	(81) John HOLLOSEND	(83) Callum CALHOUN	(87) Tomás UZCÁTEGUI	(83) Wade BOONE	(83) Leonardo URDANETA	(76) Arturo MORGADO	(83) Earl TOMLINSON	(81) Kemar BROWNER	(90) Kamron CHANCELLOR	(87) Ricardo SHERMAN	(82) Walter THURMUND III	(88) Simón ARISMENDI	(80) Rhett VANCE	(79) Emilio ESCALONA	(78) Alvaro VALDOVINOS	(78) Cristian URDANETA	(75) Reuben MENDOZA	(82) Dale LANDRY	(80) Ambrose PICKETT	(79) James FERUCCIO	(76) Alvaro SMALL	(75) Sander VANDEVELDE	(80) Fabián MACHADO	#b22335	#003087	Delvin	Delvin Royal Stadium (85,000)	Western
	ELV	Elvester	80.9	Wing Play	4-2-3-1	Sometimes	Long	Drop Off	(81) Godfrey TUDOR	(84) Jordan STANFORD	(80) James SMITH	(83) Wesley WETHERBY	(80) Emrys LOCKWOOD	(77) Callum DAVIES	(83) Thomas HARGREAVES	(80) Gunner CANNON	(89) Lewis BARDSLEY	(83) Spencer CHADWICK	(80) Ezequiel MULHOLLAND	(87) Harry CAINE	(79) Jake THORNTON	(78) Warren MARSHALL	(79) Curtis HAVERSHAM	(79) Rory KINCARDINE	(79) Philip MCDONALD	(81) Arthur WHITMORE	(78) Louis WEARDALE	(80) Kieran FROST	(80) Harvey PAYNE	(78) Nathan BASS	(82) Arnold BJARNFREÐSSON	#591c79	#c0c0c0	Dunmaris	Empire Stadium (90,000)	Eastern
	KAR	Karjania	80.9	Gegenpress	4-3-3	Never	Short	No Instruction	(80) Vilhelm APPELGREN [SKJ]	(83) Aleksi JÄRVELÄINEN	(80) Began ANDERSEN	(84) Konsta YRJÖLÄ	(81) Ohttola SILLASTE	(79) Paavo SEPPÄLÄ	(88) Kasper KALJURAND	(84) Jaan SOOSAAR	(80) Lauri PURVALAINEN	(81) Kuismaa KIVISILD	(85) Tim PUKKI	(78) Voptá HENDÁ	(82) Erik AALTO	(78) Kalle RÄIKKÖNEN	(80) Santteri YLIKANGAS	(80) Oskari PAANALAINEN	(78) Eski RUUDANEN	(80) Iilmari TORJALASTEN	(80) Litto TULP	(80) Kökta SAARE	(79) Teppo ESTINEN	(80) Roððo DUONGI	(79) Salteni PÖYHÖNEN	#ffffff	#013080	Pietari	Punainen Areena (48,000)	Eastern
	VIC	Vicily	80.6	Catenaccio	5-3-2	Never	Short	Offside Trap	(81) Durante ALIGHIERI	(85) Massimo VISCONTI	(82) Lorenzo SQUILLACI	(87) Filippo CASTIGLIONE	(82) Attila D'AMBROSI	(81) Andrea FERRARI	(82) Domenico VIVALDI	(86) Valentino ZACCAGNI	(84) Marcello LA BARCA	(78) Martino MARRESE	(86) Raffaele LUCCHESE	(77) Cosimo COLOMBO	(79) Palmiro CONTINI	(79) Danilo DELLA ROCCA	(80) Dario MORETTI	(79) Vittorio FERRARA	(79) Giacomo RUSSO	(79) Valente PANTUSO	(79) Federico CARDINALE	(77) Corrado MONTANARI	(77) Emilio BIANCHI	(78) Umberto BELLARMINO	(77) Ottavio SCARLATTI	#999208	#0d47a1	Trinacria	Stadio Nazionale di Vittorio IV (70,000)	Western
	SKJ	Skjarnland	80.2	Route One	4-4-2	Never	Short	Offside Trap	(79) Johannes LÖWE [ALE]	(83) Magnus ANDERSSON	(85) Kenneth HAUGLAND	(85) Olof SJÖBERG	(84) Olander STRANDBERG	(80) Gustav GYLLENHAAL	(81) Erik SUNDQVIST	(86) Victor TVEDT	(81) Sixten KARLSSON	(80) Kent FORSBERG	(86) Hjalmar LINDSTRÖM	(79) Jens GEIRSSON	(78) Rikard STORGÅRD	(76) Artur MORGENSSON	(78) Haraldur ÓLAFSSON	(77) Ludvig JOHANSSON	(77) Emil HANSEN	(78) Torbjørn KVAMME	(78) Lennart SOMMAR	(78) Daniel LINDÉN	(77) Halvard SYVERTSEN	(79) Oseas MATTSSON	(78) Henrik KRISTIANSON	#003159	#ffd700	Hävnia	Hävnia Idrottspark (38,000)	Eastern
