@	#	TEAM	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16	Home	Away	LOCATION	STADIUM	LEAGUE
	OT	Olimpia Trinacria	80.9	Gegenpress	3-5-2	Never	Short	Step Up	(84) Damon VAN DER BILT [ESU]	(82) Spencer JACKSON [ESU]	(78) Tiziano RICCI	(87) Elliot FARNSWORTH [ESU]	(80) Reinhold KÄSTNER [ALE]	(86) Alton BEGAY [ESU]	(78) Chester STRICKLAND [ESU]	(85) Guillaume MAISON [ARV]	(85) Rocco DE LUCA [ESU]	(83) Claude LEMAITRE [ARV]	(86) Hjalmar LINDSTRÖM [SKJ]	(82) Wilhelm GIESEL [PON]	(75) Ludovico SPADA	(79) Vittorio FERRARA	(77) Corrado MONTANARI	(76) Ercole PAGANO	(76) Goffredo RUGGERI	#001a7b	#000080	Trinacria	Stadio Nazionale di Vittorio IV (70,000)	Divisione Prima Viciliana
	INT	Inter Mantova	78.6	Catenaccio	3-5-2	Sometimes	Short	Step Up	(81) Durante ALIGHIERI	(82) Rafael ROSARIO [AUR]	(82) Jenaro SALAMANCA [AUR]	(78) Dean BOONE [ELV]	(80) Tatsuhiko ŌMAGARI [NCH]	(82) Sofiane MANSOURI [ABB]	(78) Esteban PALOMER [ARV]	(80) Vito MORETTI [ESU]	(78) Emiliano LUNA [AUR]	(79) Traugott REINHARDT [ALE]	(86) Dominic WINSLOW [ESU]	(77) Emil LEHNER [ALE]	(78) Tancredi MARINI	(74) Jack KERSHAW [ELV]	(74) Rafferty TINSLEY [ELV]	(74) Ettore LONGOBARDI	(75) Donovan CENTURIONE	#062e6c	#febd02	Mantova	Ippodromo de Mantova (58,000)	Divisione Prima Viciliana
	LA	Legio Augusta	77.9	Zona Mista	5-3-2	Never	Short	No Instruction	(80) Gennaro POLIZIANO	(80) Palmiro CONTINI	(75) Nathanael CUSTER [PON]	(75) Ali MACALIPAY [SGD]	(77) Myron TSOSIE [ESU]	(78) Anatole BEAUREGARD [ARV]	(82) Anselmo CARRANZA [ASK]	(84) Lakhdar HAMIDI [ADV]	(80) Diethelm WEIDENBACH [ALE]	(77) Pisenti RAMOSE [KMT]	(77) Kannan KURUP [CAH]	(79) Wendell ABERNATHY [ESU]	(76) Fulvio VENTIMIGLIA	(76) Cesare CASTALDO	(76) Gaspare TORLONIA	(76) Amleto BRACCIOLINI	(78) Sylvain COURVOISIER [ARV]	#7e0934	#f7b41f	Neapolis	Stadio Centurion (48,000)	Divisione Prima Viciliana
	AGL	Astragalatiákos FC	75.3	Route One	4-4-2	Sometimes	Long	Drop Off	(76) Themistoklis VRETTOS	(76) Janh NGUYEN [ATK]	(75) Voltaire SALONGA [SGD]	(76) Aristeidis GEORGIOU	(79) Thibault ROCHEFORT [ARV]	(74) Anastasios FOTOPOULOS	(82) Gerhart STROMEYER [ALE]	(73) Prokopis KARAGIANNIS	(78) Clayton LANGSTON [ESU]	(77) Pyrros DIMITRAKOPOULOS	(74) Iraklis CHRISTODOULOU	(78) Masaharu ONODERA [NCH]	(71) Yerasimos ATHANASIADIS	(74) Leonidas STAMATIOU	(73) Vlasios NIKOLAOU	(72) Spyridon LYKOUDIS	(72) Charalambos ANGELOPOULOS	#fdcb00	#000000	Aspadana	Stadium of the Ecumenical Patriarch (56,000)	East Astriya
	YNC	Yeniçeri Azmaşir	76.1	Wing Play	3-4-3	Never	Short	Step Up	(77) Cemal ALTINTAŞ	(77) Raka WIJAYA [CAH]	(78) Orville EASTERBROOK [ESU]	(81) Hartmut SCHACHTNER [ALE]	(73) Rizgar BOZKURT	(75) Cyprian REGENT [SAL]	(78) Aurélien VILLEFRANCHE [ARV]	(74) Zeki NARİN	(73) Onur TEKELİ	(77) Yoshinori MIZOGUCHI [NCH]	(82) Adalbert BRANDHOFER [ALE]	(75) Berat ÇANKAYA	(76) Yang CHEN [FUR]	(75) Kutay BULUT	(72) Emre YILDIRIM	(76) Hiraya HALILI [SGD]	(76) Alistair FAIRWEATHER [ELV]	#000000	#e00c18	Azmashir	Dut Parkı (55,000)	Selmira
	CSG	CSKA Groscown	73.0	Counter	4-1-4-1	Sometimes	Long	Drop Off	(73) Ostap SKORYK	(74) Evgeny KARPOV [PER]	(78) Aurèle MONTFAUCON [ARV]	(72) Yaroslav KRYVONIS	(73) Czesław DOMAGAŁA [COR]	(71) Ostap HRYTSENKO	(72) Ural YUSUPOV [GIA]	(75) Timur ISKANDEROV [GIA]	(73) Pavlo DOVZHENKO	(78) Emmett PRENDERGAST [ESU]	(73) Gleb VORONTSOV [GIA]	(81) Karel ČERNÝ [POL]	(70) Jakub SVOBODA [POL]	(71) Přemysl KRATOCHVÍL [POL]	(71) Radim VOHÁNKA [POL]	(69) Aleš NEJEZCHLEB [POL]	(67) Zbigniew MAZURKIEWICZ [COR]	#ea0061	#FFFFFF	Groscown	Respublikanski Stadion (46,000)	Sidanya
	ECH	FK Eichenhain	71.9	Cholismo	4-3-2-1	Constantly	Long	Drop Off	(73) Alfons UEXKÜLL	(74) Kerem JANABI [ADV]	(77) Hartwig VON BUXHOEVEDEN	(73) Ernst TIESENHAUSEN	(67) Gottfried VIETINGHOFF	(70) Kaspars VAITKUS	(73) Heinrich STACKELBERG	(73) Mindaugas PAULAUSKAS	(75) Volkmar SCHACHTLEITNER [ALE]	(71) Delbert LANGHORNE [ESU]	(78) Valdemārs LIEPIŅŠ	(70) Paulus SCHMIDT	(70) Hawraz RASHIDI [ADV]	(70) Justus HERMANN	(70) Otto MANTEUFFEL	(70) Egbert LÖWIS	(69) Woldemar WRANGELL	#0a502b	#FFFFFF	Kovno	Immergrünstadion (20,000)	Livonia
	BNG	Beining Zhonghang	70.3	Second Ball	4-1-2-1-2	Sometimes	Long	Step Up	(71) Weiming RAO	(79) Renzo AGBAYANI [SGD]	(71) Zhihao TANG	(70) Feng JI	(71) Yanbo MA	(71) Haoyu SHI	(68) Weilin FU	(70) Junjie XU	(72) Bo YAN	(70) Ziqiang BAO	(79) Zemin MAO [FUR]	(80) Catmon NACPIL [SGD]	(73) Zixuan WANG	(65) Chenglei ZHOU	(62) Jianhong LIN	(62) Ruifeng HUANG	(61) Anmin PAN	#098b49	#fdda00	Beining	Dadu Olympic Stadium (89,000)	Guandong
	CSR	CSKA Radagorsk	74.3	Gegenpress	3-4-3	Never	Long	Step Up	(74) Arseny STROGANOV	(89) Oleksandr SHEVCHENKO [SID]	(77) Vsevolod KRESTOVSKY [RUD]	(74) Ihor KOVALENKO [SID]	(77) Alexei RAZUMOVSKY	(72) Mykola HOLOBORODKO [SID]	(76) Namsarai AYUSHEEV	(77) Danylo PEREBYINIS [SID]	(84) Ilya MOROZOV [GIA]	(70) Klym VERNYDUB [SID]	(67) Vilém ZLATOHLAVÝ [POL]	(70) Levko CHORNOVIL [SID]	(73) Nikolai KAMENETSKY [RUD]	(71) Lev ZHDANOV [RUD]	(71) Pavel TSVETKOV [RUD]	(70) Fyodor KORSAKOV [RUD]	(71) Egor GORYUNOV [RUD]	#CC2128	#003366	Radagorsk	Arena CSKA (80,000)	Rudanian First League
	UKA	Uralmash Kamengrad	72.4	Counter	4-4-2	Sometimes	Long	Drop Off	(73) Rodion ROSTISLAVOVICH	(84) Ivan DOLGORUKIY	(73) Vasyl NALYVAIKO [SID]	(71) Dmitry BELOV [GIA]	(73) Fyodor CHISTYAKOV	(67) Anton ORLOV [GIA]	(75) Lavr VRONSKY	(70) Tymon DZIEDZIC	(77) Boris VINOGRADOV [GIA]	(71) Tibor HORVÁTH [POL]	(74) Osip YUDIN	(78) Valery POLYAKOV [GIA]	(70) Oleg CHERNOV [RUD]	(69) Ivan SITNIKOV [RUD]	(68) Grigory LOGINOV [RUD]	(68) Evgeny PLETNEV [RUD]	(70) Béla VASS [RUD]	#FF6600	#000000	Kamengrad	Kamaletdin Agafurov Stadium (30,000)	Rudanian First League
