@	#	TEAM	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16	HOME	AWAY	LOCATION	STADIUM	LEAGUE
	HAV	IF Hävnia	75.4	Gegenpress	4-3-3	Never	Short	Offside Trap	(80) Vilhelm APPELGREN	(77) Nils NYQUIST	(77) Ludvig JOHANSSON	(78) Iisakki SAARIKOSKI [KAR]	(76) Anton WESTERBERG	(74) Carlos LÓPEZ [ASK]	(75) Poul BRODERSEN	(80) Kent FORSBERG	(86) Victor TVEDT	(75) Uwe SCHNEIDER [ALE]	(79) Jens GEIRSSON	(76) Eetu LEHTINEN [KAR]	(71) Nils ÖSTLUND	(69) Wojciech BORUCKI [COR]	(76) Sven EMILSSON	(67) Folke LINDROS	(70) Arvid WETTERGREN	#cc0000	#f3f3f3	Hävnia	Hävnia Idrottspark (36,200)	Allskyärnskan
	MLM	IK Malmhug	75.1	Gegenpress	4-3-3	Never	Short	Step Up	(78) Johan HVIT	(73) Simon PERSSON	(76) Artur MORGENSSON	(79) Wilhelm WILHELMSON [ALE]	(78) Haraldur ÓLAFSSON	(80) Gustav GYLLENHAAL	(78) Lennart SOMMAR	(72) Jan MORSZTYN [COR]	(78) Daniel LINDÉN	(76) Leo STRAUSS [ALE]	(79) Karl SCHMIDT [ALE]	(79) Oseas MATTSSON	(72) Jakob MARSSTEIN	(67) Leif JONSSON	(73) Set TÖRNGREN	(69) Långberg RIKARDSSON	(72) Neil DIKE [HOL]	#4285f4	#45818e	Malmhug	Gamlastadion (31,000)	Allskyärnskan
	OTR	Östra IF	74.1	Route One	4-2-4	Never	No Instruction	No Instruction	(75) Mikael RYTTARE	(78) Rikard STORGÅRD	(76) Sten HVIT	(79) Philip MCDONALD [ELV]	(74) Eeriks UĐĐI	(74) Johan STILLE	(75) Fredrik BUSCK	(73) Sten HERDIN	(77) Emrik HALVORSEN	(75) Vilgot ROOS	(76) Alfred VARDE	(77) Torvald SKOGSBERG	(73) Mikael TOFT	(68) Frans KLINTBERG	(70) Sigurd FILIPSSON	(69) Kjell DAVIDSSON	(72) Staffan HAGE	#38761d	#b6d7a8	Östra	Östersundbron (28,500)	Allskyärnskan
	VAT	Vätterna FF	74.0	Vertical Tiki-Taka	4-3-2-1	Sometimes	Short	Step Up	(79) Jakob WEBER [ALE]	(76) Valter STUBBE	(78) Knut EISENBERG [ALE]	(75) Valter HAGBERG	(73) François DUCREUX [ARV]	(75) Vilhelm ANDERSSON	(75) Jakob DAVIDSEN	(81) Erik SUNDQVIST	(74) David SCOTT [ESU]	(76) Rolf SVEGÅRDH	(76) Tomas STADLING	(76) Johan UNG	(73) Kiromasa KUROKI [NCH]	(66) Nils ARMSTARK	(73) Edvin ALDRIN	(66) Mikael VALBERG	(71) Karl KONRAD	#7312b2	#fbcc02	Vätterna	Vätterna Idrottsanläggning (24,000)	Allskyärnskan
	GUR	IS Gurtheden	73.6	Control Possession	4-2-3-1	Never	No Instruction	No Instruction	(71) Bengt TÖRNE	(78) Arno COSTER [ALE]	(73) Edvard BOLANDER	(74) László GAZDA [TUR]	(73) Teemu KARJALAINEN [KAR]	(74) Göran STAFFANSSON	(75) Sixten VALLGREN	(76) Tomas PALMGREN	(76) Dag SLÄTTENGREN	(76) Albin LUNDQVIST	(75) Jonas STAFFANSSON	(78) Mitch DALES [HOL]	(69) David ASPLUND	(67) Lorenzo DI VILLARDO [VIC]	(71) Valdemar VON BRÖMSEN	(71) Győző KOLOZS [TUR]	(72) Bertil STRÖMBERG	#e6172f	#252222	Guthreden	Karlingstadion (17,500)	Allskyärnskan
	KJB	Kjellberg BK	73.3	Park The Bus	5-3-2	Sometimes	Short	Drop Off	(75) Rangvald REHNSTRÖM	(73) Ragnar GILBERTSSON	(74) Sture MOSSGREN	(73) Birger KANDLÖF	(75) Mikael KOTTE	(75) Bengt BOKVIST	(74) Staffan HOLLÉN	(75) Stellan HJORTH	(76) Frans KJELLMAN	(76) Markus LEJD	(77) Rikard KOVÉN	(77) Gunnar GÅRDMAN	(72) Jesper ROOS	(66) Jean BLANCHE [ARV]	(74) Karl BOLDIN	(66) Knut BOSTRÖM	(70) Kurt BRUN	#003159	#ffd700	Kjellberg	Kung Johan III Stadion (22,700)	Allskyärnskan
	JYL	Jylland FF	72.9	Vertical Tiki-Taka	4-3-3	Constantly	No Instruction	Step Up	(73) Hugo STOR	(77) Rikard VINTER	(73) Ludvig NICOLAISEN	(75) Ragnvald SPJUT	(75) Kåre LINDBY	(75) Dyre MOLLBERG	(76) Lennart KAMPE	(74) Vilhelm GRANATH	(73) Josef GUDFREDSSON	(78) Frans BINDESBØLL	(74) Jørgen LYKKE	(77) Joar BERGLUND	(70) Dan RASMUSSEN	(68) David VALGREN	(67) Torvald HOLMBERG	(69) Folke TALLBERG	(66) Edvard HAVSUND	#e0f6f7	#0944d9	Århaus	Danyria Idrottspark (17,400)	Allskyärnskan
	SDM	Södermalm IK	72.7	Balanced	4-3-3	Never	Short	Offside Trap	(76) Abel TORGERSSON	(77) Rikard LÄCK	(75) Eugen SLÄGGA	(74) Johan BASTLUND	(74) Sigfrid FILIPSSON	(75) Mårten SKJÖLD	(76) Vilhelm SMED	(76) Ragnar BORGBERG	(73) Anders HALFDANSSON	(72) Jakub MODELSKI [COR]	(77) Ludvig BRANTMAN	(73) Lars JØRGENSEN	(71) Bror LEJDEN	(67) Hugo KORP	(70) Vilgot RENNER	(64) Karl TÅNGBERG	(69) Ragnvald GILLISSON	#98590e	#eaeaea	Strålholm	Skyärniastadion (25,000)	Allskyärnskan
	AVK	Älvskrona IF	72.3	Wing Play	4-3-3	Never	Long	Offside Trap	(72) Peter PETERSSON	(72) Malte FELLMAN	(74) Frans PERSSON	(72) Jakob PÅHLSSON	(74) Sakarias SKRÄDDAR	(77) Emil HANSEN	(73) Greger KLINTBERG	(74) Benjamin HARRYSSON	(73) Vilhelm HENRIKSSON	(75) Jeppe GÄRDESTAD	(76) Valdemar HÅRD	(75) Karl KIHLSTEDT	(71) Johan TEGELBERG	(67) Mårten BURE	(68) Jørgen BØGEBJERG	(66) Gerhard VADSTRÖM	(70) Torsten ARTURSSON	#ff8a00	#545147	Älvskrona	Falken-Kopping Arena (15,000)	Allskyärnskan
	OHM	IF Österhamn	72.1	Vertical Tiki-Taka	4-3-3	Sometimes	Short	Step Up	(74) Jan MODIG	(75) Jakob MÅNSSON	(70) Anders JAKOBSSON	(74) Andreas JONSSON	(72) Ulrik GRANATH	(74) Vilgot LINDQVIST	(75) Vidar VILLERSSON	(73) Holger HUFVUDSSON	(76) Lennart JANSSON	(73) Rikard NILSSON	(76) Jon KÄRRMAN	(72) Ragnvald RYBERG	(71) David JÄRNHAMMARE	(70) Harald TROFAST	(68) Tomas IVARSSON	(66) Jens MATTISSON	(69) Göran VASSBERG	#08b51e	#cd1717	Österhamn	IFO Stadion (10,200)	Allskyärnskan
	SDG	FF Sundberg	71.8	Control Possession	3-4-3	Never	Long	Offside Trap	(71) Anton LEJONBERG	(77) Fredrik RASMUSSON	(72) Vilhelm BENTIN	(70) Johan STURE	(75) August FRIMODIG	(71) Karl WESTERLUND	(74) Trygve ØDEGAARD	(72) Vilgot PIHL	(73) Henrik ÅDAHL	(72) Robert JONSSON	(76) Göran HOLMQVIST	(73) Arvid ROSENGREN	(71) Henrik BANNER	(68) Bror LINDQVIST	(67) Albin DAHL	(68) Frans NORD	(70) Sigfrid KLINGA	#1c09bc	#e6ce07	Sundberg	Sundbergspark (13,500)	Allskyärnskan
	RGD	IK Rosengården	71.5	Balanced	4-3-3	Sometimes	Short	Offside Trap	(75) Johan GAMMELGÅRD	(75) Harry CRAWFORD [ELV]	(72) Gösta BERGGREN	(75) Sven-Olof LUNDIN	(75) Folke SÖDERBERG	(71) Asbjørn HALVORSEN	(74) Bertil NYSTRÖM	(76) Oddmund MYHRE	(76) Stig HOLMBERG	(74) Kåre INGEBRETSEN	(73) Leif AASHEIM	(70) Erling SOLHEIM	(68) Kolbjørn BIRKELAND	(69) Reidar OLAUSEN	(67) Sverre HANSEN	(64) Joachim STEINER [ALE]	(65) Bjarne GULBRANDSEN	#ba0c2f	#00205b	Hävnia	Vikingslya (14,600)	Allskyärnskan
	EYB	IFK Eyrborg	71.2	Second Ball	4-4-2	Never	Short	Step Up	(73) Cornelius TRUMSLAGARE	(76) Allan SJÖBERG	(70) Valdemar CRONA	(70) Yngve HELLSTRÖM	(72) Mauritz FORSMAN	(69) Gunnar ÅKERHIELM	(71) Knut LINDGREN	(72) Set CEDERSHIÖLD	(73) Halvar MATTSSON	(75) Gillis STORM	(74) Uno SVENSSON	(76) Harald NILSSON	(71) Erland FALK	(69) Bror RASK	(66) Eigil THIELSEN	(67) Henning BJERRE	(68) Eskil JERN	#0cd082	#19aec1	Eyrborg	Oppsalarena (21,300)	Allskyärnskan
	KFJ	Kirfjord FK	70.8	Wing Play	4-3-3	Constantly	No Instruction	Step Up	(69) Kristian HÅKANSSON	(73) Bernhard BERGGREN	(68) Dag MAGNUSSEN	(71) Jóhann SIGFÚSSON	(74) Torsten NYMAN	(68) Artur TJERBO	(72) Harald ALEXANDERSSEN	(77) Jesper OLSEN	(69) Vilhelm SMAL	(74) Jørgen PANSAR	(75) Markus KLERCK	(69) Allan BEKKEVOLD	(71) Mattias RYDKVIST	(66) Hugo DUNDER	(70) Carl VALLMAN	(66) Ludvig BATTENBERG	(70) David JÄRNSMED	#e3e9ef	#00c9ff	Kirfjord	Isbjörnshåla (18,500)	Allskyärnskan
	TGV	Tingvalla BK	70.8	Counter	4-4-2	Never	Long	Drop Off	(67) Knut VÄVARGREN	(70) Mogens OVERGAARD	(71) Folke MELIN	(71) Rune ENGDAHL	(72) Harald OLOFSSON	(72) Kaj ULDALER	(75) Sigvard KRUT	(73) Torleif MOEN	(72) Erland LANTZ	(74) Bertil ÖSTERMAN	(76) Evert LINDBLAD	(73) Algot TAUBE	(68) Klas FRISK	(64) Valfrid BORGSTRÖM	(69) Gunnar VAHLBERG	(64) Ernst GUSTAFSSON	(69) Halvar ARVIDSSON	#eae204	#e53d3d	Tingvalla	Erikslandstadion (14,000)	Allskyärnskan
	GFB	IS Gustafsberg	70.0	Counter	4-3-3	Never	Short	Offside Trap	(70) Harald OLOFSSON	(75) Göran MATTSSON	(68) Henrik ARNLUND	(70) Ernst KUNG	(72) Ragnar SPARRE	(69) Vilgot HALL	(74) Allan PLÅT	(70) Knut HEDIN	(71) Lukas TROSS	(77) Lars COLLIN	(71) Tore ALIN	(70) Melker SKRÄDDARE	(69) Artur HARMS	(66) Mauritz DALMAN	(67) Bror HURTIG	(67) Rikard KONRADSSON	(64) Odd VINGÅRD	#0aa3b3	#5b88cb	Strålholm	Gustafsbergstadion (8,000)	Allskyärnskan
