@	#	TEAM	OVR	PLAYSTYLE	FORMATION	TIME WASTING	GK PASSING	DL BEHAVIOR	MANAGER	#1	#2	#3	#4	#5	#6	#7	#8	#9	#10	#11	#12	#13	#14	#15	#16	Home	Away	LOCATION	STADIUM	LEAGUE
	KDH	Kisdunavári Honvéd	72.3	Control Possession	4-3-3	Never	Long	Step Up	(72) Peter GENOSA	(74) Zsigmond FEKETE	(74) Norbert FEJES	(73) Ármin GYENES	(72) Dénes PÁKOZDY	(71) László MÓRICZ	(76) Elemér LAKÓCZY	(75) Benedek ARANY	(73) Gáspár SLATTICS	(74) Gergely VÁNDOR	(73) Kristóf TALAJOS	(72) László CSIKÓS	(70) Miklós TÓTH	(69) Alex SÁRKÁNYDI	(71) Ottó TAVASY	(71) Csaba BÉKÉS	(69) Roland DEMJÉN	#B00C0C	#000000	Szerencsehely	Honvéd Stadion (33,000)	Turulországi Felsőliga
	DTK	Dunavárosi TK	71.5	Gegenpress	4-4-2	Sometimes	Long	Drop Off	(71) Ferencz SZEGES	(73) Dávid PATAKY	(72) Áron PAPP	(73) Miklós SZLITLÁN	(72) Sándor TELEKI	(68) Lukács RÓZSA	(74) György ERDŐS	(75) Zsombor NYITRÁV	(72) Lőrincz ORBÁN	(72) Koppány TÁLCÁSY	(75) Zsolt VADÁSZ	(73) Johannn BAUMGARTNER [ALE]	(68) Konrád NEMES	(66) Csongor PÁSZTOR	(69) Milán SZENTESY	(70) Ádám KISS	(72) Nimród SOMOGYI	#109436	#000000	Szerencsehely	Vasvári Aréna (25,000)	Turulországi Felsőliga
	TTK	TTK Szerencsehely	70.7	Wing Play	4-3-3	Never	Short	Offside Trap	(71) József FÁSY	(73) Ferencz TÓTH	(71) Attila KOVÁCS	(72) János JUHÁSZ	(70) Péter MÁKOS	(67) Ákos TANYASI	(73) Lajos NAGY	(73) Ernő KONCZ	(70) Árpád GULYÁS	(75) Tibor ALMÁSI	(76) István MAGVASI	(72) Flórián LOSONCZY	(68) Károly PATAKOS	(66) Márton MÉSZÁROS	(68) Márk TAPOLCZAI	(68) Dominik DÉLVÖLGYI	(69) Valter FEHÉR	#0F1FBA	#FFFFFF	Szerencsehely	Parlament Utcai Stadion (21,000)	Turulországi Felsőliga
	UKH	Újkeleti Hajós SK	69.6	Tiki-Taka	4-1-2-1-2	Sometimes	Long	No Instruction	(70) Nándor NAGYVÁRADI	(71) Rajmond KONDÁCS	(70) Dániel ALMÁDY	(69) Marczell SZATMÁRI	(68) Henrik SZŰCS	(67) Lajos SZALAY	(75) Kornél SÓS	(73) Zoltán NAGYFALVI	(72) Tamás INDÁSY	(71) Balázs BARÁTH	(70) Béla KUN	(69) Péter LIPÓT	(67) Márton HERCZEG	(65) Ferenc LISZTES	(70) Gábor SZELÍD	(69) Attila SLUSZTER	(68) Carlós TORRES [ASK]	#59156E	#FFFFFF	Szerencsehely	Folyami Hajóstadion (18,000)	Turulországi Felsőliga
	SZV	Szegvári Vasutas	68.8	Park The Bus	4-3-3	Constantly	Short	Drop Off	(69) Ákos TÓTH	(73) Máté SZALKA	(73) Olivér SELYMES	(72) Vilmos PARASZT	(71) Mátyás HAVASY	(70) Ármin RÁCZ	(69) Bálint SÁNDOR	(68) Bertód LAKATOS	(67) Tibor PINTÉR	(75) Viktor HENTES	(66) Gergely FARKAS	(65) Boldizsár MÁTRAI	(70) Iván PETROVICS	(70) Luca BAREGHI [VIC]	(65) Jakab KÜRTÖS	(64) Endre SZENT	(63) Ferenc KERESZTES	#1E90BD	#FFC400	Szegvár	Vasutas Labdarúgó Aréna (17,000)	Turulországi Felsőliga
	PSK	Pélyes SK	67.5	Catenaccio	4-2-4	Never	Short	Step Up	(68) Rezső FAZEKAS	(71) László BÁTHORY	(72) István VAKOND	(71) Károly NEDVÁRY	(70) Balázs HALÁSZ	(69) Dominik TÓTH	(68) Zsigmond ZÁSZLÓS	(67) Gyula ALMÁN	(68) Kálmán POCZKAY	(67) Imre NAGYVÁRADI	(66) Bencze RUDÁN	(65) Dömötör BOROSTYÁN	(69) Matúš CÍZIK [COR]	(67) Nándor BÖLCS	(64) Dezső MAKKOS	(63) Zalán TRESZNYIK	(63) Botond OLÁH	#000000	#F01F1F	Pélyes	Vásár Téri Stadion (12,000)	Turulországi Felsőliga
	SZT	Szatmár SK	66.9	Wing Play	4-2-3-1	Constantly	Long	Step Up	(67) Balázs KATONA	(68) Árvin KODÁLY	(68) Árpád HALASDY	(67) István BARTA	(66) Dénes KENDER	(65) Miklós MOCSARAS	(70) Rajmond BÁCSZEGI	(69) Walter KATONA	(68) Márk VÍGH	(66) Leó CSÁSZÁR	(65) Ernő SZALAGOS	(72) Nimród SZEGVÁRI	(64) Baltazár NÉMETH	(63) Vilmos KOVÁCSEVICS	(65) Balázs GIVROCSICS	(64) Vilmos ÁCS	(70) Yriö POHJOLAINEN [KAR]	#FFC400	#000000	Szatmár	SZSK Aréna (9,000)	Turulországi Felsőliga
	VTC	Fehérvárosi VTC	66.6	Zona Mista	4-4-2	Never	Long	Offside Trap	(67) Waldo APPLEGATE	(69) Gergő HARCSÁSY	(69) Albert ORVOS	(68) Mihály CIPÉSZ	(67) Sándor VERES	(66) Patrik CSILLAG	(69) Róbert SZIVACSOS	(68) Domonkos KOVÁCS	(66) Simon GABONÁS	(65) Szilveszter NÁDOR	(69) Rudolf SZIMONDY	(68) Géza SZAKÁCS	(65) Barnabás LABANCZ	(64) Noel KARÁCSONY	(64) Kevin SZALONNÁS	(63) Antall KEREKES	(65) Szilárd SERTÉS	#1F6E15	#000000	Fehérváros	Fehérvárosi Labdarúgó Stadion (8,000)	Turulországi Felsőliga
	SBE	Sombáthar Előre 1900	65.7	Park The Bus	5-3-2	Constantly	Short	Drop Off	(66) Johann NIEDERHAUSEN [ALE]	(70) Kelemen TÁRSAS	(70) Hunor BALACSIK	(69) Mór UTCAI	(68) Ödön KOLOSTOROS	(67) Rezső SZALKAY	(66) Sebestyén FÁBIÁN	(68) Titusz PORACSEK	(66) Tivadar SZERCSENY	(65) Ferenc SZABÓ	(64) László MOLNÁR	(63) Dezső BALOGH	(66) Péter TAKÁCS	(64) Rezső BALÁZS	(63) Elemér BALÁZS	(63) János VITÉZ	(59) József GÁL	#109436	#FFFFFF	Sombáthar	Előre 1900 Aréna (6,300)	Turulországi Felsőliga
	MTZ	Matróz TSK	64.8	Route One	5-3-2	Sometimes	Long	Offside Trap	(65) Zoltán KENDER	(66) Mártin TÓTH	(68) Bertalan KORMOS	(67) Botond LIVÓN	(66) Ernő ERDŐS	(65) Péter MÁRVÁNYOS	(64) Roland KARDOS	(64) Márton SZÉNÁS	(63) Csaba DOBOZOS	(62) Ezrael VÍZSZEGI	(70) Alvin BÚZÁS	(71) Francisco JUÁREZ [ASK]	(63) Alpár ZAKOSDY	(63) Huba TORNÁCZ	(60) Farkas VADÁSZ	(59) Elek ÁRPÁS	(66) Ajnár SZILAJ	#211B63	#FFFFFF	Délivár	Havasi József Stadion (4,000)	Turulországi Felsőliga
