WIN	Winscor FC	86	85.8	Gegenpress	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(90) Xavier CIENFUEGOS [REI]	(80) Angel CASTEJÓN [REI]	(83) Mitchell SMITH [ESU]	(90) Joris VAN ANTWERP [ALE]	(84) Hadrien DESCHAMPS [ARV]	(88) Péter SZABÓ [GEN]	(83) Arthur WHITMORE	(86) Winston GALLAGHER [CAL]	(88) Pau PUIGCORBÉ [REI]	(83) Matías SALCEDO [REI]	(89) Leon VOGEL [ESU]	(83) Jake THORNTON	(82) Emrys LOCKWOOD	(84) Conor DALE	(83) Ryan COLE	(82) Renato FIORAVANTI [VIC]	#C8102E	#360f15	Winscor	Annesfield Park
TOT	Toteham Lilywhite	83	83.6	Wing Play	4-3-3	No Instruction	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	Short	Higher	Standard	Drop Off	Stay On Feet	(89) Massimo VISCONTI [VIC]	(85) Lorenzo SQUILLACI [VIC]	(82) Vojtěch NOVOTNÝ [ALE]	(81) Giacomo RUSSO [VIC]	(79) Izan SANTANDER [REI]	(77) Emilio BIANCHI [VIC]	(80) Marcello LA BARCA [VIC]	(88) Thomas HARGREAVES	(79) Erik SUNDQVIST [SKJ]	(91) Harry CAINE	(89) Lewis BARDSLEY	(81) Josh HARTLEY	(80) Kazuki FONDO [NCH]	(81) Rafferty CROSS	(82) Kieran FROST	(80) Ollie SHAW	#FFFFFF	#132257	Dunmaris	Bill Nicholson Stadium
MNC	Manceshire City	81	80.8	Tiki-Taka	4-3-3	Play Out of Defence	Much Shorter	Work Ball Into Box	Be More Disciplined	Be More Disciplined	No Instruction	Sometimes	Counter-Press	Hold Shape	Short	Much Higher	Much Higher	Step Up	Stay On Feet	(81) Jostein HELGESEN [ALE]	(81) Francisco ALAMEDA [REI]	(82) Gustav GYLLENHAAL [SKJ]	(79) Cameron LYONS	(83) Domenico VIVALDI [VIC]	(81) Mathijs HOLLEMAN [ALE]	(80) Gabriel BEAUCHÊNE [ARV]	(77) Krister WESTERBERG [ALE]	(85) Sawyer STRICKLAND	(83) Augustin ARAGONÉS [REI]	(77) Ryland NASH [ESU]	(78) Tom NORRIS	(79) Nate ENTWISTLE	(77) Dylan WEBB	(78) Mateo CALDERÓN [REI]	(78) Max REEVES	#6CADDF	#000000	Manceshire	Commonwealth Stadium
PCH	Prestune-Chicheham	81	80.5	Counter	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Long	Higher	Higher	No Instruction	Get Stuck In	(81) Yassine BENALI [RCS]	(81) Alejandro VARGA [REI]	(80) Nelis HARBERTS [ALE]	(79) Jabari HESS	(80) Reuben MENDOZA [HOL]	(80) George SMITH 	(84) Olegario PÉREZ [AUR]	(78) Sixten KARLSSON [SKJ]	(79) Jonathan FIELDS	(84) Petr PROCHÁZKA [ALE]	(79) Daulat SIREGAR [CAH]	(77) Volkan ARSLAN [SEL]	(78) Conor DAWSON	(79) Harvey PAYNE	(78) Tadhg OAKES	(77) Scott RILEY	#00235a	#FFE600	Prestune	Prestune Pavilion
STM	Estone Mansion	80	80.1	Balanced	4-2-3-1	Pass Into Space	Standard	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Sometimes	Regroup	Counter	Short	Higher	Higher	Offside Trap	No Instruction	(79) Pietro BORROMEO [VIC]	(79) Charles LAGARDE [ARV]	(78) Diego QUINTANA [REI]	(86) Wesley WETHERBY	(78) Jerzy WIŚNIEWSKI [LEC]	(84) Victor TVEDT [SKJ]	(78) Sōma KIRIZUKA [NCH]	(82) Antonio SANGÜESA [REI]	(77) Djeferson BÉLIVEAU [ARV]	(81) Kendrick NAKAI [CAL]	(79) Severino GUZMÁN [AUR]	(77) Will BARRETT	(76) Jamie BUTTERWORTH	(78) Tamer KHALIL [VKT]	(77) Finn SUTTON	(77) Morgan KEANE	#670E36	#92afd5	Gaelham	Wellington Road
TYN	Tyneside United	80	80.1	Counter	4-3-3	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Long	Higher	Higher	No Instruction	Get Stuck In	(80) Ansgar KESSLER [ALE]	(78) Yūto KANBARA [NCH]	(77) Kyffin LLEWELLYN	(82) Philip KLEIN [ESU]	(77) Haraldur ÓLAFSSON [SKJ]	(82) Ondřej ČERNÝ [ALE]	(84) Kymani HARRINGTON	(82) Anton FRIEDEBERG [ALE]	(79) Charlie GREY	(84) Dillon HEATH	(76) Eiichi FUJIMORI [NCH]	(77) Declan NEAL	(76) Liam STONE	(78) Kael ROWNTREE	(76) Kai HUNT	(77) Itsuki SAKAGAMI [NCH]	#000000	#FFFFFF	Tynemouth	Gallowgate Park
GAL	Gallican FC	80	79.7	Gegenpress	4-2-4	Play Out of Defence	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Much Higher	Higher	Step Up	No Instruction	(87) Miklós NAGY [GEN]	(78) Tyson YAZZIE [CAL]	(77) Zalán VÁRADI [GEN]	(79) Keigo MACHIDA [NCH]	(76) Ludvig JOHANSSON [SKJ]	(81) Cael CUNNINGHAM	(78) Ayato HACHIKAWA [NCH]	(82) Youssef VALVERDE [RCO]	(79) Ellis WEST	(83) Pierre PETIT [ARV]	(77) Robert SCHLÖSSER [PON]	(77) Fraser GIBBS	(76) András KELEMEN [GEN]	(77) Ross DOYLE	(76) Luke FANSHAWE	(77) Cael PRICE	#018749	#000000	Cathures	Gallican Park
WE	Westend FC	80	79.5	Balanced	4-2-3-1	Play Out of Defence	Shorter	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Higher	Step Up	No Instruction	(79) Rhys TOWNSEND	(79) Owen ASHWORTH	(82) Harry BROWN	(84) Arséne LA FROMBOISE [ARV]	(82) Maxence BEAUVILLIERS [ARV]	(77) Milan IVANOV [RUD]	(77) Selçuk DEMIRCI [SEL]	(80) Keiran STANDISH	(76) Lokendra BAHADUR	(76) Nándor MÉSZÁROS [GEN]	(83) Constantin REVERDIN [ARV]	(77) Dashiell WARD	(76) Sam KELLY	(77) Miles CHESWICK	(77) Theo MOSS	(76) Ben PREWETT	#034694	#FFFFFF	Dunmaris	Billing's Dyche
BRU	Brunlea Rovers	80	79.5	Balanced	4-3-3	Play Out of Defence	Standard	Work Ball Into Box	No Instruction	No Instruction	No Instruction	Never	Regroup	Counter	Short	Standard	Standard	No Instruction	No Instruction	(80) Maximilian MOLLENHAUER [PON]	(79) Nathan HUGHES	(78) Achille COLASUONNO [VIC]	(78) Alberto ACIN [REI]	(79) Karl HAUSCHKA [ALE]	(80) Séverin BARTHÉLEMY [ARV]	(80) Pierre-Marie AUVRAY [ARV]	(79) Rachid OUÉDRAOGO [ARV]	(81) Marian BETTENCOURT [ARV]	(81) Nélson FERREIRA [REI]	(80) Dirk PLATZ [ALE]	(77) Vittore GABBIADINI [VIC]	(76) Owen TRELAWNEY	(78) Matt SALTMARSH	(77) Ethan BLAKE	(76) Jabari WELLS	#6C1D45	#FFFFFF	Brunlea	Penninevale Piedmont
BRI	Britelme FC	79	79.3	Tiki-Taka	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	(82) Mathieu MARTIN [ARV]	(84) Tunç KENAANOĞLU	(76) Nolan JENNINGS [CAL]	(77) Shinji KAWARABUKI [NCH]	(78) Callum DAVIES	(76) Ovidio VICO [AUR]	(77) Cory GALLEGOS [HOL]	(81) Baptiste ROUX [ARV]	(80) Yoru SHIRASE [NCH]	(81) Fletcher LANCASTER	(80) Jesus HALCONERO [REI]	(76) Kyle AINSWORTH	(75) Reece FLOYD	(77) Katsuyoshi ENDŌ [NCH]	(76) Dan HOBBS	(76) Niall HAYES	#0057B8	#000000	Britelme	Silverstone Ground
