SYV	Syväsjärvi JK	81	Tiki-Taka	4-3-3	No Instruction	Standard	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	No Instruction	Hold Shape	No Instruction	Much Higher	Lower	No Instruction	Stay On Feet	(78) Christian LEINO	(79) Santeri HELKANEN	(77) Rasmus JÄRVIK	(79) Eemeli UUSITALO	(76) Pekka SIHVONEN	(85) Kasper KALJURAND	(78) Lauri PURVALAINEN	(74) Márton NAGY [GEN]	(81) Bertel VAINOJÄRVEN	(77) Henrik KRISTIANSON [SKJ]	(79) Yngvar GUSTAVSONN	(76) Solmia YLITALO	(76) Johann FALKENHAYN [ALE]	(76) Teemo HØJLAND [SKJ]	(79) Ryūhei AMAMIYA [NCH]	(76) András ARATÓ [GEN]	#FFFFFF	#000000	Syväsjärvi	Leijonanpesä (23,000)
RJK	Roudanjärvi JK	80	Tiki-Taka	4-3-3	Play Out of Defence	Shorter	Work Ball Into Box	Be More Disciplined	Be More Expressive	No Instruction	Never	Counter-Press	No Instruction	Short	Higher	Standard	Offside Trap	Stay On Feet	(78) Aatos VÄISÄNEN	(80) Kalle RÄIKKÖNEN	(76) Olavi ROUTSALAINEN	(83) Yoshikazu TAKANEN [NCH]	(83) Paavo SEPPÄLÄ	(77) Aaro TURUNEN	(78) Pedrik PÄRTEL	(79) Anton KAASIK	(79) Kökta SAARE	(76) Robin PÄRN	(77) Ilmari KIVIOJANEN	(74) Sentia OJALA	(75) Aleksanteri KORHONENVAARA	(76) Ivan YAKHONTOFF	(72) Uusi POUTANEN	(76) Sebastian SILFERSPARRE [ALE]	#2C3DA3	#FFFFFF	Roudanjärvi	Suurjärvi Areena (30,000)
PIE	Pietari FK	80	Gegenpress	4-4-2	Play Out of Defence	Standard	No Instruction	Run At Defence	No Instruction	No Instruction	Sometimes	Counter-Press	Counter	No Instruction	Much Higher	Higher	Drop Off	No Instruction	(77) Valtteri ARAVIRTA	(76) Zoltán TÓTH [GEN]	(79) Began ANDERSEN	(79) Kristian HANSEN	(76) Teima UIBO	(81) Litto TULP	(79) Soino JAAKOLA	(75) Leevi KAAREN	(80) Katsuki WATANABE [NCH]	(80) Armes PURTUNEN	(84) Tim PUKKI	(77) Eesko VÄHÄJÄRVI	(75) Robert KIVISILTA	(76) Lukyan ZABELIN [RUD]	(77) Markku HONGISTO	(77) Tuomas TUULENSUU	#FFFFFF	#CF1F1F	Pietari	Sosialistinen Voitto Areena (37,500)
KUI	Kuittijärvi JK 	79	Tiki-Taka	5-3-2	No Instruction	Standard	No Instruction	No Instruction	Be More Expressive	Play for Set Pieces	Sometimes	No Instruction	No Instruction	No Instruction	Standard	Standard	No Instruction	No Instruction	(83) Aleksi JÄRVELÄINEN	(76) Balázs ABA [GEN]	(77) Mikko NISKANEN	(78) Rauli JOKINEN	(79) Albert KUUSELA	(77) Tarmo PALLONEN	(76) Gregor TOIVONEN	(80) Otto KASK	(77) Vladimir SMIRNOVIC [RUD]	(81) Takuma NAKAMURA [NCH]	(79) Tarvo PUUSEPP	(78) Damian JALKANEN	(71) Kanta ZIELENSKI [SID]	(73) Ferencz VÁGÓ [GEN]	(77) Einari VÄLINEN	(69) Zareen FAHRZAN [VAR]	#15366B	#FFFFFF	Kuittijärvi	Kristianstadion (11,000)
RSR	Red Star Roudanjärvi	78	Gegenpress	4-2-4	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Disciplined	No Instruction	Never	Counter-Press	No Instruction	Short	Higher	Standard	Step Up	Stay On Feet	(80) Kasperi KARINEN	(77) Samara JOSEFOVIC	(80) Marcel METSA	(76) Carl MATHIASSEN [SKJ]	(82) Eski RUUDANEN	(81) Iilmari TORJALASTEN 	(76) Albert POTTASLAINEN	(80) Charle VALTTERINEN	(79) Bruno DEL PINO [REI]	(73) Nikolai TORMOTOFF [RUD]	(77) Nemanja PETROVIC	(78) Rautta KORPELA	(72) Karin TUOMELA	(75) Anton LEHTORANTEN	(74) Teemo ÕUNAPUU	(75) Boris LUKYANOVICH [RUD]	#CF1F1F	#FFFFFF	Roudanjärvi	Punaisen Tähden Puisto (27,500)
VKS	VKS	77	Counter	4-3-2-1	Play Out of Defence	Shorter	Work Ball Into Box	Run At Defence	Be More Expressive	No Instruction	Sometimes	Counter-Press	Counter	Short	Higher	Higher	Step Up	Get Stuck In	(77) Rautta KOKKO	(77) James SMITH [ELV]	(81) Ohttola SILLASTE	(75) Toivo GRIGOROVIC [RUD]	(76) Allain KANSALTENINEN	(77) Balázs JAMINAI [GEN]	(83) Jaan SOOSAAR	(75) Erno JUMANEN	(77) Teppo ESTINEN	(75) Kimi VOSTANEN	(82) József ANTALL [GEN]	(77) Aleksi KAASIK	(70) Chu HWANG [NCH]	(74) Sándor BODOR [NIT]	(73) Ulrik ZILINKAS [LIV]	(74) Gustav KALLIOKOSKI	#4F92FF	#FFFFFF	Vostamo	Kuninkaallinenstadion (17,250)
RPS	RöPS	77	Wing Play	4-1-2-1-2	Pass Into Space	More Direct	Shoot On Sight	Run At Defence	No Instruction	No Instruction	Sometimes	No Instruction	Counter	Long	Much Lower	Lower	Drop Off	Get Stuck In	(78) Teemo AASMAE	(76) Kamui KOBAYASHI [NCH]	(78) Daniel KORHONEN	(76) Eema PÕDER	(77) Sojjo SARAPUU	(77) Ritomo HOSHINO [NCH]	(75) Arvin LINDQVIST [SKJ]	(76) Elias TOOMING	(75) Robert BERTHOLD [LIV]	(82) Kuismaa KIVISILD	(77) Erik JONES [CAL]	(76) Aron PÕLDMAA	(73) Tippo SOORANPUUNEN	(76) Juhani HONKINENSTO	(75) Andreas LEIJONHUFT [SKJ]	(75) Csaba GÖRBE [THO]	#000000	#FFFFFF	Römpöla	RöPS Stadion (15,000)
NOW	Union Nowgorod	76	Wing Play	4-4-2	No Instruction	Shorter	No Instruction	Be More Disciplined	No Instruction	Play for Set Pieces	Never	Regroup	No Instruction	Long	Higher	Standard	Offside Trap	No Instruction	(75) Petri KUMPULAINEN	(77) Fernando ESTURAS [REI]	(73) Andero RANDMAA	(75) Aalto HUTTUNEN	(75) Miika KYLLÖNEN 	(76) Yriö KUOKKANEN	(81) Aarne KAINULAINEN	(75) Rainer PAKARINEN	(77) Vitali KOROVIN [RUD]	(80) Roððo DUOŋGI	(77) Saīd FARZAN [VAR]	(75) Mona ZHURAVLYOV [RUD]	(73) Paates KAJATAMÄKI	(73) Zhalek CHEREMESINOFF [SID]	(72) Kolomir ONAPPOVIC [RUD]	(73) Luuka VELIKKON	#FFE303	#000000	Nowgorod	Union Park (23,750)
TSI	Tsirvakka JK	76	Balanced	4-4-2	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Never	Counter-Press	No Instruction	Short	Higher	Standard	No Instruction	Stay On Feet	(81) Enders KOPONEN	(75) Harald ERIKSON [SKJ]	(75) Robert KINNUNEN 	(75) Tejmo HINKKANEN	(77) Andal LAITINEN	(75) Florian VALVERDE [VER]	(77) Erik SÖLBERG [SJK]	(73) Károly DUNAI [GEN]	(74) Teivo ERIKSEJN	(75) Vladimir CHERNOFF [RUD]	(75) Kato MIZAYA [NCH]	(73) Peemo RUUSKANEN	(75) Vidares PELTOKANGAS	(75) Kristian SARAAPÖLD	(74) Luca PORTELLA [VIC]	(73) Darven MIÇKAS [SEL]	#FF3B3B	#000000	Tsirvakka	TJK Park (10,000)
MPA	Murmánska Partisani 	75	Counter	4-3-3	No Instruction	Standard	Shoot On Sight	Be More Disciplined	No Instruction	Play for Set Pieces	Sometimes	Regroup	Hold Shape	No Instruction	Standard	Standard	No Instruction	Get Stuck In	(76) Sámme NÁINNAS	(77) Noori SAMALAINEN	(74) Sárat DUŠTÁ	(74) Muotso NIHKOLÁVO	(76) Eeriks UĐĐI [SJK]	(77) Antos NIILLÁN	(73) Peders LÁVRROHAŠ	(80) Osmo RÁSTOŠ	(74) Nicolai TAICESCU [THO]	(76) Yrjö PIETARINEN	(81) Voptá HENDÁ	(74) Söls HÆTTÁN	(74) Ruosto RUOHAMÄKINEN	(72) Gregor TSOROVIC [RUD]	(71) Nazer SHAHRIVAR [VAR]	(71) Teimo GÆUPÀ	#0D18A8	#FFFFFF	Murmánska	Partisanstadion (25,000)
