NSR	Al-Nasr Golzar	67	70.3	Wing Play	4-2-3-1	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Counter-Press	Counter	Short	Much Higher	Higher	Offside Trap	Stay On Feet	(66) Faisal AL-DOSARI	(65) Turki IBN SHAMMARI	(64) Hishaam SADEK	(76) Kōhei GUSHIKEN [NCH]	(63) Majed AL-OTAIBI	(79) Loïc KERVADEC [ARV]	(63) Jaadallah EL-FARID	(77) Bartosz JASTRZĘBSKI [SID]	(70) Hamad ZAHRANI	(73) Ziyad SUBAIE	(77) Raleigh PRESTON [ESU]	(60) Waleed AL-ANAZI	(59) Fawaz AMRI	(62) Mishal MALKI	(61) Badr YAMI	(60) Yazeed AL-BRAIK	#F0C808	#1B3FA0	Golzar (7,416,000)	Varzeshgāh-e Savārān (34,000)
SHU	Al-Shu'la Golzar	63	63.4	Gegenpress	3-4-3	Pass Into Space	Much More Direct	Shoot On Sight	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Long	Much Higher	Higher	Step Up	Get Stuck In	(62) Saud NAKHLI	(64) Khalid AL-SAHLI	(63) Fahad FARAJ	(62) Nasser HAMDAN	(64) Adel AL-DAKHIL	(63) Muhannad AL-RAML	(65) Rayan KHATHLAN	(62) Hattan AL-SHEHRI	(65) Abdulrahman AL-BISHI	(64) Naif KHALDI	(63) Omar TAMIMI	(60) Ali AL-SHUAIBI	(61) Yousef AL-MARRI	(60) Ammar AL-BAQAMI	(62) Zaid AL-HAZMI	(59) Osama AL-NAJEM	#141414	#E5601F	Golzar (7,416,000)	Meydān-e Pālāyesh (21,000)
NAQ	Naqsh Gandomabad	61	63.2	Tiki-Taka	4-3-2-1	Play Out of Defence	Much Shorter	Work Ball Into Box	Be More Disciplined	Be More Expressive	No Instruction	Never	Counter-Press	Hold Shape	Short	Higher	Higher	Step Up	Stay On Feet	(62) Siamak GOLBAF	(61) Parsa ABRISHAM	(62) Shahram TARHKAR	(60) Farzad RANGRAZ	(59) Arsham NAKHRIS	(68) Omar KHAYYAM	(65) Babak PUDEHKAR	(64) Behrouz KARBAF	(66) Yashar SHANEH	(65) Artin DARBAF	(63) Sina GEREH	(55) Aryan PARDEH	(56) Zand ATLAS	(61) Mani NAQSHBAND	(57) Soheil CHELESH	(58) Kasra QALAMKAR	#A8342A	#2E4372	Gandomabad (2,560,000)	"	Meydān-e Naqsh (18,000)"
HOM	Homā Nourabad	60	60.5	Wing Play	4-2-4	Pass Into Space	Much More Direct	Shoot On Sight	Run At Defence	Be More Expressive	Play for Set Pieces	Never	Regroup	Counter	Long	Standard	Standard	Step Up	Stay On Feet	(58) Arya BADPA	(63) Kasra SHAHBAZ	(58) Nima PARVANEH	(57) Zand OJ	(62) Parsa SHAHIN	(57) Farzad CHARKH	(56) Bahador KANARI	(66) Abbas FIRNAS	(62) Shahram TIZPAR	(61) Artin OQAB	(65) Sina PARANDEH	(54) Mani ASEMAN	(53) Kian BOLANDI	(55) Behrouz CHARHZAN	(57) Aryan SHAHPAR	(55) Yashar BALPARAN	#7EC8E3	#C3C9CE	Nourabad (1,785,000)	Meydān-e Parvāz (15,000)
TND	Tondar Kuhestan	59	60.0	Balanced	4-1-4-1	Play Out of Defence	Standard	Work Ball Into Box	Be More Disciplined	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Hold Shape	Short	Lower	Standard	Drop Off	Stay On Feet	(63) Keyvan RAHNAVARD	(62) Garshasp BONYADI	(63) Iraj SHAHVAND	(61) Mihran DASTGERD	(60) Qobad ZARRINKAFSH	(61) Ardavan POLADVAND	(59) Narseh MOSTOWFI	(60) Sanjar HAMRAH	(58) Borzu YEKRANG	(57) Karan SHATERI	(56) Omah AZIR	(55) Yazdan SARBAND	(56) Simak PAYDAR	(54) Tus GERAYELI	(57) Farrokh ANDISHEH	(53) Dadmehr KHATTI	#1E7A45	#3A3F44	Kuhestan (6,300,000)	Meydān-e Rāh-Āhan (19,000)
DFK	Derafsh FC	58	58.9	Counter	5-3-2	Pass Into Space	Much More Direct	No Instruction	Be More Disciplined	No Instruction	Play for Set Pieces	Constantly	Regroup	Counter	Long	Much Lower	Lower	Drop Off	Get Stuck In	(61) Zal KOHGARD	(64) Gudarz SANGSHEKAN	(63) Khashayar BARZKUH	(62) Vishtasp TAFTAN	(60) Goshtasp AHANGAR	(59) Bozorgmehr DAMAVAND	(55) Sam KAVIYAN	(54) Anushirvan MARGHZAR	(53) Piruz SHIRKUH	(60) Zavareh TIRANDAZ	(57) Iman KANDAN	(54) Ragheb SANGVAR	(55) Narsi POLAD	(53) Kambakhsh AVAZ	(52) Shirzad KOHBAND	(56) MARDAVIJ TABAR	#BD4444	#F1DEC4	Kuhestan (6,300,000)	"	Ārāmgāh-e Kāvi (16,000)"
AHA	Āzarakhsh Āhanshahr	57	58.4	Gegenpress	4-3-3	Pass Into Space	More Direct	Work Ball Into Box	Be More Disciplined	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Much Higher	Step Up	Stay On Feet	(59) Kian FOROUGH	(59) Sina PARTOW	(58) Farzin SIMKESH	(59) Yashar NIROOMAND	(58) Bahador AFRUZ	(60) Hossein SINA	(58) Artin BARQI	(57) Zand JARAYAN	(58) Parsa TAABESH	(59) Kasra SHARAREH	(57) Aryan TAVAAN	(54) Mani CHERAGH	(55) Behrouz SIMBAND	(54) Soheil GERMAI	(55) Ashkan MOVALED	(54) Rasoul ATASH	#FFE01B	#1A1A1A	Āhanshahr (1,620,000)	"	Meydān-e Barq (14,000)"
TAR	Tarāzu Dashtvār	56	57.8	Balanced	3-5-2	Pass Into Space	More Direct	No Instruction	Run At Defence	Be More Expressive	Play for Set Pieces	Sometimes	Regroup	Counter	No Instruction	Standard	Standard	No Instruction	No Instruction	(58) Idris KATIB	(59) Munir MIZAN	(58) Sabah JUMRUK	(57) Wathiq AL-KAYYAL	(58) Hazim WAZZAN	(57) Ubayd AL-DAFTAR	(61) Hunayn IBN ISHAQ	(57) Sadiq KHATTAT	(56) Rafiq AL-QAYD	(58) Muthanna RASIF	(57) Sayf AL-HAMMAL	(53) Nazim SIJILL	(54) Amir AL-MUFATTISH	(55) Talib BARID	(54) Ghassan AL-TABI	(53) Wasim MAKHZAN	#0B4A34	#B08D3F	Dashtvār (1,570,000)	Meydān-e Gomrok (17,000)
BDS	Bādbān	55	56.5	Counter	4-4-2	Play Out of Defence	Shorter	Work Ball Into Box	Be More Disciplined	No Instruction	No Instruction	Sometimes	Regroup	Counter	Short	Lower	Standard	Drop Off	Stay On Feet	(59) Salim AL-BAHRI	(62) Carmel Waley	(60) Ranen Mocatta	(59) Jamal AL-SAYYAD	(58) Ahmad IBN MAJID	(54) Hilal AL-SHIRAA	(53) Zayit BLOOM	(52) Tariq AL-NAWTI	(53) Ammar AL-SHABAK	(55) Feivel WEIZMAN	(56) Qais AL-LULU	(52) Faris QARIB	(55) Hamza SAHIL	(51) Aitan SASSOON	(50) Bilal AL-FANAR	(52) Anwar SADAF	#FFFFFF	#2E8B76	Shushabad (1,720,000)	Meydān-e Sāhel (11,000)
BOL	Bolur Sabzavar	54	56.3	Wing Play	4-4-2	Pass Into Space	More Direct	No Instruction	Run At Defence	No Instruction	Play for Set Pieces	Sometimes	Regroup	Hold Shape	Long	Standard	Standard	Drop Off	Get Stuck In	(55) Sohrab PALAYESH	(58) Mehran DEGDAN	(56) Kaveh BOLURI	(55) Farshad QAND	(57) Nima TASFIYEH	(56) Peyman NEYBOR	(54) Vahid SHEKARRIZ	(53) Ramin DEGCHI	(57) Hooman PARVAREH	(60) Sepehr QALEB	(58) Milad SARBOLAND	(51) Payam Joshan	(52) Arash NABAT	(51) Kamran DUDKESH	(53) Navid SHERBAT	(54) Omid SHAKARI	#6E2233	#7A9A3C	Sabzavar (1,452,000)	Meydān-e Bolur (12,000)
