KOS	1908 Kōshū	73	Counter	4-1-4-1	No Instruction	Standard	No Instruction	Be More Disciplined	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Hold Shape	Long	Lower	Standard	Drop Off	Stay On Feet	S. Motegi	K. Fujikawa	V. Nalyvaiko [+]	T. Nakano	M. Hosoda	B. Zsolnay	T. Fujita	G. Okumura	K. Akutsu	Y. Itō	S. Muraoka	R. Yamazaki	S. Uemura	T. Katō	J. Takamura	H. Mihara	#a28c3f	#2b4a3f	Koshu (1,541,000)	Akatsuki Field (18,000)
SUM	Sumerajima SIPG	73	Tiki-Taka	4-2-3-1	Play Out of Defence	Shorter	Work Ball Into Box	No Instruction	No Instruction	No Instruction	Sometimes	No Instruction	No Instruction	Short	Standard	Standard	No Instruction	Stay On Feet	K. Ouyang [+]	Y. Ōnuma	H. Takagi	S. Ueno	L. Wu	Z. Wang	K. Taniguchi	T. Ōgami	K. Hayashi	F. Ji	R. Yamamoto	M. Hattori	R. Tsuji	S. Oda	X. Qian	K. Nagai	#ffffff	#c41e3a	Sumerajima (1,799,000)	SIPG Stadium (22,000)
RYO	Ryōgaku FC	72	Gegenpress	4-4-2	No Instruction	More Direct	No Instruction	No Instruction	No Instruction	No Instruction	Never	Counter-Press	Counter	Long	Higher	Standard	No Instruction	Get Stuck In	T. Mikami	R. Shimura	M. Popov	K. Kawamoto	Y. Okamura	D. Perebyinis [+]	K. Nishida	N. Ignatov	A. Tkachenko	K. Shimoda	M. Volkov	S. Koyama	Y. Aoki	T. Kinoshita	H. Suzumura	T. Wada	#ed1e24	#1a1a3a	Ryōgaku (803,000)	Manshu Yusen Stadium (15,000)
MRG	Moriguchi Muraglia	72	Counter	5-3-2	No Instruction	More Direct	No Instruction	Be More Disciplined	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	No Instruction	Lower	Standard	Drop Off	Get Stuck In	H. Sakuma	R. Kadota	O. Sjöberg	L. Grimaldi	D. Haraguchi	K. Ōkawa	C. Villaverde	N. Melnyk	Y. Kumagai	S. Matsubara	F. Iwagami	M. Fukuda	I. Shimada	U. Uehara	T. Sugimoto	G. Gunawardena	#5c4a38	#38761d	Moriguchi (949,000)	Fulcrum Stadium (14,000)
MAT	Matsuumi Horikawa	70	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	No Instruction	No Instruction	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	Get Stuck In	K. Iwasaki	S. Koizumi	M. Nojiri	Y. Hayakawa	H. Shirai	R. Ōgami	T. Tsuruta	A. Kishi	E. Asahina	N. Tezuka	G. Kubota	D. Mabuchi	O. Hijikata	I. Kasai	L. Kovačević	C. Tanemura	#2a7494	#d4c090	Matsuumi (819,000)	Matsuumi Bayside (12,000)
KAN	Kannushi	70	Balanced	4-4-2	No Instruction	Standard	No Instruction	No Instruction	No Instruction	Play for Set Pieces	Sometimes	Regroup	No Instruction	No Instruction	Standard	Standard	No Instruction	Get Stuck In	Y. Kagura	H. Hashimoto	N. Togano	T. Chihaya	K. Suwa	S. Tadokoro	M. Orikata	D. Kondō	A. Aoki	E. Sakuraba	R. Karasuma	G. Sugiyama	O. Voronin	C. Orikasa	I. Iwakura	J. Katsube	#c83828	#f5efe0	Shinkeisei (36,955,000)	Sōten Stadium (28,000)
ASH	Ashihara FC	70	Gegenpress	4-3-3	No Instruction	Standard	No Instruction	Run At Defence	Be More Expressive	No Instruction	Never	Counter-Press	Counter	Short	Higher	Standard	Step Up	No Instruction	S. Okamoto	H. Takeda	M. Ōhara	R. Yasuda	K. Kanemoto	N. Kataoka	T. Aoyama	E. Tsujimoto	G. Iwamoto	D. Segawa	I. Kagawa	O. Kasahara	A. Wakabayashi	C. Hiramatsu	J. Mitsuhashi	Y. Kazehaya	#3a8a4a	#7f6000	Ashihara (1,580,000)	Reed Field (16,000)
SHR	AC Shirasagi	68	Wing Play	4-2-3-1	No Instruction	Shorter	Work Ball Into Box	No Instruction	Be More Expressive	No Instruction	Sometimes	No Instruction	No Instruction	Short	Standard	Standard	No Instruction	Stay On Feet	K. Nakanishi	R. Morioka	M. Gōda	Y. Mizoguchi	H. Tokunaga	N. Araki	S. Shirato	A. Akimoto	S. Kijima	I. Tsutsui	E. Inuzuka	O. Shibagaki	G. Hoshikawa	C. Kikukawa	J. Natori	T. Uchimura	#f0f0f0	#1a4a38	Sagimino (465,000)	Heron's Field (8,000)
KOR	Kōttamachi Kōrihama	67	Counter	4-4-2	Pass Into Space	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Standard	Lower	Drop Off	Get Stuck In	R. Hasegawa	M. Murata	H. Kuroda	K. Takizawa	S. Ōnishi	Y. Kitazawa	N. Tominaga	A. Shirakawa	E. Kuramae	I. Inaba	G. Furusawa	D. Kuboyama	L. Granström	C. Ōhira	T. Natori	O. Otonashi	#6aafe6	#1a2030	Kōrihama (7,189,000)	Aurora Arena (32,000)
SAT	Satsuno Nightingales	66	Counter	4-1-4-1	No Instruction	More Direct	No Instruction	No Instruction	Be More Disciplined	Play for Set Pieces	Sometimes	Regroup	Counter	Long	Lower	Standard	Drop Off	Get Stuck In	H. Nishiyama	K. Hanada	R. Kōno	M. Matsuyama	S. Tatsumi	N. Shigemitsu	Y. Uemura	G. Maki	A. Ōhata	D. Kurokawa	I. Soma	E. Hamaguchi	O. Shimabara	C. Iida	L. Lindqvist	T. Kitano	#838b3a	#5a2a3a	Satsuno (2,646,000)	Uguisu Park (22,000)
